1,v01,JGD2000,2016/8/5 15:30,2.01608E+13,99,[gis][pga][al][ah][sinj],jshis,M1,4530,
2,130.940624,30.664583,130.943751,30.666666,4.7,146.236434,4530779534,0,0,0
2,130.859376,30.464583,130.8625,30.466666,4.6,121.794022,4530565844,0,0.000984,0
2,130.865626,30.460416,130.868751,30.4625,4.6,120.752781,4530565914,0,0.000116,0
2,130.862499,30.4625,130.865626,30.464583,4.6,108.211692,4530565931,0,0.001901,0
2,130.862499,30.464583,130.865626,30.466666,4.6,108.146487,4530565933,0,0,0
2,130.865626,30.464583,130.868751,30.466666,4.6,120.62237,4530565934,0,0,0
2,130.859376,30.466666,130.8625,30.46875,4.6,110.424585,4530566822,0,0,0
2,130.871875,30.466666,130.875001,30.46875,4.6,122.900468,4530566922,0,0,0
2,130.875001,30.475,130.878125,30.477083,4.6,114.50329,4530577011,0,0.000364,0
2,130.906251,30.5,130.909375,30.502083,4.6,124.938798,4530670221,0,0.000008,0
2,130.946876,30.622916,130.95,30.625,4.6,114.347736,4530774544,0,0.000125,0
2,130.946876,30.629166,130.95,30.63125,4.6,120.487869,4530775542,0,0,0
2,130.946876,30.635416,130.95,30.6375,4.6,111.808816,4530776524,0,0,0
2,130.943751,30.639583,130.946876,30.641666,4.6,121.87619,4530776543,0,0,0
2,130.862499,30.414583,130.865626,30.416666,4.5,105.196236,4530469933,0,0.000146,0
2,130.862499,30.416666,130.865626,30.41875,4.5,106.855318,4530560911,0,0.000178,0
2,130.871875,30.45625,130.875001,30.458333,4.5,94.312232,4530564944,0,0,0
2,130.868751,30.458333,130.871875,30.460416,4.5,93.212417,4530565921,0,0,0
2,130.871875,30.464583,130.875001,30.466666,4.5,106.215712,4530565944,0,0.000002,0
2,130.909374,30.495833,130.912501,30.497916,4.5,113.912597,4530579242,0,0,0
2,130.909374,30.497916,130.912501,30.5,4.5,100.368755,4530579244,0,0,0
2,130.912501,30.49375,130.915626,30.495833,4.5,106.311134,4530579313,0,0,0
2,130.912501,30.495833,130.915626,30.497916,4.5,101.777194,4530579331,0,0,0
2,130.915626,30.516666,130.91875,30.51875,4.5,114.047279,4530672312,0,0.000077,0
2,130.921876,30.516666,130.925,30.51875,4.5,113.005445,4530672322,0,0,0
2,130.921876,30.53125,130.925,30.533333,4.5,97.261973,4530673344,0,0.000002,0
2,130.931251,30.541666,130.934375,30.54375,4.5,93.345281,4530675421,0,0.000032,0
2,130.934375,30.55,130.937501,30.552083,4.5,113.024166,4530676422,0,0,0
2,130.946876,30.602083,130.95,30.604166,4.5,95.041805,4530772524,0,0,0
2,130.946876,30.604166,130.95,30.60625,4.5,111.653168,4530772542,0,0.00009,0
2,130.943751,30.64375,130.946876,30.645833,4.5,93.053559,4530777523,0,0.000031,0
2,130.940624,30.645833,130.943751,30.647916,4.5,108.623088,4530777532,0,0,0
2,130.940624,30.647916,130.943751,30.65,4.5,100.963645,4530777534,0,0.000026,0
2,130.940624,30.65,130.943751,30.652083,4.5,94.346036,4530778512,0,0,0
2,130.940624,30.652083,130.943751,30.654166,4.5,98.821997,4530778514,0,0,0
2,130.940624,30.654166,130.943751,30.65625,4.5,103.297957,4530778532,0,0,0
2,130.943751,30.660416,130.946876,30.6625,4.5,94.538699,4530779523,0,0.000143,0
2,130.943751,30.6625,130.946876,30.664583,4.5,111.150063,4530779541,0,0,0
2,130.946876,30.664583,130.95,30.666666,4.5,103.49062,4530779544,0,0.000088,0
2,130.884376,30.358333,130.8875,30.360416,4.4,86.322224,4530473022,0,0,0
2,130.884376,30.360416,130.8875,30.3625,4.4,99.188711,4530473024,0,0,0
2,130.8875,30.364583,130.890626,30.366666,4.4,101.487256,4530473133,0,0,0
2,130.85625,30.435416,130.859376,30.4375,4.4,97.17639,4530562823,0,0,0
2,130.853126,30.441666,130.85625,30.44375,4.4,98.496979,4530563812,0,0,0
2,130.850001,30.44375,130.853126,30.445833,4.4,87.328623,4530563813,0,0,0
2,130.853126,30.44375,130.85625,30.445833,4.4,97.193037,4530563814,0,0,0
2,130.850001,30.445833,130.853126,30.447916,4.4,96.815495,4530563831,0,0,0
2,130.853126,30.445833,130.85625,30.447916,4.4,86.024681,4530563832,0,0,0
2,130.853126,30.447916,130.85625,30.45,4.4,86.573539,4530563834,0,0,0
2,130.850001,30.45,130.853126,30.452083,4.4,90.827997,4530564811,0,0,0
2,130.853126,30.45,130.85625,30.452083,4.4,100.692411,4530564812,0,0,0
2,130.850001,30.452083,130.853126,30.454166,4.4,95.082455,4530564813,0,0,0
2,130.853126,30.452083,130.85625,30.454166,4.4,84.29164,4530564814,0,0,0
2,130.850001,30.454166,130.853126,30.45625,4.4,100.263312,4530564831,0,0,0
2,130.853126,30.454166,130.85625,30.45625,4.4,89.472498,4530564832,0,0,0
2,130.850001,30.45625,130.853126,30.458333,4.4,97.432556,4530564833,0,0,0
2,130.853126,30.45625,130.85625,30.458333,4.4,86.641742,4530564834,0,0,0
2,130.85625,30.454166,130.859376,30.45625,4.4,99.336912,4530564841,0,0,0
2,130.85625,30.45625,130.859376,30.458333,4.4,96.506156,4530564843,0,0,0
2,130.859376,30.45625,130.8625,30.458333,4.4,85.715342,4530564844,0,0,0
2,130.846874,30.4625,130.850001,30.464583,4.4,98.204286,4530565742,0,0,0
2,130.846874,30.464583,130.850001,30.466666,4.4,98.15273,4530565744,0,0,0
2,130.850001,30.458333,130.853126,30.460416,4.4,85.663785,4530565811,0,0,0
2,130.853126,30.458333,130.85625,30.460416,4.4,95.528199,4530565812,0,0,0
2,130.850001,30.460416,130.853126,30.4625,4.4,87.465029,4530565813,0,0,0
2,130.853126,30.460416,130.85625,30.4625,4.4,97.329443,4530565814,0,0,0
2,130.85625,30.458333,130.859376,30.460416,4.4,84.737385,4530565821,0,0,0
2,130.859376,30.458333,130.8625,30.460416,4.4,94.6018,4530565822,0,0,0
2,130.85625,30.460416,130.859376,30.4625,4.4,86.538629,4530565823,0,0,0
2,130.859376,30.460416,130.8625,30.4625,4.4,96.403043,4530565824,0,0,0
2,130.850001,30.4625,130.853126,30.464583,4.4,87.413472,4530565831,0,0,0
2,130.853126,30.4625,130.85625,30.464583,4.4,97.277886,4530565832,0,0,0
2,130.850001,30.464583,130.853126,30.466666,4.4,87.361916,4530565833,0,0,0
2,130.853126,30.464583,130.85625,30.466666,4.4,97.22633,4530565834,0,0,0
2,130.85625,30.4625,130.859376,30.464583,4.4,86.487072,4530565841,0,0,0
2,130.859376,30.4625,130.8625,30.464583,4.4,96.351486,4530565842,0,0,0
2,130.85625,30.464583,130.859376,30.466666,4.4,86.435516,4530565843,0,0,0
2,130.862499,30.458333,130.865626,30.460416,4.4,83.810985,4530565911,0,0,0
2,130.865626,30.458333,130.868751,30.460416,4.4,93.6754,4530565912,0,0,0
2,130.862499,30.460416,130.865626,30.4625,4.4,85.612229,4530565913,0,0,0
2,130.865626,30.4625,130.868751,30.464583,4.4,95.425087,4530565932,0,0,0
2,130.868751,30.4625,130.871875,30.464583,4.4,84.634272,4530565941,0,0,0
2,130.871875,30.4625,130.875001,30.464583,4.4,94.498687,4530565942,0,0,0
2,130.868751,30.464583,130.871875,30.466666,4.4,84.582716,4530565943,0,0,0
2,130.846874,30.466666,130.850001,30.46875,4.4,89.163159,4530566722,0,0,0
2,130.850001,30.466666,130.853126,30.46875,4.4,99.027573,4530566811,0,0,0
2,130.853126,30.466666,130.85625,30.46875,4.4,88.236759,4530566812,0,0,0
2,130.85625,30.466666,130.859376,30.46875,4.4,98.101173,4530566821,0,0,0
2,130.946876,30.447916,130.95,30.45,4.4,93.332768,4530573544,0,0,0
2,130.95,30.445833,130.953126,30.447916,4.4,102.648324,4530573631,0,0,0
2,130.953126,30.445833,130.95625,30.447916,4.4,91.85751,4530573632,0,0,0
2,130.95,30.447916,130.953126,30.45,4.4,103.197182,4530573633,0,0,0
2,130.953126,30.447916,130.95625,30.45,4.4,92.406368,4530573634,0,0,0
2,130.956249,30.447916,130.959376,30.45,4.4,102.270782,4530573643,0,0,0
2,130.875001,30.45,130.878125,30.452083,4.4,87.122397,4530574011,0,0,0
2,130.946876,30.45,130.95,30.452083,4.4,86.796411,4530574522,0,0,0
2,130.95,30.45,130.953126,30.452083,4.4,96.660825,4530574611,0,0,0
2,130.953126,30.452083,130.95625,30.454166,4.4,90.124469,4530574614,0,0,0
2,130.956249,30.45,130.959376,30.452083,4.4,95.734425,4530574621,0,0,0
2,130.956249,30.452083,130.959376,30.454166,4.4,99.988883,4530574623,0,0,0
2,130.95,30.458333,130.953126,30.460416,4.4,91.496614,4530575611,0,0,0
2,130.953126,30.458333,130.95625,30.460416,4.4,101.361028,4530575612,0,0,0
2,130.953126,30.460416,130.95625,30.4625,4.4,103.162272,4530575614,0,0,0
2,130.875001,30.472916,130.878125,30.475,4.4,93.966475,4530576033,0,0,0
2,130.953126,30.466666,130.95625,30.46875,4.4,85.131574,4530576612,0,0,0
2,130.953126,30.46875,130.95625,30.470833,4.4,89.712017,4530576614,0,0,0
2,130.956249,30.466666,130.959376,30.46875,4.4,94.995988,4530576621,0,0,0
2,130.959376,30.466666,130.962501,30.46875,4.4,84.205174,4530576622,0,0,0
2,130.956249,30.46875,130.959376,30.470833,4.4,99.576431,4530576623,0,0,0
2,130.959376,30.46875,130.962501,30.470833,4.4,88.785617,4530576624,0,0,0
2,130.956249,30.470833,130.959376,30.472916,4.4,95.218861,4530576641,0,0,0
2,130.878124,30.479166,130.881251,30.48125,4.4,93.537377,4530577032,0,0,0
2,130.881251,30.48125,130.884376,30.483333,4.4,90.106206,4530577043,0,0,0
2,130.959376,30.475,130.962501,30.477083,4.4,88.356519,4530577622,0,0,0
2,130.959376,30.477083,130.962501,30.479166,4.4,94.789762,4530577624,0,0,0
2,130.881251,30.485416,130.884376,30.4875,4.4,97.740278,4530578023,0,0,0
2,130.8875,30.489583,130.890626,30.491666,4.4,88.424722,4530578133,0,0,0
2,130.959376,30.483333,130.962501,30.485416,4.4,97.139863,4530578622,0,0,0
2,130.893749,30.49375,130.896876,30.495833,4.4,97.311179,4530579123,0,0,0
2,130.896876,30.495833,130.900001,30.497916,4.4,103.144008,4530579142,0,0,0
2,130.896876,30.497916,130.900001,30.5,4.4,91.100809,4530579144,0,0,0
2,130.900001,30.497916,130.903125,30.5,4.4,100.965223,4530579233,0,0,0
2,130.906251,30.497916,130.909375,30.5,4.4,100.038823,4530579243,0,0,0
2,130.912501,30.491666,130.915626,30.49375,4.4,99.489965,4530579311,0,0,0
2,130.900001,30.5,130.903125,30.502083,4.4,99.712837,4530670211,0,0,0
2,130.903125,30.5,130.906251,30.502083,4.4,88.922023,4530670212,0,0,0
2,130.900001,30.502083,130.903125,30.504166,4.4,87.669638,4530670213,0,0,0
2,130.903125,30.502083,130.906251,30.504166,4.4,97.534052,4530670214,0,0,0
2,130.909374,30.5,130.912501,30.502083,4.4,87.995623,4530670222,0,0,0
2,130.906251,30.502083,130.909375,30.504166,4.4,86.743238,4530670223,0,0,0
2,130.903125,30.504166,130.906251,30.50625,4.4,96.281666,4530670232,0,0,0
2,130.903125,30.50625,130.906251,30.508333,4.4,95.029281,4530670234,0,0,0
2,130.906251,30.504166,130.909375,30.50625,4.4,85.490852,4530670241,0,0,0
2,130.906251,30.508333,130.909375,30.510416,4.4,93.776896,4530671221,0,0,0
2,130.906251,30.510416,130.909375,30.5125,4.4,82.660096,4530671223,0,0,0
2,130.909374,30.514583,130.912501,30.516666,4.4,91.872539,4530671244,0,0,0
2,130.924999,30.514583,130.928126,30.516666,4.4,99.884153,4530671433,0,0,0
2,130.912501,30.516666,130.915626,30.51875,4.4,91.546554,4530672311,0,0,0
2,130.912501,30.51875,130.915626,30.520833,4.4,91.220568,4530672313,0,0,0
2,130.915626,30.51875,130.91875,30.520833,4.4,101.084982,4530672314,0,0,0
2,130.91875,30.516666,130.921876,30.51875,4.4,90.620154,4530672321,0,0,0
2,130.912501,30.520833,130.915626,30.522916,4.4,90.894583,4530672331,0,0,0
2,130.915626,30.522916,130.91875,30.525,4.4,100.433011,4530672334,0,0,0
2,130.915626,30.525,130.91875,30.527083,4.4,100.107026,4530673312,0,0,0
2,130.91875,30.527083,130.921876,30.529166,4.4,88.990226,4530673323,0,0,0
2,130.91875,30.529166,130.921876,30.53125,4.4,98.528655,4530673341,0,0,0
2,130.91875,30.53125,130.921876,30.533333,4.4,97.276269,4530673343,0,0,0
2,130.928126,30.527083,130.931251,30.529166,4.4,97.92824,4530673414,0,0,0
2,130.924999,30.529166,130.928126,30.53125,4.4,97.602255,4530673431,0,0,0
2,130.937501,30.53125,130.940625,30.533333,4.4,94.49707,4530673533,0,0,0
2,130.987499,30.53125,130.990626,30.533333,4.4,87.08587,4530673933,0,0,0
2,130.921876,30.533333,130.925,30.535416,4.4,96.023884,4530674322,0,0,0
2,130.921876,30.535416,130.925,30.5375,4.4,84.907084,4530674324,0,0,0
2,130.934375,30.533333,130.937501,30.535416,4.4,94.171084,4530674422,0,0,0
2,130.924999,30.5375,130.928126,30.539583,4.4,94.445513,4530674431,0,0,0
2,130.924999,30.539583,130.928126,30.541666,4.4,94.119528,4530674433,0,0,0
2,130.934375,30.539583,130.937501,30.541666,4.4,103.057542,4530674444,0,0,0
2,130.928126,30.54375,130.931251,30.545833,4.4,93.467557,4530675414,0,0,0
2,130.928126,30.545833,130.931251,30.547916,4.4,93.141571,4530675432,0,0,0
2,130.931251,30.55,130.934375,30.552083,4.4,90.6368,4530676421,0,0,0
2,130.934375,30.552083,130.937501,30.554166,4.4,98.322429,4530676424,0,0,0
2,130.934375,30.554166,130.937501,30.55625,4.4,95.217244,4530676442,0,0,0
2,130.934375,30.55625,130.937501,30.558333,4.4,101.050072,4530676444,0,0,0
2,130.937501,30.554166,130.940625,30.55625,4.4,84.42643,4530676531,0,0,0
2,130.937501,30.560416,130.940625,30.5625,4.4,92.986902,4530677513,0,0,0
2,130.937501,30.5625,130.940625,30.564583,4.4,99.74613,4530677531,0,0,0
2,130.946876,30.5625,130.95,30.564583,4.4,88.028916,4530677542,0,0,0
2,130.943751,30.564583,130.946876,30.566666,4.4,84.923731,4530677543,0,0,0
2,130.940624,30.566666,130.943751,30.56875,4.4,91.68296,4530678512,0,0,0
2,130.940624,30.56875,130.943751,30.570833,4.4,87.651374,4530678514,0,0,0
2,130.943751,30.572916,130.946876,30.575,4.4,91.305418,4530678543,0,0,0
2,130.946876,30.572916,130.95,30.575,4.4,101.169832,4530678544,0,0,0
2,130.95,30.572916,130.953126,30.575,4.4,90.379018,4530678633,0,0,0
2,130.943751,30.575,130.946876,30.577083,4.4,98.064646,4530679521,0,0,0
2,130.946876,30.579166,130.95,30.58125,4.4,101.71869,4530679542,0,0,0
2,130.946876,30.58125,130.95,30.583333,4.4,98.613504,4530679544,0,0,0
2,130.953126,30.591666,130.95625,30.59375,4.4,85.866777,4530771612,0,0,0
2,130.946876,30.608333,130.95,30.610416,4.4,87.513351,4530773522,0,0,0
2,130.946876,30.610416,130.95,30.6125,4.4,92.41978,4530773524,0,0,0
2,130.946876,30.61875,130.95,30.620833,4.4,91.390267,4530774524,0,0,0
2,130.946876,30.620833,130.95,30.622916,4.4,85.505882,4530774542,0,0,0
2,130.946876,30.625,130.95,30.627083,4.4,95.31874,4530775522,0,0,0
2,130.946876,30.633333,130.95,30.635416,4.4,94.289227,4530776522,0,0,0
2,130.943751,30.6375,130.946876,30.639583,4.4,103.175684,4530776541,0,0,0
2,130.946876,30.6375,130.95,30.639583,4.4,92.38487,4530776542,0,0,0
2,130.946876,30.639583,130.95,30.641666,4.4,85.574085,4530776544,0,0,0
2,130.95,30.635416,130.953126,30.6375,4.4,98.269255,4530776613,0,0,0
2,130.95,30.6375,130.953126,30.639583,4.4,102.249284,4530776631,0,0,0
2,130.95,30.639583,130.953126,30.641666,4.4,95.438499,4530776633,0,0,0
2,130.943751,30.641666,130.946876,30.64375,4.4,89.554114,4530777521,0,0,0
2,130.946876,30.641666,130.95,30.64375,4.4,99.418528,4530777522,0,0,0
2,130.946876,30.64375,130.95,30.645833,4.4,92.607743,4530777524,0,0,0
2,130.943751,30.645833,130.946876,30.647916,4.4,85.796957,4530777541,0,0,0
2,130.946876,30.645833,130.95,30.647916,4.4,95.661372,4530777542,0,0,0
2,130.943751,30.647916,130.946876,30.65,4.4,99.6414,4530777543,0,0,0
2,130.946876,30.647916,130.95,30.65,4.4,88.850586,4530777544,0,0,0
2,130.95,30.645833,130.953126,30.647916,4.4,84.870558,4530777631,0,0,0
2,130.943751,30.65,130.946876,30.652083,4.4,93.757015,4530778521,0,0,0
2,130.946876,30.65,130.95,30.652083,4.4,82.966201,4530778522,0,0,0
2,130.943751,30.652083,130.946876,30.654166,4.4,97.737044,4530778523,0,0,0
2,130.946876,30.652083,130.95,30.654166,4.4,86.94623,4530778524,0,0,0
2,130.943751,30.654166,130.946876,30.65625,4.4,101.717073,4530778541,0,0,0
2,130.946876,30.654166,130.95,30.65625,4.4,90.926259,4530778542,0,0,0
2,130.943751,30.65625,130.946876,30.658333,4.4,95.832688,4530778543,0,0,0
2,130.946876,30.65625,130.95,30.658333,4.4,85.041874,4530778544,0,0,0
2,130.95,30.65,130.953126,30.652083,4.4,92.830615,4530778611,0,0,0
2,130.95,30.652083,130.953126,30.654166,4.4,96.810644,4530778613,0,0,0
2,130.95,30.654166,130.953126,30.65625,4.4,100.790673,4530778631,0,0,0
2,130.95,30.65625,130.953126,30.658333,4.4,94.906288,4530778633,0,0,0
2,130.943751,30.658333,130.946876,30.660416,4.4,89.948302,4530779521,0,0,0
2,130.946876,30.658333,130.95,30.660416,4.4,99.812716,4530779522,0,0,0
2,130.946876,30.660416,130.95,30.6625,4.4,93.928331,4530779524,0,0,0
2,130.946876,30.6625,130.95,30.664583,4.4,88.043946,4530779542,0,0,0
2,130.95,30.6625,130.953126,30.664583,4.4,97.90836,4530779631,0,0,0
2,130.95,30.664583,130.953126,30.666666,4.4,101.888389,4530779633,0,0,0
2,130.953126,30.664583,130.95625,30.666666,4.4,91.097575,4530779634,0,0,0
2,130.859376,30.38125,130.8625,30.383333,4.3,77.778315,4530465844,0,0,0
2,130.862499,30.389583,130.865626,30.391666,4.3,83.46772,4530466933,0,0,0
2,130.862499,30.391666,130.865626,30.39375,4.3,88.318567,4530467911,0,0,0
2,130.862499,30.39375,130.865626,30.395833,4.3,85.221722,4530467913,0,0,0
2,130.862499,30.395833,130.865626,30.397916,4.3,91.720081,4530467931,0,0,0
2,130.865626,30.410416,130.868751,30.4125,4.3,90.148017,4530469914,0,0,0
2,130.884376,30.35625,130.8875,30.358333,4.3,74.088372,4530472044,0,0,0
