1,v01,JGD2000,2016/08/05 15:30:00,20160805150000,99,[gis][pga][al][ah][sinj],jshis,M1,4929
2,129.971874,32.760416,129.975001,32.762500,4.7,123.192768,4929171724,0,0.000051,0
2,129.971874,32.762500,129.975001,32.764583,4.7,129.047691,4929171742,0,0.005234,0
2,129.975001,32.760416,129.978126,32.762500,4.7,137.223208,4929171813,0,0.000104,0
2,129.975001,32.762500,129.978126,32.764583,4.7,143.078131,4929171831,0,0.004232,0
2,129.978126,32.827083,129.981250,32.829166,4.7,132.639932,4929179814,0,0.003809,0
2,129.978126,32.829166,129.981250,32.831250,4.7,119.047174,4929179832,0,0.003188,0
2,129.984376,32.831250,129.987500,32.833333,4.7,134.832941,4929179844,0,0.00382,0
2,129.990626,32.831250,129.993751,32.833333,4.7,133.515296,4929179934,0,0.001692,0
2,129.978126,32.835416,129.981250,32.837500,4.7,137.489609,4929270814,0,0.002144,0
2,129.984376,32.833333,129.987500,32.835416,4.7,141.85885,4929270822,0,0.003916,0
2,129.984376,32.835416,129.987500,32.837500,4.7,136.171963,4929270824,0,0.00115,0
2,129.975001,32.837500,129.978126,32.839583,4.7,123.042864,4929270831,0,0.001067,0
2,129.978126,32.837500,129.981250,32.839583,4.7,137.073304,4929270832,0,0.0001,0
2,129.975001,32.839583,129.978126,32.841666,4.7,136.656999,4929270833,0,0.000386,0
2,129.978126,32.839583,129.981250,32.841666,4.7,121.308913,4929270834,0,0,0
2,129.981250,32.837500,129.984376,32.839583,4.7,121.725218,4929270841,0,0.000386,0
2,129.984376,32.837500,129.987500,32.839583,4.7,135.755658,4929270842,0,0.002211,0
2,129.981250,32.839583,129.984376,32.841666,4.7,135.339354,4929270843,0,0,0
2,129.984376,32.839583,129.987500,32.841666,4.7,119.991268,4929270844,0,0.001812,0
2,129.990626,32.833333,129.993751,32.835416,4.7,140.541204,4929270912,0,0.001512,0
2,129.990626,32.835416,129.993751,32.837500,4.7,134.854318,4929270914,0,0.003197,0
2,129.987499,32.837500,129.990626,32.839583,4.7,120.407573,4929270931,0,0.005861,0
2,129.990626,32.837500,129.993751,32.839583,4.7,134.438013,4929270932,0,0.003974,0
2,129.987499,32.839583,129.990626,32.841666,4.7,134.021708,4929270933,0,0.005471,0
2,129.990626,32.839583,129.993751,32.841666,4.7,118.673623,4929270934,0,0.005504,0
2,129.993751,32.837500,129.996875,32.839583,4.7,119.089928,4929270941,0,0.000239,0
2,129.996875,32.837500,130.000001,32.839583,4.7,133.120368,4929270942,0,0.0002,0
2,129.993751,32.839583,129.996875,32.841666,4.7,132.704063,4929270943,0,0.000418,0
2,129.996875,32.839583,130.000001,32.841666,4.7,146.734503,4929270944,0,0,0
2,129.953126,32.847916,129.956250,32.850000,4.7,126.695579,4929271634,0,0.001042,0
2,129.956249,32.845833,129.959376,32.847916,4.7,119.206012,4929271641,0,0.001064,0
2,129.956249,32.847916,129.959376,32.850000,4.7,140.726019,4929271643,0,0,0
2,129.984376,32.841666,129.987500,32.843750,4.7,119.574963,4929271822,0,0,0
2,129.987499,32.841666,129.990626,32.843750,4.7,133.605403,4929271911,0,0,0
2,129.990626,32.841666,129.993751,32.843750,4.7,118.257318,4929271912,0,0.000046,0
2,129.993751,32.841666,129.996875,32.843750,4.7,132.287758,4929271921,0,0.000023,0
2,129.996875,32.845833,130.000001,32.847916,4.7,129.283516,4929271942,0,0,0
2,129.928126,32.854166,129.931251,32.856250,4.7,135.987827,4929272432,0,0.00067,0
2,129.928126,32.856250,129.931251,32.858333,4.7,126.811663,4929272434,0,0.000216,0
2,129.953126,32.856250,129.956250,32.858333,4.7,121.541082,4929272634,0,0,0
2,129.956249,32.856250,129.959376,32.858333,4.7,135.571522,4929272643,0,0,0
2,129.990626,32.850000,129.993751,32.852083,4.7,127.596919,4929272912,0,0.000019,0
2,129.990626,32.852083,129.993751,32.854166,4.7,127.180614,4929272914,0,0.000019,0
2,129.928126,32.860416,129.931251,32.862500,4.7,125.979053,4929273414,0,0.000123,0
2,129.934375,32.858333,129.937501,32.860416,4.7,139.108153,4929273422,0,0.000902,0
2,129.937501,32.860416,129.940625,32.862500,4.7,140.009493,4929273513,0,0.000362,0
2,129.950000,32.860416,129.953126,32.862500,4.7,137.374203,4929273613,0,0.000023,0
2,129.984376,32.858333,129.987500,32.860416,4.7,135.155217,4929273822,0,0.00026,0
2,129.978126,32.864583,129.981250,32.866666,4.7,122.974811,4929273834,0,0,0
2,129.987499,32.858333,129.990626,32.860416,4.7,119.807132,4929273911,0,0.000701,0
2,129.931251,32.866666,129.934375,32.868750,4.7,137.906592,4929274421,0,0,0
2,129.971874,32.868750,129.975001,32.870833,4.7,123.459847,4929274724,0,0,0
2,129.971874,32.870833,129.975001,32.872916,4.7,137.537641,4929274742,0,0.000602,0
2,129.956249,32.889583,129.959376,32.891666,4.7,128.17964,4929276643,0,0.00135,0
2,129.959376,32.889583,129.962501,32.891666,4.7,142.21008,4929276644,0,0.002251,0
2,129.965625,32.885416,129.968751,32.887500,4.7,131.964539,4929276714,0,0,0
2,129.968751,32.885416,129.971875,32.887500,4.7,145.994979,4929276723,0,0.000177,0
2,129.971874,32.885416,129.975001,32.887500,4.7,130.646893,4929276724,0,0.000787,0
2,129.962501,32.889583,129.965625,32.891666,4.7,126.861995,4929276733,0,0.000507,0
2,129.965625,32.889583,129.968751,32.891666,4.7,140.892435,4929276734,0,0.000166,0
2,129.968751,32.887500,129.971875,32.889583,4.7,123.715692,4929276741,0,0,0
2,129.971874,32.887500,129.975001,32.889583,4.7,137.746132,4929276742,0,0,0
2,129.968751,32.889583,129.971875,32.891666,4.7,125.544349,4929276743,0,0.000458,0
2,129.975001,32.887500,129.978126,32.889583,4.7,122.398047,4929276831,0,0,0
2,129.978126,32.887500,129.981250,32.889583,4.7,136.428487,4929276832,0,0.000038,0
2,129.975001,32.889583,129.978126,32.891666,4.7,124.226704,4929276833,0,0.000193,0
2,129.978126,32.889583,129.981250,32.891666,4.7,138.257144,4929276834,0,0.000602,0
