1,v01,JGD2000,2016/09/27 12:00:00,20160927120000,99,[gis][pga][al][ah][sinj],jshis,M1,5138
2,138.881250,34.637500,138.884375,34.639583,5.0,195.274416,5138776041,0.000276,0.04829,0
2,138.881250,34.639583,138.884375,34.641667,5.0,173.999567,5138776043,0.000117,0.016667,0
2,138.884375,34.639583,138.887500,34.641667,5.0,193.955466,5138776044,0.000291,0.028064,0
2,138.881250,34.641667,138.884375,34.643750,5.0,192.636516,5138777021,0.000224,0.042449,0
2,138.884375,34.641667,138.887500,34.643750,5.0,170.806492,5138777022,0.000249,0.013107,0
2,138.881250,34.643750,138.884375,34.645833,5.0,169.487543,5138777023,0.000095,0.00869,0
2,138.884375,34.643750,138.887500,34.645833,5.0,189.443442,5138777024,0.000095,0.00869,0
2,138.784375,34.639583,138.787500,34.641667,4.9,161.972911,5138766244,0,0.000704,0
2,138.887500,34.633333,138.890625,34.635417,4.9,170.98443,5138776111,0,0.028122,0
2,138.890625,34.633333,138.893750,34.635417,4.9,151.573149,5138776112,0,0,0
2,138.890625,34.635417,138.893750,34.637500,4.9,171.478092,5138776114,0,0.042302,0
2,138.893750,34.635417,138.896875,34.637500,4.9,152.066811,5138776123,0,0.00949,0
2,138.925000,34.658333,138.928125,34.660417,4.9,179.562177,5138779411,0,0.010592,0
2,138.990625,34.658333,138.993750,34.660417,4.9,166.230385,5138779912,0,0,0
2,138.990625,34.660417,138.993750,34.662500,4.9,166.137642,5138779914,0,0,0
2,138.856250,34.647917,138.859375,34.650000,4.8,150.666811,5138767843,0,0.005747,0
2,138.868750,34.641667,138.871875,34.643750,4.8,155.277237,5138767921,0,0.005755,0
2,138.871875,34.643750,138.875000,34.645833,4.8,152.752541,5138767924,0,0.006253,0
2,138.865625,34.647917,138.868750,34.650000,4.8,164.963683,5138767934,0,0.005894,0
2,138.871875,34.645833,138.875000,34.647917,4.8,150.227846,5138767942,0,0.006978,0
2,138.912500,34.637500,138.915625,34.639583,4.8,146.990155,5138776331,0,0,0
2,138.912500,34.639583,138.915625,34.641667,4.8,163.207822,5138776333,0,0.008581,0
2,138.875000,34.643750,138.878125,34.645833,4.8,135.492008,5138777013,0,0.00562,0
2,138.875000,34.645833,138.878125,34.647917,4.8,132.967312,5138777031,0,0.006438,0
2,138.881250,34.645833,138.884375,34.647917,4.8,164.524718,5138777041,0,0.001046,0
2,138.881250,34.647917,138.884375,34.650000,4.8,144.739489,5138777043,0,0.004288,0
