#
# VER. = 1.0
# DATE = 2014-12-24
#
# UPDATED
#
# FTL
# JLON,JLAT,WLON,WLAT,DEP
135.6177238, 34.5211340,135.6148900, 34.5244000,0.0000
135.6889722, 34.8772928,135.6861200, 34.8805200,0.0000
# FLT
# JLON,JLAT,WLON,WLAT,DEP
135.6484463, 34.5169228,135.6456100, 34.5201900,2000.0000
135.7197048, 34.8730816,135.7168500, 34.8763100,2000.0000
135.8783279, 34.8513454,135.8754600, 34.8545800,12324.3759
135.8070694, 34.4951767,135.8042200, 34.4984500,12324.3759
# ASP1
# JLON,JLAT,WLON,WLAT,DEP
135.7228894, 34.7079828,135.7200400, 34.7112300,4294.2222
135.7478258, 34.8326363,135.7449700, 34.8358700,4294.2222
135.8183217, 34.8229736,135.8154600, 34.8262100,8882.6667
135.7933852, 34.6983200,135.7905300, 34.7015700,8882.6667
# ASP2
# JLON,JLAT,WLON,WLAT,DEP
135.7084525, 34.5452947,135.7056100, 34.5485600,5441.3333
135.7262671, 34.6343343,135.7234200, 34.6375900,5441.3333
135.7791315, 34.6270823,135.7762800, 34.6303400,8882.6667
135.7613269, 34.5380426,135.7584800, 34.5413100,8882.6667
# DES
# JLON,JLAT,WLON,WLAT,DEP
135.7702292, 34.5825674,135.7673800, 34.5858300,8882.6667
# DATA
# ELM,JLON,JLAT,WLON,WLAT,DEP,ASPN
1,135.65905, 34.52461,135.65621, 34.52788,2573.5764,0
2,135.66261, 34.54243,135.65977, 34.54569,2573.5764,0
3,135.66617, 34.56024,135.66333, 34.56350,2573.5764,0
4,135.66973, 34.57804,135.66689, 34.58130,2573.5764,0
5,135.67329, 34.59585,135.67045, 34.59911,2573.5764,0
6,135.67685, 34.61365,135.67401, 34.61691,2573.5764,0
7,135.68042, 34.63147,135.67758, 34.63472,2573.5764,0
8,135.68398, 34.64928,135.68114, 34.65253,2573.5764,0
9,135.68754, 34.66708,135.68470, 34.67033,2573.5764,0
10,135.69111, 34.68489,135.68826, 34.68814,2573.5764,0
11,135.69467, 34.70269,135.69182, 34.70594,2573.5764,0
12,135.69823, 34.72050,135.69538, 34.72375,2573.5764,0
13,135.70180, 34.73832,135.69895, 34.74156,2573.5764,0
14,135.70536, 34.75612,135.70251, 34.75936,2573.5764,0
15,135.70892, 34.77393,135.70607, 34.77717,2573.5764,0
16,135.71248, 34.79174,135.70963, 34.79498,2573.5764,0
17,135.71604, 34.80954,135.71319, 34.81278,2573.5764,0
18,135.71960, 34.82736,135.71675, 34.83059,2573.5764,0
19,135.72317, 34.84516,135.72032, 34.84839,2573.5764,0
20,135.72674, 34.86297,135.72388, 34.86620,2573.5764,0
21,135.67667, 34.52220,135.67383, 34.52547,3720.7293,0
22,135.68023, 34.54000,135.67739, 34.54327,3720.7293,0
23,135.68379, 34.55782,135.68095, 34.56108,3720.7293,0
24,135.68735, 34.57563,135.68451, 34.57889,3720.7293,0
25,135.69092, 34.59343,135.68808, 34.59669,3720.7293,0
26,135.69448, 34.61124,135.69164, 34.61450,3720.7293,0
27,135.69804, 34.62905,135.69520, 34.63231,3720.7293,0
28,135.70161, 34.64686,135.69876, 34.65011,3720.7293,0
29,135.70517, 34.66467,135.70232, 34.66792,3720.7293,0
30,135.70873, 34.68247,135.70588, 34.68572,3720.7293,0
31,135.71230, 34.70028,135.70945, 34.70353,3720.7293,0
32,135.71586, 34.71809,135.71301, 34.72134,3720.7293,0
33,135.71942, 34.73590,135.71657, 34.73914,3720.7293,0
34,135.72298, 34.75371,135.72013, 34.75695,3720.7293,0
35,135.72654, 34.77151,135.72369, 34.77475,3720.7293,0
36,135.73010, 34.78932,135.72725, 34.79256,3720.7293,0
37,135.73367, 34.80713,135.73082, 34.81037,3720.7293,0
38,135.73723, 34.82494,135.73438, 34.82817,3720.7293,0
39,135.74080, 34.84275,135.73794, 34.84598,3720.7293,0
40,135.74436, 34.86055,135.74150, 34.86378,3720.7293,0
41,135.69429, 34.51978,135.69145, 34.52305,4867.8822,0
42,135.69785, 34.53759,135.69501, 34.54086,4867.8822,0
43,135.70142, 34.55541,135.69858, 34.55867,4867.8822,0
44,135.70498, 34.57321,135.70214, 34.57647,4867.8822,0
45,135.70854, 34.59102,135.70570, 34.59428,4867.8822,0
46,135.71211, 34.60882,135.70926, 34.61208,4867.8822,0
47,135.71567, 34.62663,135.71282, 34.62989,4867.8822,0
48,135.71923, 34.64445,135.71638, 34.64770,4867.8822,0
49,135.72280, 34.66225,135.71995, 34.66550,4867.8822,0
50,135.72636, 34.68006,135.72351, 34.68331,4867.8822,0
51,135.72992, 34.69786,135.72707, 34.70111,4867.8822,0
52,135.73348, 34.71567,135.73063, 34.71892,4867.8822,1
53,135.73704, 34.73349,135.73419, 34.73673,4867.8822,1
54,135.74060, 34.75129,135.73775, 34.75453,4867.8822,1
55,135.74417, 34.76910,135.74132, 34.77234,4867.8822,1
56,135.74773, 34.78691,135.74488, 34.79015,4867.8822,1
57,135.75130, 34.80471,135.74844, 34.80795,4867.8822,1
58,135.75486, 34.82253,135.75200, 34.82576,4867.8822,1
59,135.75842, 34.84033,135.75556, 34.84356,4867.8822,0
60,135.76198, 34.85814,135.75912, 34.86137,4867.8822,0
61,135.71192, 34.51737,135.70908, 34.52064,6015.0351,0
62,135.71548, 34.53517,135.71264, 34.53844,6015.0351,0
63,135.71904, 34.55299,135.71620, 34.55625,6015.0351,2
64,135.72260, 34.57080,135.71976, 34.57406,6015.0351,2
65,135.72617, 34.58860,135.72332, 34.59186,6015.0351,2
66,135.72973, 34.60641,135.72688, 34.60967,6015.0351,2
67,135.73330, 34.62422,135.73045, 34.62748,6015.0351,2
68,135.73686, 34.64202,135.73401, 34.64528,6015.0351,0
69,135.74042, 34.65984,135.73757, 34.66309,6015.0351,0
70,135.74398, 34.67764,135.74113, 34.68089,6015.0351,0
71,135.74754, 34.69545,135.74469, 34.69870,6015.0351,0
72,135.75110, 34.71326,135.74825, 34.71651,6015.0351,1
73,135.75467, 34.73106,135.75182, 34.73431,6015.0351,1
74,135.75823, 34.74888,135.75538, 34.75212,6015.0351,1
75,135.76179, 34.76668,135.75894, 34.76992,6015.0351,1
76,135.76536, 34.78449,135.76250, 34.78773,6015.0351,1
77,135.76892, 34.80230,135.76606, 34.80554,6015.0351,1
78,135.77248, 34.82010,135.76962, 34.82334,6015.0351,1
79,135.77605, 34.83792,135.77319, 34.84115,6015.0351,0
80,135.77961, 34.85573,135.77675, 34.85896,6015.0351,0
81,135.72954, 34.51495,135.72670, 34.51822,7162.1879,0
82,135.73310, 34.53276,135.73026, 34.53603,7162.1879,0
83,135.73667, 34.55057,135.73382, 34.55384,7162.1879,2
84,135.74023, 34.56838,135.73738, 34.57164,7162.1879,2
85,135.74380, 34.58619,135.74095, 34.58945,7162.1879,2
86,135.74736, 34.60399,135.74451, 34.60725,7162.1879,2
87,135.75092, 34.62180,135.74807, 34.62506,7162.1879,2
88,135.75448, 34.63961,135.75163, 34.64287,7162.1879,0
89,135.75804, 34.65742,135.75519, 34.66067,7162.1879,0
90,135.76160, 34.67523,135.75875, 34.67848,7162.1879,0
91,135.76517, 34.69304,135.76232, 34.69629,7162.1879,0
92,135.76873, 34.71084,135.76588, 34.71409,7162.1879,1
93,135.77229, 34.72865,135.76944, 34.73190,7162.1879,1
94,135.77586, 34.74646,135.77300, 34.74970,7162.1879,1
95,135.77942, 34.76427,135.77656, 34.76751,7162.1879,1
96,135.78298, 34.78208,135.78012, 34.78532,7162.1879,1
97,135.78655, 34.79988,135.78369, 34.80312,7162.1879,1
98,135.79011, 34.81769,135.78725, 34.82093,7162.1879,1
99,135.79367, 34.83550,135.79081, 34.83873,7162.1879,0
100,135.79723, 34.85331,135.79437, 34.85654,7162.1879,0
101,135.74716, 34.51254,135.74432, 34.51581,8309.3408,0
102,135.75073, 34.53035,135.74788, 34.53362,8309.3408,0
103,135.75430, 34.54815,135.75145, 34.55142,8309.3408,2
104,135.75786, 34.56597,135.75501, 34.56923,8309.3408,2
105,135.76142, 34.58377,135.75857, 34.58703,8309.3408,2
106,135.76498, 34.60158,135.76213, 34.60484,8309.3408,2
107,135.76854, 34.61939,135.76569, 34.62265,8309.3408,2
108,135.77210, 34.63719,135.76925, 34.64045,8309.3408,0
109,135.77567, 34.65501,135.77282, 34.65826,8309.3408,0
110,135.77923, 34.67281,135.77638, 34.67606,8309.3408,0
111,135.78279, 34.69062,135.77994, 34.69387,8309.3408,0
112,135.78635, 34.70843,135.78350, 34.71168,8309.3408,1
113,135.78992, 34.72623,135.78706, 34.72948,8309.3408,1
114,135.79348, 34.74405,135.79062, 34.74729,8309.3408,1
115,135.79705, 34.76186,135.79419, 34.76510,8309.3408,1
116,135.80061, 34.77966,135.79775, 34.78290,8309.3408,1
117,135.80417, 34.79747,135.80131, 34.80071,8309.3408,1
118,135.80773, 34.81527,135.80487, 34.81851,8309.3408,1
119,135.81129, 34.83308,135.80843, 34.83632,8309.3408,0
120,135.81485, 34.85090,135.81199, 34.85413,8309.3408,0
121,135.76480, 34.51012,135.76195, 34.51339,9456.4937,0
122,135.76836, 34.52793,135.76551, 34.53120,9456.4937,0
123,135.77192, 34.54574,135.76907, 34.54901,9456.4937,0
124,135.77548, 34.56355,135.77263, 34.56681,9456.4937,0
125,135.77904, 34.58136,135.77619, 34.58462,9456.4937,0
126,135.78260, 34.59917,135.77975, 34.60243,9456.4937,0
127,135.78617, 34.61697,135.78332, 34.62023,9456.4937,0
128,135.78973, 34.63478,135.78688, 34.63804,9456.4937,0
129,135.79329, 34.65258,135.79044, 34.65584,9456.4937,0
130,135.79685, 34.67040,135.79400, 34.67365,9456.4937,0
131,135.80042, 34.68821,135.79756, 34.69146,9456.4937,0
132,135.80398, 34.70601,135.80112, 34.70926,9456.4937,0
133,135.80755, 34.72382,135.80469, 34.72707,9456.4937,0
134,135.81111, 34.74162,135.80825, 34.74487,9456.4937,0
135,135.81467, 34.75944,135.81181, 34.76268,9456.4937,0
136,135.81823, 34.77725,135.81537, 34.78049,9456.4937,0
137,135.82179, 34.79505,135.81893, 34.79829,9456.4937,0
138,135.82535, 34.81286,135.82249, 34.81610,9456.4937,0
139,135.82892, 34.83067,135.82606, 34.83391,9456.4937,0
140,135.83248, 34.84848,135.82962, 34.85171,9456.4937,0
141,135.78242, 34.50771,135.77957, 34.51098,10603.6465,0
142,135.78598, 34.52552,135.78313, 34.52879,10603.6465,0
143,135.78954, 34.54332,135.78669, 34.54659,10603.6465,0
144,135.79310, 34.56113,135.79025, 34.56440,10603.6465,0
145,135.79667, 34.57894,135.79382, 34.58220,10603.6465,0
146,135.80023, 34.59675,135.79738, 34.60001,10603.6465,0
147,135.80379, 34.61456,135.80094, 34.61782,10603.6465,0
148,135.80735, 34.63236,135.80450, 34.63562,10603.6465,0
149,135.81092, 34.65017,135.80806, 34.65343,10603.6465,0
150,135.81448, 34.66799,135.81162, 34.67124,10603.6465,0
151,135.81805, 34.68579,135.81519, 34.68904,10603.6465,0
152,135.82161, 34.70360,135.81875, 34.70685,10603.6465,0
153,135.82517, 34.72140,135.82231, 34.72465,10603.6465,0
154,135.82873, 34.73921,135.82587, 34.74246,10603.6465,0
155,135.83229, 34.75703,135.82943, 34.76027,10603.6465,0
156,135.83585, 34.77483,135.83299, 34.77807,10603.6465,0
157,135.83942, 34.79264,135.83656, 34.79588,10603.6465,0
158,135.84298, 34.81044,135.84012, 34.81368,10603.6465,0
159,135.84654, 34.82825,135.84368, 34.83149,10603.6465,0
160,135.85011, 34.84607,135.84724, 34.84930,10603.6465,0
161,135.80004, 34.50530,135.79719, 34.50857,11750.7994,0
162,135.80360, 34.52310,135.80075, 34.52637,11750.7994,0
163,135.80717, 34.54091,135.80432, 34.54418,11750.7994,0
164,135.81073, 34.55871,135.80788, 34.56198,11750.7994,0
165,135.81429, 34.57653,135.81144, 34.57979,11750.7994,0
166,135.81785, 34.59434,135.81500, 34.59760,11750.7994,0
167,135.82141, 34.61214,135.81856, 34.61540,11750.7994,0
168,135.82498, 34.62995,135.82212, 34.63321,11750.7994,0
169,135.82855, 34.64775,135.82569, 34.65101,11750.7994,0
170,135.83211, 34.66557,135.82925, 34.66882,11750.7994,0
171,135.83567, 34.68338,135.83281, 34.68663,11750.7994,0
172,135.83923, 34.70118,135.83637, 34.70443,11750.7994,0
173,135.84279, 34.71899,135.83993, 34.72224,11750.7994,0
174,135.84635, 34.73680,135.84349, 34.74005,11750.7994,0
175,135.84992, 34.75461,135.84706, 34.75785,11750.7994,0
176,135.85348, 34.77242,135.85062, 34.77566,11750.7994,0
177,135.85704, 34.79022,135.85418, 34.79346,11750.7994,0
178,135.86060, 34.80803,135.85774, 34.81127,11750.7994,0
179,135.86417, 34.82584,135.86130, 34.82908,11750.7994,0
180,135.86773, 34.84364,135.86486, 34.84688,11750.7994,0
