Mesh5th,BV,BI,EB,AMP,SI
4932044314,0,0,0,0,5.69999981
4932044323,0,0,0,0,5.69999981
4932044331,0,0,0,0,5.69999981
4932044332,0,0,0,0,5.69999981
4932044341,0,0,0,0,5.69999981
4932044342,0,0,0,0,5.69999981
4932044334,0,0,0,0,5.5999999
4932044343,0,0,0,0,5.5999999
4932044344,0,0,0,0,5.5999999
4932044433,0,0,0,0,5.9000001
4932044434,0,0,0,0,5.69999981
4932045321,0,0,0,0,5.5999999
4932045322,0,0,0,0,5.69999981
4932045323,0,0,0,0,5.5999999
4932045324,0,0,0,0,5.69999981
4932045342,0,0,0,0,6
4932045411,0,0,0,0,5.5999999
4932045412,0,0,0,0,5.5999999
4932045421,0,0,0,0,5.5999999
4932045422,0,0,0,0,5.5999999
4932045413,0,0,0,0,5.5999999
4932045414,0,0,0,0,5.5999999
4932045423,0,0,0,0,5.5999999
4932045424,0,0,0,0,5.5999999
4932045431,0,0,0,0,5.69999981
4932045432,0,0,0,0,5.5999999
4932045441,0,0,0,0,5.5999999
4932045442,0,0,0,0,5.5999999
4932045433,0,0,0,0,5.5999999
4932045434,0,0,0,0,5.5999999
4932045443,0,0,0,0,5.5999999
4932045444,0,0,0,0,5.5999999
4932045513,0,0,0,0,5.5999999
4932045523,0,0,0,0,5.5999999
4932045531,0,0,0,0,5.5999999
4932045532,0,0,0,0,5.5999999
4932045541,0,0,0,0,5.5999999
4932045533,0,0,0,0,5.5999999
4932045534,0,0,0,0,5.5999999
4932045543,0,0,0,0,5.5999999
4932045544,0,0,0,0,5.5999999
4932046321,0,0,0,0,5.5999999
4932046322,0,0,0,0,5.5999999
4932046323,0,0,0,0,5.5999999
4932046324,0,0,0,0,5.5999999
4932046332,0,0,0,0,5.5999999
4932046341,0,0,0,0,5.5999999
4932046342,0,0,0,0,5.5999999
4932046334,0,0,0,0,5.5999999
4932046343,0,0,0,0,5.5999999
4932046344,0,0,0,0,5.5999999
4932046411,0,0,0,0,5.5999999
4932046412,0,0,0,0,5.5999999
4932046421,0,0,0,0,5.5999999
4932046422,0,0,0,0,5.5999999
4932046413,0,0,0,0,5.5999999
4932046414,0,0,0,0,5.5999999
4932046423,0,0,0,0,5.5999999
4932046424,0,0,0,0,5.5999999
4932046431,0,0,0,0,5.5999999
4932046432,0,0,0,0,5.5999999
4932046441,0,0,0,0,5.5999999
4932046442,0,0,0,0,5.5999999
4932046433,0,0,0,0,5.5999999
4932046434,0,0,0,0,5.5999999
4932046443,0,0,0,0,5.5999999
4932046444,0,0,0,0,5.5999999
4932046511,0,0,0,0,5.5999999
4932046512,0,0,0,0,5.5999999
4932046521,0,0,0,0,5.5999999
4932046522,0,0,0,0,5.5999999
4932046513,0,0,0,0,5.5999999
4932046514,0,0,0,0,5.5999999
4932046523,0,0,0,0,5.5999999
4932046531,0,0,0,0,5.69999981
4932046532,0,0,0,0,5.5999999
4932046533,0,0,0,0,5.69999981
4932046534,0,0,0,0,5.5999999
4932076944,0,0,0,0,5.80000019
4932047311,0,0,0,0,5.5
4932047312,0,0,0,0,5.5
4932047321,0,0,0,0,5.5
4932047322,0,0,0,0,5.5
4932047313,0,0,0,0,5.5
4932047314,0,0,0,0,5.5
4932047323,0,0,0,0,5.5
4932047324,0,0,0,0,5.5
4932047331,0,0,0,0,5.5
4932047332,0,0,0,0,5.5
4932047341,0,0,0,0,5.5
4932047342,0,0,0,0,5.5
4932047334,0,0,0,0,5.5
4932047343,0,0,0,0,5.5
4932047344,0,0,0,0,5.5
4932047411,0,0,0,0,5.5
4932047412,0,0,0,0,5.5999999
4932047421,0,0,0,0,5.5999999
4932047422,0,0,0,0,5.5999999
4932047413,0,0,0,0,5.5
4932047414,0,0,0,0,5.5
4932047423,0,0,0,0,5.5
4932047424,0,0,0,0,5.5
4932047431,0,0,0,0,5.5
4932047432,0,0,0,0,5.5
4932047441,0,0,0,0,5.5
4932047442,0,0,0,0,5.5
4932047433,0,0,0,0,5.5
4932047434,0,0,0,0,5.5
4932047443,0,0,0,0,5.5
4932047444,0,0,0,0,5.5
4932047511,0,0,0,0,5.5999999
4932047512,0,0,0,0,5.5999999
4932047513,0,0,0,0,5.5
4932047514,0,0,0,0,5.5
4932047531,0,0,0,0,5.5
4932047532,0,0,0,0,5.5
4932047533,0,0,0,0,5.5
4932047534,0,0,0,0,5.5
4932077921,0,0,0,0,5.80000019
4932077922,0,0,0,0,5.69999981
4932077913,0,0,0,0,5.80000019
4932077923,0,0,0,0,5.80000019
4932077924,0,0,0,0,5.80000019
4932077931,0,0,0,0,5.80000019
4932077932,0,0,0,0,5.80000019
4932077941,0,0,0,0,5.80000019
4932077942,0,0,0,0,5.80000019
4932077933,0,0,0,0,5.80000019
4932077934,0,0,0,0,5.80000019
4932077943,0,0,0,0,5.80000019
4932077944,0,0,0,0,5.80000019
4932047224,0,0,0,0,5.5
4932047242,0,0,0,0,5.5
4932077714,0,0,0,0,5.80000019
4932077723,0,0,0,0,5.80000019
4932077731,0,0,0,0,5.9000001
4932077732,0,0,0,0,5.80000019
4932077741,0,0,0,0,5.80000019
4932077733,0,0,0,0,5.9000001
4932077734,0,0,0,0,5.80000019
4932077743,0,0,0,0,5.80000019
4932077744,0,0,0,0,5.80000019
4932077832,0,0,0,0,5.9000001
4932077841,0,0,0,0,5.9000001
4932077833,0,0,0,0,5.80000019
4932077834,0,0,0,0,5.80000019
4932077843,0,0,0,0,5.80000019
4932077844,0,0,0,0,5.80000019
4932038821,0,0,0,0,5.69999981
4932038822,0,0,0,0,5.5999999
4932038823,0,0,0,0,5.69999981
4932038824,0,0,0,0,5.5999999
4932038842,0,0,0,0,5.69999981
4932038911,0,0,0,0,5.5999999
4932038913,0,0,0,0,5.5999999
4932038914,0,0,0,0,5.5999999
4932038931,0,0,0,0,5.5999999
4932038932,0,0,0,0,5.5999999
4932038933,0,0,0,0,5.5999999
4932038934,0,0,0,0,5.5999999
4932048312,0,0,0,0,5.5
4932048321,0,0,0,0,5.5
4932048322,0,0,0,0,5.5
4932048314,0,0,0,0,5.5
4932048323,0,0,0,0,5.5
4932048324,0,0,0,0,5.5
4932048341,0,0,0,0,5.5
4932048342,0,0,0,0,5.5
4932048343,0,0,0,0,5.5
4932048344,0,0,0,0,5.5
4932048411,0,0,0,0,5.5
4932048412,0,0,0,0,5.5
4932048421,0,0,0,0,5.5
4932048422,0,0,0,0,5.5
4932048413,0,0,0,0,5.5
4932048414,0,0,0,0,5.5
4932048423,0,0,0,0,5.5
4932048424,0,0,0,0,5.5
4932048431,0,0,0,0,5.5
4932048432,0,0,0,0,5.5
4932048441,0,0,0,0,5.5
4932048442,0,0,0,0,5.5
4932048433,0,0,0,0,5.5
4932048434,0,0,0,0,5.5
4932048443,0,0,0,0,5.5
4932048444,0,0,0,0,5.5
4932048511,0,0,0,0,5.5
4932048512,0,0,0,0,5.5
4932048521,0,0,0,0,5.5
4932048513,0,0,0,0,5.5
4932048514,0,0,0,0,5.5
4932048523,0,0,0,0,5.5
4932048531,0,0,0,0,5.5
4932048532,0,0,0,0,5.5
4932048541,0,0,0,0,5.5
4932048533,0,0,0,0,5.5
4932078712,0,0,0,0,5.80000019
4932078721,0,0,0,0,5.80000019
4932078722,0,0,0,0,5.80000019
4932078714,0,0,0,0,5.80000019
4932078723,0,0,0,0,5.80000019
4932078724,0,0,0,0,5.80000019
4932078732,0,0,0,0,5.80000019
4932078741,0,0,0,0,5.80000019
4932078742,0,0,0,0,5.80000019
4932078734,0,0,0,0,5.9000001
4932078743,0,0,0,0,5.80000019
4932078744,0,0,0,0,5.80000019
4932078811,0,0,0,0,5.80000019
4932078812,0,0,0,0,5.80000019
4932078821,0,0,0,0,5.80000019
4932078822,0,0,0,0,5.80000019
4932078813,0,0,0,0,5.80000019
4932078814,0,0,0,0,5.80000019
4932078823,0,0,0,0,5.80000019
4932078824,0,0,0,0,5.80000019
