CODE,LAT,LON,MESH1ST,MESH2ND,MESH3RD,MESH4TH,MESH5TH
11011000200,41.818087,140.744648,6240,624055,62405589,624055892,6240558921
11011000400,41.860194,140.754062,6240,624066,62406630,624066301,6240663012
11011000500,41.785008,140.773648,6240,624056,62405641,624056412,6240564122
11011000700,41.765509,140.71207,6240,624055,62405516,624055164,6240551644
11011000800,41.79234,140.755204,6240,624056,62405650,624056501,6240565012
11011000900,41.832752,140.745842,6240,624055,62405599,624055994,6240559943
11011001100,41.813227,140.763064,6240,624056,62405671,624056713,6240567131
11011001400,41.83628,140.74262,6240,624065,62406509,624065091,6240650914
11011001600,41.824944,140.738111,6240,624055,62405589,624055893,6240558933
11011001700,41.788896,140.77362,6240,624056,62405641,624056414,6240564142
11011002000,41.806061,140.758092,6240,624056,62405660,624056604,6240566041
11011002100,41.777591,140.752844,6240,624056,62405630,624056301,6240563013
11011002200,41.78148,140.785702,6240,624056,62405632,624056324,6240563244
11011002600,41.807005,140.752731,6240,624056,62405660,624056603,6240566033
11011002800,41.784619,140.770731,6240,624056,62405641,624056412,6240564121
11011002900,41.778563,140.740623,6240,624055,62405539,624055391,6240553913
11011003000,41.786729,140.751816,6240,624056,62405640,624056401,6240564013
11011003400,41.805505,140.73015,6240,624055,62405568,624055683,6240556832
11011003500,41.427617,140.096303,6240,624010,62401017,624010172,6240101723
11011003600,41.675458,140.436403,6240,624043,62404314,624043142,6240431422
11011003800,41.896439,140.704287,6240,624065,62406576,624065763,6240657632
11011003900,41.886107,140.71137,6240,624065,62406566,624065662,6240656624
11011004000,41.775209,141.09751,6241,624150,62415037,624150372,6241503722
11011004100,41.916997,140.957376,6240,624077,62407706,624077062,6240770621
11011004200,42.127053,140.662808,6340,634015,63401553,634015531,6340155311
11011004300,42.102194,140.567888,6340,634014,63401425,634014251,6340142514
11011004600,42.252227,140.279584,6340,634032,63403202,634032021,6340320214
11011004700,42.51009,140.377286,6340,634063,63406310,634063101,6340631011
11011004900,41.913666,140.144583,6240,624061,62406191,624061914,6240619141
11011005000,41.91815,140.223131,6240,624071,62407107,624071072,6240710722
11011005100,41.968283,140.14022,6240,624071,62407161,624071611,6240716111
11011005200,42.129901,139.975948,6339,633917,63391758,633917583,6339175831
11011005400,42.172222,139.507401,6339,633924,63392400,633924004,6339240041
11011005600,42.416036,139.875776,6339,633947,63394790,633947903,6339479033
11011005700,42.429286,140.006598,6340,634050,63405010,634050104,6340501041
11011005900,41.785451,140.740372,6240,624055,62405549,624055491,6240554913
11012000100,42.879961,143.188896,6443,644321,64432155,644321553,6443215531
11012000300,42.93125,143.176111,6443,644331,64433114,644331143,6443311431
11012000600,42.935593,143.161452,6443,644331,64433122,644331222,6443312224
11012000800,42.920372,143.149259,6443,644331,64433101,644331012,6443310124
11012000900,42.92225,143.125972,6443,644331,64433100,644331003,6443310031
11012001000,42.917594,143.12965,6443,644331,64433100,644331001,6443310012
11012001100,42.930122,143.201393,6443,644331,64433116,644331163,6443311631
11012001200,42.91479,143.199894,6443,644321,64432195,644321954,6443219544
11012001300,42.922595,143.19495,6443,644331,64433105,644331054,6443310541
11012001600,42.928317,143.204004,6443,644331,64433116,644331161,6443311614
11012001900,42.909486,143.214698,6443,644321,64432197,644321971,6443219711
11012002000,42.922734,143.213948,6443,644331,64433107,644331073,6443310731
11012002300,42.984477,143.19528,6443,644331,64433185,644331852,6443318521
11012002400,42.963757,143.197864,6443,644331,64433155,644331554,6443315542
11012002500,43.171291,143.247823,6443,644361,64436109,644361094,6443610942
11012002700,43.099555,142.989583,6442,644257,64425719,644257193,6442571933
11012002900,43.01208,142.883083,6442,644247,64424710,644247102,6442471023
11012003000,42.913066,143.054656,6443,644320,64432094,644320943,6443209432
11012003100,42.488615,143.279213,6343,634352,63435282,634352823,6343528232
11012003200,42.29908,143.306691,6343,634332,63433254,634332544,6343325443
11012003300,42.916264,143.271527,6443,644322,64432291,644322914,6443229143
11012003400,42.925905,143.447623,6443,644333,64433315,644333152,6443331522
11012003500,43.122025,143.591518,6443,644354,64435447,644354473,6443544732
11012003600,43.241984,143.549183,6443,644364,64436493,644364932,6443649322
11012003800,42.971201,143.20853,6443,644331,64433166,644331664,6443316641
11012003900,42.963368,143.203975,6443,644331,64433156,644331563,6443315632
