CODE,都道府県名,二次医療圏,支援要否,医療派遣ステータス,名称,チーム数,更新日時,医師出勤状況,緊急時入力/入院病棟倒壊・倒壊の恐れ,緊急時入力/ライフライン・サプライ状況/電気使用不可,緊急時入力/ライフライン・サプライ状況/水使用不可,緊急時入力/ライフライン・サプライ状況/医療ガス使用不可,緊急時入力/ライフライン・サプライ状況/医薬品衛生資器材使用不可,緊急時入力/多数患者受診,緊急時入力/職員状況,緊急時入力/その他,緊急時入力/情報取得日時,緊急時入力/緊急連絡先/電話番号,緊急時入力/緊急連絡先/メールアドレス,緊急時入力/更新日時,詳細入力/施設の倒壊・倒壊の恐れ/入院病棟,詳細入力/施設の倒壊・倒壊の恐れ/救急外来,詳細入力/施設の倒壊・倒壊の恐れ/一般外来,詳細入力/施設の倒壊・倒壊の恐れ/手術室,詳細入力/施設の倒壊・倒壊の恐れ/その他,詳細入力/ライフライン・サプライ状況/電気使用不可,詳細入力/ライフライン・サプライ状況/水使用不可,詳細入力/ライフライン・サプライ状況/医療ガス使用不可,詳細入力/ライフライン・サプライ状況/配管損傷有無,詳細入力/ライフライン・サプライ状況/食糧供給なし,詳細入力/ライフライン・サプライ状況/医薬品供給なし,詳細入力/ライフライン・サプライ状況/詳細有無,詳細入力/機能/手術不可,詳細入力/機能/人工透析不可,詳細入力/現在の患者数状況/実働病床数,詳細入力/現在の患者数状況/受入患者数/重症,詳細入力/現在の患者数状況/受入患者数/中等症,詳細入力/現在の患者数状況/在院患者数/重症,詳細入力/現在の患者数状況/在院患者数/中等症,詳細入力/今後、転送が必要な患者数/重症,詳細入力/今後、転送が必要な患者数/中等症,詳細入力/今後、転送が必要な患者数/人工呼吸,詳細入力/今後、転送が必要な患者数/酸素,詳細入力/今後、転送が必要な患者数/担送,詳細入力/今後、転送が必要な患者数/護送,詳細入力/今後、受け入れ可能な患者数/災害時診療能力,詳細入力/今後、受け入れ可能な患者数/重症,詳細入力/今後、受け入れ可能な患者数/中等症,詳細入力/今後、受け入れ可能な患者数/人工呼吸,詳細入力/今後、受け入れ可能な患者数/酸素,詳細入力/今後、受け入れ可能な患者数/担送,詳細入力/今後、受け入れ可能な患者数/護送,詳細入力/外来受付状況/外来受付状況,詳細入力/外来受付状況/受付時間帯1/開始,詳細入力/外来受付状況/受付時間帯1/終了,詳細入力/外来受付状況/受付時間帯2/開始,詳細入力/外来受付状況/受付時間帯2/終了,詳細入力/外来受付状況/受付時間帯3/開始,詳細入力/外来受付状況/受付時間帯3/終了,詳細入力/職員数/出勤医師数,詳細入力/職員数/出勤医師数 内DMAT,詳細入力/職員数/出勤看護師数,詳細入力/職員数/出勤看護師数 内DMAT,詳細入力/職員数/その他出勤人数,詳細入力/職員数/その他出勤人数 内DMAT,詳細入力/その他/その他,詳細入力/情報取得日時,詳細入力/更新日時,救護所有無,所属本部,END
391395100300 ,高知県,高知市,未,支援中,愛幸病院,2, ,0,,,,,,,,, ,,, ,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,, , , , , , ,0,0,0,0,0,0,, , ,0,,1
391395100720 ,高知県,高知市,未,手配済,浅井病院,1, ,0,,,,,,,,, ,,, ,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,, , , , , , ,0,0,0,0,0,0,, , ,0,,1
391395100850 ,高知県,高知市,要,要手配,朝倉病院,0,2016/6/8 15:13,0,1,1,1,1,1,0,0,傷病者受入れなし。全入院患者避難完了。,2016/6/8 14:43,9097109603,bon-ohta2010@ezweb.ne.jp,2016/6/8 15:13,1,1,1,1,,2,1,1,1,2,2,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,--：--,--：--,--：--,--：--,--：--,--：--,20,2,50,2,50,1,傷病者受入れなし。全入院患者避難完了。,2016/6/8 15:12,2016/6/8 15:13,0,,1
391395100980 ,高知県,高知市,要,要手配,愛宕病院,0,2016/6/8 15:11,0,0,0,0,0,0,1,1,,2016/6/8 14:45,,,2016/6/8 15:08,0,0,0,0,,3,4,3,0,2,2,,0,0,0,30,50,40,70,30,20,0,0,0,0,0,10,25,0,0,0,0,1,--：--,--：--,--：--,--：--,--：--,--：--,0,0,0,0,0,0,,2016/6/8 14:46,2016/6/8 15:11,0,,1
391395106490 ,高知県,高知市,未,未入力,愛宕病院分院,0, ,0,,,,,,,,, ,,, ,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,, , , , , , ,0,0,0,0,0,0,, , ,0,,1
391393100250 ,高知県,高知市,要,要手配,いずみの病院,0,2016/6/8 15:10,0,0,0,1,1,0,0,0,電気は自家発電にて対応中,2016/6/8 14:45,1223456,,2016/6/8 15:08,0,0,0,0,,2,1,2,0,3,3,,1,1,0,5,5,7,5,5,10,5,10,10,5,0,0,0,0,0,0,0,1,--：--,--：--,--：--,--：--,--：--,--：--,5,1,15,3,20,2,,2016/6/8 14:47,2016/6/8 15:10,0,,1
391395106520 ,高知県,高知市,未,未入力,医療法人薫風会毛山病院,0, ,0,,,,,,,,, ,,, ,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,, , , , , , ,0,0,0,0,0,0,, , ,0,,1
392395132920 ,高知県,高知市,未,未入力,医療法人博生会内田産婦人科,0, ,0,,,,,,,,, ,,, ,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,, , , , , , ,0,0,0,0,0,0,, , ,0,,1
391395110820 ,高知県,高知市,要,要手配,医療法人仁栄会島津病院,0,2016/6/8 15:07,0,1,1,0,1,1,1,1,,2016/6/8 14:50,9072907386,,2016/6/8 14:51,1,1,1,1,,1,3,1,0,2,1,,1,1,0,3,3,3,3,3,3,1,1,3,3,0,0,0,0,0,0,0,1,--：--,--：--,--：--,--：--,--：--,--：--,8,2,10,21,5,1,島津病院、倒壊の恐れあり。患者受け入れは不可。,2016/6/8 14:53,2016/6/8 15:07,0,,1
392395129180 ,高知県,高知市,未,未入力,うえたクリニック,0, ,0,,,,,,,,, ,,, ,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,, , , , , , ,0,0,0,0,0,0,, , ,0,,1
