都道府県,市区町村,避難所名,住所,緯度,経度,避難所,一時避難所,広域避難所,地震,風水害,津波,収容人数,備蓄品,備考
埼玉県,幸手市,幸手商業高等学校,埼玉県幸手市北1-17-59,36.0861294,139.7194941,1,1,0,1,1,0,730人,食料品、生活用品、救助用資機材等,避難住民が一時的に共同生活するための施設
埼玉県,ふじみ野市,鶴ヶ丘小学校,埼玉県ふじみ野市鶴ｹ岡1-3-1,35.8640842,139.504816,1,0,0,1,1,0,,パンの缶詰、仮設トイレ、救助資材等,避難所
埼玉県,比企郡滑川町,福田馬場集会所,埼玉県比企郡滑川町福田2262-3,36.0837176,139.3556578,0,1,0,-,-,-,,,災害時に危険を一時的に回避する場所
埼玉県,朝霞市,朝霞市リサイクルプラザ,埼玉県朝霞市大字浜崎664-2,35.8135502,139.5908358,0,1,0,1,0,0,,,帰宅困難者を一時的に収容する施設
埼玉県,行田市,行田市立須加小学校,埼玉県行田市大字須加4586番地,36.1867612,139.4810933,1,0,0,-,-,-,400人,アルファ米・飲料水・毛布・ブルーシート等,避難住民が一時的に共同生活するための施設
埼玉県,和光市,和光高等学校,埼玉県和光市新倉3-22-1,35.7971673,139.6284966,1,0,0,1,0,0,1807人,,
埼玉県,鶴ヶ島市,埼玉県立鶴ヶ島清風高等学校,埼玉県鶴ヶ島市高倉946-1,35.9320428,139.379441,1,0,0,-,-,-,3284人,,避難住民が一時的に共同生活するための施設
埼玉県,八潮市,西袋陣屋公園,埼玉県八潮市西袋625-1,35.820133,139.817449,0,1,0,-,-,-,,,災害時に危機を一時的に回避する場所
埼玉県,比企郡嵐山町,将軍沢農村センター,埼玉県比企郡嵐山町将軍沢425-2,36.022221,139.329944,1,0,0,-,-,-,,,避難住民が一時的に共同生活をするための施設
埼玉県,久喜市,労働会館（あやめ会館）,埼玉県久喜市菖蒲町菖蒲193-1,36.065797,139.6015138,1,0,0,0,1,0,,,災害時に危険を一時的に回避する場所または自宅に戻れない人等が応急生活をするための場所
埼玉県,志木市,宗岡第三小学校,埼玉県志木市下宗岡1-15-30,35.8311453,139.5923768,1,1,1,-,-,-,990人,アルファ米、毛布、ブルーシートなど,優先的に開設する避難所
埼玉県,所沢市,東所沢小学校,埼玉県所沢市東所沢2-26-1,35.7997866,139.5137616,1,1,0,1,1,0,346人,ｱﾙﾌｧ米・毛布・簡易ﾄｲﾚ・ﾄｲﾚ用凝固剤・ｶｾｯﾄｺﾝﾛ・ｶｾｯﾄﾎﾞﾝﾍﾞ・なべ・ひしゃく・非常用ﾛｰｿｸ・ﾊﾝﾃﾞｨﾗｲﾄ・救急箱・折りたたみ式ﾘﾔｶｰ・二つ折り担架・油圧ｼﾞｬｯｷ・カセットガス発電機,近隣の避難者が一時的に集合して様子を見る場合、または避難者が避難のために一時的に集団を形成する場所
埼玉県,坂戸市,西坂戸運動公園,埼玉県坂戸市西坂戸四丁目1307-2,35.926056,139.331403,0,1,0,1,0,0,,,災害時に危険を一時的に回避する場所
埼玉県,さいたま市見沼区,東北原公園,埼玉県さいたま市見沼区東大宮2-42,35.9491976,139.6341945,0,1,0,1,1,0,,,災害発生時に人命の安全を確保するため、一時的に避難する場所。
埼玉県,深谷市,豊里中学校体育館,埼玉県深谷市下手計525,36.2307322,139.2766464,1,0,0,1,1,0,,,避難住民が一時的に共同生活するための施設
埼玉県,深谷市,諏訪河原公園,埼玉県深谷市町田277-38,36.227082,139.245239,0,1,0,1,1,0,,,災害時に危険を一時的に回避する場所
埼玉県,秩父郡東秩父村,八重蔵地区集会所,埼玉県秩父郡東秩父村大字皆谷781-1,36.0366669,139.1734394,1,0,0,1,1,0,,,
埼玉県,さいたま市緑区,原山公民館,埼玉県さいたま市緑区原山2-33-1,35.8714479,139.6685521,1,0,0,1,1,0,104人,アルファ米・粉ミルク・毛布・発電機等,災害時要援護者のための優先の指定避難所。
埼玉県,熊谷市,熊谷市立佐谷田小学校,埼玉県熊谷市佐谷田1030,36.1341284,139.4144007,1,0,0,1,1,0,,,指定避難所：地震などの災害時に避難者を収容する施設
埼玉県,熊谷市,熊谷市立新堀小学校,埼玉県熊谷市新堀182,36.1728669,139.3382935,1,0,0,1,1,0,,,指定避難所：地震などの災害時に避難者を収容する施設
埼玉県,蓮田市,中道公園,埼玉県蓮田市西新宿3-83,36.003901,139.651337,0,1,0,1,0,0,,,災害時に危険を一時的に回避する避難場所
埼玉県,深谷市,深谷西小学校体育館,埼玉県深谷市栄町14-18,36.1977157,139.2733532,1,0,0,1,1,0,,,避難住民が一時的に共同生活するための施設
埼玉県,比企郡嵐山町,新田沼公園,埼玉県比企郡嵐山町むさし台１-6,36.047814,139.3280088,0,1,0,-,-,-,,,災害時に危険を一時的に回避する場所
埼玉県,川越市,牛子小学校,埼玉県川越市牛子418,35.8937391,139.5096587,1,1,0,1,0,0,,,コンクリート造(ＲＣ，ＳＲＣを含む）４階建
埼玉県,秩父郡長瀞町,本・中野上地区ｺﾐｭﾆﾃｨ消防ｾﾝﾀｰ,埼玉県秩父郡長瀞町大字中野上409-1,36.118323,139.110336,1,0,0,-,-,-,15人,無,災害時に危険を回避する場所。鉄骨造2階建て
埼玉県,川口市,安行たたら荘,埼玉県川口市安行1194,35.8490546,139.7591196,1,0,0,1,0,0,,,避難住民が一時的に共同生活するための施設。災害時要援護者を対象とする福祉避難所
埼玉県,所沢市,上山口中学校,埼玉県所沢市上山口72,35.7798401,139.4253896,1,1,0,1,1,0,414人,ｱﾙﾌｧ米・毛布・簡易ﾄｲﾚ・ﾄｲﾚ用凝固剤・ｶｾｯﾄｺﾝﾛ・ｶｾｯﾄﾎﾞﾝﾍﾞ・なべ・ひしゃく・非常用ﾛｰｿｸ・ﾊﾝﾃﾞｨﾗｲﾄ・救急箱・折りたたみ式ﾘﾔｶｰ・二つ折り担架・油圧ｼﾞｬｯｷ・浄水機・カセットガス発電機,近隣の避難者が一時的に集合して様子を見る場合、または避難者が避難のために一時的に集団を形成する場所
埼玉県,北葛飾郡杉戸町,杉戸町立杉戸第三小学校,埼玉県北葛飾郡杉戸町大字堤根2777,36.0155663,139.7601607,1,0,0,1,0,0,300人,,避難住民が一時的に共同生活するための施設
埼玉県,三郷市,県立三郷特別支援学校,駒形56,35.8481465,139.863764,1,1,0,-,-,-,1836人,,通常は他の避難場所と同様に使用。災害時要援護者の避難需要が多い場合には、福祉避難所として利用する。
埼玉県,比企郡ときがわ町,田中集会所,埼玉県比企郡ときがわ町大字田中216-1,36.0047445,139.274604,1,0,0,-,-,-,,,避難者を収容する施設
埼玉県,本庄市,本庄南公民館,埼玉県本庄市今井377-2,36.226818,139.1643161,1,1,0,-,-,-,56人,,災害時に危険を一時的に回避する場所。
埼玉県,北足立郡伊奈町,小室小学校校庭,埼玉県伊奈町小室7981,35.991884,139.629989,0,1,0,-,-,-,,,災害時に危険を一時的に回避する場所
埼玉県,児玉郡上里町,上里町コミュニティセンター,埼玉県児玉郡上里町大字七本木930,36.2512486,139.1439897,1,0,0,1,1,0,,,避難住民が一時的に共同生活するための施設。鉄筋コンクリート2階建て
埼玉県,さいたま市北区,領家中央公園,埼玉県さいたま市北区宮原町4-91,35.9499462,139.6087856,0,1,0,1,1,0,,,災害発生時に人命の安全を確保するため、一時的に避難する場所。
埼玉県,熊谷市,熊谷市立江南中学校,埼玉県熊谷市江南中央2-1-1,36.1160825,139.3369627,1,0,0,1,1,0,,,補助避難所：指定避難所だけでは収容できない時に開設する避難所
埼玉県,川越市,市民グランド,埼玉県川越市宮元町23-22,35.9320107,139.4863954,0,1,0,1,0,0,,,
埼玉県,秩父市,大滝小学校,埼玉県秩父市大滝1999,35.9545874,138.9162715,1,1,0,-,-,-,,,災害時に危険を一時的に回避、共同生活する場所
埼玉県,本庄市,勤労青少年ホーム,埼玉県本庄市小島南1-8-2,36.2420086,139.1706426,1,1,0,-,-,-,123人,,災害時に危険を一時的に回避する場所。
埼玉県,八潮市,下河原運動広場,埼玉県八潮市鶴ヶ曽根2213,35.830687,139.842865,0,1,0,-,-,-,,,災害時に危機を一時的に回避する場所
埼玉県,秩父市,南小学校,埼玉県秩父市野坂町2-14-29,35.9859751,139.0838671,1,1,0,-,-,-,,,災害時に危険を一時的に回避、共同生活する場所
埼玉県,鶴ヶ島市,鶴ヶ島市大橋公民館,埼玉県鶴ヶ島市太田ヶ谷883,35.9269863,139.4072986,1,0,0,-,-,-,1048人,,避難住民が一時的に共同生活するための施設
埼玉県,熊谷市,熊谷市立秦小学校,埼玉県熊谷市葛和田831,36.2057515,139.4199818,1,0,0,1,1,0,,,指定避難所：地震などの災害時に避難者を収容する施設
埼玉県,所沢市,生涯学習推進センター,埼玉県所沢市並木6-4-1,35.8024492,139.4790618,1,1,0,1,1,0,303人,ｱﾙﾌｧ米・毛布・簡易ﾄｲﾚ・ﾄｲﾚ用凝固剤・ｶｾｯﾄｺﾝﾛ・ｶｾｯﾄﾎﾞﾝﾍﾞ・なべ・ひしゃく・非常用ﾛｰｿｸ・ﾊﾝﾃﾞｨﾗｲﾄ・救急箱・折りたたみ式ﾘﾔｶｰ・二つ折り担架・油圧ｼﾞｬｯｷ,近隣の避難者が一時的に集合して様子を見る場合、または避難者が避難のために一時的に集団を形成する場所
埼玉県,比企郡滑川町,宮前小学校校庭,埼玉県比企郡滑川町中尾4857-1,36.059859,139.356208,0,0,1,-,-,-,,,応急仮設住宅の建設で長期避難所となり得る施設
埼玉県,熊谷市,江南南児童クラブ,埼玉県熊谷市須賀広599-1,36.10678,139.335995,1,0,0,1,0,0,,,補助避難所：指定避難所だけでは収容できない時に開設する避難所
埼玉県,羽生市,川俣地域活動センター,埼玉県羽生市本川俣630,36.1826498,139.5365457,1,0,0,1,1,0,,,避難住民が一時的に共同生活するための施設
埼玉県,坂戸市,健康増進施設,埼玉県坂戸市にっさい花みず木一丁目3,35.9720425,139.3758895,1,0,0,1,1,0,301人,,災害時に危険を一時的に回避する場所または自宅に戻れない人達が応急生活をするための場所
埼玉県,児玉郡上里町,上里町東児童館,埼玉県児玉郡上里町大字七本木1800-3,36.2430383,139.1489561,1,0,0,1,1,0,,,避難住民が一時的に共同生活するための施設。1階建て
埼玉県,羽生市,小松北公園,埼玉県羽生市小松台1-516-2,36.1548277,139.5329254,0,1,0,1,1,0,,,災害時に危険を一時的に回避する場所
埼玉県,川口市,安行小学校,埼玉県川口市安行原2020,35.83967,139.7654276,1,1,0,1,1,0,,,避難住民が一時的に共同生活するための施設　
埼玉県,秩父郡小鹿野町,小鹿野保育所,埼玉県秩父郡小鹿野町小鹿野2744,36.0181542,139.0110067,0,1,0,-,-,-,,,災害時に危険を一時的に回避する場所
埼玉県,南埼玉郡宮代町,東粂原グラウンド,埼玉県南埼玉郡宮代町大字東粂原363-1,36.032538,139.70085,0,1,0,1,0,0,,,
埼玉県,比企郡鳩山町,鳩山町亀井農村センター,埼玉県比企郡鳩山町大字須江190番地1,35.999561,139.329493,1,0,0,-,-,-,50人,,指定避難所
埼玉県,比企郡嵐山町,町営南部グラウンド,埼玉県比企郡嵐山町大蔵655,36.030403,139.330668,0,1,0,-,-,-,,,災害時に危険を一時的に回避する場所
埼玉県,深谷市,正智深谷高等学校体育館,埼玉県深谷市上野台348,36.1894471,139.2767643,1,0,0,1,1,0,,,避難住民が一時的に共同生活するための施設
埼玉県,川越市,川越運動公園,埼玉県川越市下老袋388-1,35.9283958,139.5265508,0,1,0,1,0,0,,,
埼玉県,朝霞市,朝霞市立朝霞第五中学校,埼玉県朝霞市大字宮戸1580,35.824821,139.597837,1,1,0,1,0,0,,,一時的に危険を回避する場所。状況に応じて避難所（一時的に共同生活を行う施設）を開設する施設
埼玉県,深谷市,花園就業改善センター,埼玉県深谷市永田1420,36.1361698,139.2562302,1,1,0,1,1,0,,,避難住民が一時的に共同生活するための施設
埼玉県,三郷市,八木郷小学校,埼玉県三郷市鷹野１?３５?１,35.802093,139.887403,1,1,0,-,-,-,1860人,クラッカー（食）、スティックパン（食）、タオル、ブルーシート、仮設トイレ洋式、簡易トイレ、簡易トイレ薬剤、救急セット、寝袋、毛布,災害時に安全を確保する避難に優先的に使用するために市が指定した施設。避難所は、災害時に避難者を収容することを目的として、主に避難場所に開設される。
埼玉県,狭山市,中原公園,埼玉県狭山市新狭山2-13-1,35.874611,139.430602,1,0,0,1,0,0,,,避難住民が一時的に共同生活するための施設
