都道府県,市区町村,避難所名,住所,緯度,経度,避難所,一時避難所,広域避難所,地震,風水害,津波,収容人数,備蓄品,備考
千葉県,我孫子市,我孫子第四小学校,千葉県我孫子市白山3-2-1,35.87166166,140.00478040,1,1,1,-,-,-,,,広域避難場所、一時避難場所、避難所
千葉県,我孫子市,布佐南小学校,千葉県我孫子市布佐平和台5-1-1,35.85696304,140.12058250,1,1,1,-,-,-,,,広域避難場所、一時避難場所、避難所
千葉県,我孫子市,我孫子中学校,千葉県我孫子市高野山537,35.86560272,140.03830756,1,1,0,-,-,-,,,一時避難場所、避難所
千葉県,我孫子市,布佐中学校,千葉県我孫子市布佐1301,35.85584113,140.13270948,1,1,0,-,-,-,,,一時避難場所、避難所
千葉県,我孫子市,高野山桃山公園,千葉県我孫子市高野山字前原454-3地先,35.863196,140.037467,0,1,0,-,-,-,,,一時避難場所
千葉県,我孫子市,天王台西公園,千葉県我孫子市天王台4-8,35.87166302,140.03882677,0,1,0,-,-,-,,,一時避難場所
千葉県,我孫子市,中峠亀田谷公園,千葉県我孫子市中峠1645-1,35.87228423,140.07736559,0,1,0,-,-,-,,,一時避難場所
千葉県,我孫子市,我孫子第一小学校,千葉県我孫子市寿1-22-10,35.86890425,140.02047889,1,1,0,-,-,-,,,一時避難場所、避難所
千葉県,我孫子市,我孫子東高等学校,千葉県我孫子市新々田172,35.84471762,140.12997134,1,1,0,-,-,-,,,一時避難場所、避難所
千葉県,我孫子市,湖北台西小学校,千葉県我孫子市湖北台8-17-1,35.86612035,140.07043191,1,1,0,-,-,-,,,一時避難場所、避難所
千葉県,我孫子市,高野山小学校,千葉県我孫子市高野山198,35.86642174,140.03077781,1,1,0,-,-,-,,,一時避難場所、避難所
千葉県,我孫子市,我孫子第三小学校,千葉県我孫子市柴崎台3-3-1,35.87860113,140.04214003,1,1,0,-,-,-,,,一時避難場所、避難所
千葉県,我孫子市,柴崎台中央公園,千葉県我孫子市柴崎台2-14,35.87580435,140.04290393,0,1,0,-,-,-,,,一時避難場所
千葉県,我孫子市,我孫子ゴルフ倶楽部,千葉県我孫子市岡発戸1110他,35.86755297,140.05113388,0,1,1,-,-,-,,,広域避難場所、一時避難場所
千葉県,我孫子市,気象台記念公園,千葉県我孫子市新木2-5,35.86428437,140.11151368,0,1,1,-,-,-,,,広域避難場所、一時避難場所
千葉県,我孫子市,新木小学校,千葉県我孫子市新木1460,35.86800055,140.10240068,1,1,0,-,-,-,,,一時避難場所、避難所
千葉県,大網白里市,大網白里アリーナ,千葉県大網白里市上貝塚160,35.51915867,140.34449431,1,0,0,1,1,1,,,避難所、避難場所
千葉県,大網白里市,白里公民館,千葉県大網白里市南今泉1088-1,35.49256570,140.40036181,1,0,0,1,1,1,,,避難所。大津波警報時は避難所とならない。津波警報時は避難所となる
千葉県,我孫子市,湖北小学校,千葉県我孫子市中里95,35.86616193,140.08736349,1,1,0,-,-,-,,,一時避難場所、避難所
千葉県,我孫子市,湖北中学校,千葉県我孫子市古戸300,35.86876157,140.09193517,1,1,0,-,-,-,,,一時避難場所、避難所
千葉県,我孫子市,五本松運動広場,千葉県我孫子市岡発戸1433-2,35.86124228,140.05786056,0,1,0,-,-,-,,,一時避難場所
千葉県,我孫子市,我孫子第二小学校,千葉県我孫子市下ヶ戸610,35.87166099,140.05821076,1,1,0,-,-,-,,,一時避難場所、避難所
千葉県,我孫子市,並木小学校,千葉県我孫子市つくし野7-30-1,35.87842204,140.02054262,1,1,0,-,-,-,,,一時避難場所、避難所
千葉県,我孫子市,我孫子高等学校,千葉県我孫子市若松18-4,35.86363586,140.02537012,1,1,0,-,-,-,,,一時避難場所、避難所
千葉県,大網白里市,要行寺,千葉県大網白里市四天木甲1342,35.4837862,140.3980518,0,1,0,1,1,0,,,一時避難場所
千葉県,大網白里市,浄化センター,千葉県大網白里市四天木556-2,35.48602733,140.3915356,-,-,-,0,0,1,,,津波避難ビル（屋上）。屋上海抜12.3m
千葉県,我孫子市,中央学院高等学校,千葉県我孫子市都部765,35.86414256,140.06087741,1,1,0,-,-,-,,,一時避難場所、避難所
千葉県,我孫子市,二階堂高等学校,千葉県我孫子市久寺家479-1,35.88520672,140.01541526,1,1,0,-,-,-,,,一時避難場所、避難所
千葉県,我孫子市,電力中央研究所,千葉県我孫子市我孫子1646,35.87815843,140.02486990,1,1,1,-,-,-,,,広域避難場所、一時避難場所、避難所
千葉県,我孫子市,布佐南公園,千葉県我孫子市布佐平和台5-2,35.85829345,140.12173511,0,1,1,-,-,-,,,広域避難場所、一時避難場所
千葉県,我孫子市,五本松公園,千葉県我孫子市岡発戸1431他,35.85910327,140.05841846,0,1,0,-,-,-,,,一時避難場所
千葉県,我孫子市,布佐小学校,千葉県我孫子市布佐1217,35.85635215,140.13110956,1,1,0,-,-,-,,,一時避難場所、避難所
千葉県,館山市,龍樹院,千葉県館山市布良280,34.919874,139.827279,0,1,0,1,0,1,,,地震・津波は屋外避難場所、海抜14.0ｍ
千葉県,大網白里市,みどりが丘近隣公園,千葉県大網白里市みどりが丘3-17,35.54302768,140.3159221,0,1,0,1,1,1,,,一時避難場所
千葉県,我孫子市,湖北台東小学校,千葉県我孫子市湖北台4-3-1,35.86244854,140.07738963,1,1,0,-,-,-,,,一時避難場所、避難所
千葉県,我孫子市,根戸小学校,千葉県我孫子市つくし野4-17-1,35.88189868,140.00496360,1,1,0,-,-,-,,,一時避難場所、避難所
千葉県,我孫子市,中央学院大学,千葉県我孫子市久寺家451,35.88275731,140.01920935,1,1,0,-,-,-,,,一時避難場所、避難所
千葉県,我孫子市,久寺家中学校,千葉県我孫子市つくし野171,35.88532025,140.00404697,1,1,0,-,-,-,,,一時避難場所、避難所
千葉県,大網白里市,増穂北小学校,千葉県大網白里市上貝塚317,35.51706449,140.34396660,1,0,0,1,1,1,,,避難所、避難場所
千葉県,我孫子市,生涯学習センター,千葉県我孫子市若松26-4,35.86630726,140.01480726,1,1,0,-,-,-,,,一時避難場所、避難所
千葉県,館山市,熊野神社,千葉県館山市宮城171-41,34.979993,139.839777,0,1,0,0,0,1,,,津波は屋外避難場所、海抜18.0ｍｍ
千葉県,大網白里市,白里中学校　,千葉県大網白里市細草1385-1,35.49675939,140.38874414,1,0,0,1,1,1,,,避難所、避難場所、津波避難ビル（3階、4階）。4階床面海抜15.4m
千葉県,大網白里市,パチンコＡＢＣ大網店,千葉県大網白里市柳橋449-1,35.50581362,140.3652002,0,1,0,1,1,1,,,一時避難場所
