都道府県,市区町村,避難所名,住所,緯度,経度,避難所,一時避難所,広域避難所,地震,風水害,津波,収容人数,備蓄品,備考
神奈川県,大和市,横浜銀行大和総合グランド,神奈川県大和市草柳1-22,35.46691066,139.452959,0,0,1,-,-,-,,,火災による炎・輻射熱・煙におかされることなく安全が確保できる空地。
神奈川県,綾瀬市,藤沢ゴルフクラブ,神奈川県綾瀬市深谷南7-2-1,35.42787906,139.4421051,0,0,1,-,-,-,,,火災による炎・輻射熱・煙におかされることなく安全が確保できる空地。
神奈川県,大和市,桜丘学習センター,神奈川県大和市福田1-30-1,35.45075769,139.4626563,1,0,0,-,-,-,,,【避難生活施設】震災時の避難生活施設である福田小学校が浸水想定区域内にあるため、風水害時に一時避難する施設。
神奈川県,大和市,大和南高等学校,神奈川県大和市上和田2557,35.44293977,139.4744978,1,0,1,-,-,-,,,本施設は広域避難場所と避難生活施設を兼ねた施設です。【広域避難場所】火災による炎・輻射熱・煙におかされることなく安全が確保できる空地。【避難生活施設】災害により、住家が焼失、倒壊、浸水等した場合に被災者が臨時に生活を行う施設。
神奈川県,大和市,大和東小学校,神奈川県大和市深見1805,35.4771481,139.4694217,1,0,1,-,-,-,,,本施設は広域避難場所と避難生活施設を兼ねた施設です。【広域避難場所】火災による炎・輻射熱・煙におかされることなく安全が確保できる空地。【避難生活施設】災害により、住家が焼失、倒壊、浸水等した場合に被災者が臨時に生活を行う施設。なお、境川に隣接しているため、風水害時には大和小学校もしくは深見小学校を代替施設とします。
神奈川県,大和市,林間小学校,神奈川県大和市林間1-5-18,35.49685353,139.4491332,1,0,0,-,-,-,,,【避難生活施設】災害により、住家が焼失、倒壊、浸水等した場合に被災者が臨時に生活を行う施設。
神奈川県,大和市,上和田中学校,神奈川県大和市上和田1314,35.44878901,139.479439,1,0,0,-,-,-,,,【避難生活施設】災害により、住家が焼失、倒壊、浸水等した場合に被災者が臨時に生活を行う施設。なお、境川に隣接しているため、風水害時には上和田小学校もしくは協定により横浜市瀬谷区で開設された避難所を代替施設とします。
神奈川県,大和市,中央林間小学校,神奈川県大和市下鶴間1450-29,35.51721775,139.4492656,1,0,0,-,-,-,,,【避難生活施設】災害により、住家が焼失、倒壊、浸水等した場合に被災者が臨時に生活を行う施設。
神奈川県,大和市,大和西高等学校,神奈川県大和市南林間9-5,35.4962761,139.4344647,1,0,1,-,-,-,,,本施設は広域避難場所と避難生活施設を兼ねた施設です。【広域避難場所】火災による炎・輻射熱・煙におかされることなく安全が確保できる空地。【避難生活施設】災害により、住家が焼失、倒壊、浸水等した場合に被災者が臨時に生活を行う施設。
神奈川県,大和市,緑野小学校,神奈川県大和市中央林間西5-3-１,35.50293832,139.4378311,1,0,0,-,-,-,,,【避難生活施設】災害により、住家が焼失、倒壊、浸水等した場合に被災者が臨時に生活を行う施設。
神奈川県,大和市,相模カンツリー倶楽部,神奈川県大和市中央林間西7-1-1,35.50789258,139.4360172,0,0,1,-,-,-,,,火災による炎・輻射熱・煙におかされることなく安全が確保できる空地。
神奈川県,大和市,深見小学校,神奈川県大和市深見台2-9-1,35.46802489,139.4698805,1,0,0,-,-,-,,,【避難生活施設】災害により、住家が焼失、倒壊、浸水等した場合に被災者が臨時に生活を行う施設。
神奈川県,大和市,大和東高等学校,神奈川県大和市深見1760,35.47991968,139.46978,1,0,1,-,-,-,,,本施設は広域避難場所と避難生活施設を兼ねた施設です。【広域避難場所】火災による炎・輻射熱・煙におかされることなく安全が確保できる空地。【避難生活施設】災害により、住家が焼失、倒壊、浸水等した場合に被災者が臨時に生活を行う施設。なお、境川に隣接しているため、風水害時には大和小学校もしくは深見小学校を代替施設とします。
神奈川県,大和市,渋谷小学校,神奈川県大和市下和田929,35.43148243,139.467051,1,0,0,-,-,-,,,【避難生活施設】災害により、住家が焼失、倒壊、浸水等した場合に被災者が臨時に生活を行う施設。
神奈川県,大和市,南林間小学校,神奈川県大和市南林間9-3-2,35.4960714,139.4360156,1,0,1,-,-,-,,,本施設は広域避難場所と避難生活施設を兼ねた施設です。【広域避難場所】火災による炎・輻射熱・煙におかされることなく安全が確保できる空地。【避難生活施設】災害により、住家が焼失、倒壊、浸水等した場合に被災者が臨時に生活を行う施設。
神奈川県,大和市,上和田小学校,神奈川県大和市上和田2695,35.44116485,139.4698925,1,0,0,-,-,-,,,【避難生活施設】災害により、住家が焼失、倒壊、浸水等した場合に被災者が臨時に生活を行う施設。
神奈川県,大和市,県営いちょう下和田団地,神奈川県大和市下和田262,35.42765249,139.4721786,0,0,1,-,-,-,,,火災による炎・輻射熱・煙におかされることなく安全が確保できる空地。
神奈川県,大和市,つきみ野中学校,神奈川県大和市つきみ野3-5,35.5088529,139.4537766,1,0,1,-,-,-,,,本施設は広域避難場所と避難生活施設を兼ねた施設です。【広域避難場所】火災による炎・輻射熱・煙におかされることなく安全が確保できる空地。【避難生活施設】災害により、住家が焼失、倒壊、浸水等した場合に被災者が臨時に生活を行う施設。
神奈川県,大和市,柳橋小学校,神奈川県大和市柳橋1-17-7,35.46009533,139.4622671,1,0,0,-,-,-,,,【避難生活施設】災害により、住家が焼失、倒壊、浸水等した場合に被災者が臨時に生活を行う施設。
神奈川県,大和市,文ヶ岡小学校,神奈川県大和市桜森3-16-31,35.47458672,139.4385569,1,0,0,-,-,-,,,【避難生活施設】災害により、住家が焼失、倒壊、浸水等した場合に被災者が臨時に生活を行う施設。
