都道府県,市区町村,避難所名,住所,緯度,経度,避難所,一時避難所,広域避難所,地震,風水害,津波,収容人数,備蓄品,備考
新潟県,南魚沼市,五十沢グラウンド（旧五十沢小学校）,新潟県南魚沼市原331-1,37.052313,138.944977,-,-,-,1,1,0,,,指定緊急避難場所
新潟県,南魚沼市,城内地域開発センター,新潟県南魚沼市上原632-24,37.094664,138.933336,1,0,0,1,1,0,,,指定避難所
新潟県,南魚沼市,南魚沼市大和Ｂ＆Ｇ海洋センター（体育館）,新潟県南魚沼市浦佐5278-5,37.167007,138.933599,1,0,0,1,1,0,,,指定避難所
新潟県,南魚沼市,辻又多目的センター,新潟県南魚沼市市野江丙462,37.180396,138.876433,1,0,0,0,1,0,,,指定避難所
新潟県,南魚沼市,石打小学校体育館,新潟県南魚沼市君沢507-2,37.008721,138.816985,1,0,0,1,0,0,,,指定避難所
新潟県,南魚沼市,六日町中学校第一体育館,新潟県南魚沼市六日町282,37.069102,138.870299,1,0,0,1,1,0,,,指定避難所
新潟県,南魚沼市,大巻中学校体育館,新潟県南魚沼市大杉新田416-2,37.108321,138.894573,1,0,0,1,1,0,,,指定避難所
新潟県,南魚沼市,南魚沼市スポーツコミュニティセンターアリーナ（ディスポート南魚沼）,新潟県南魚沼市坂戸372,37.066615,138.883946,1,0,0,1,0,0,,,指定避難所
新潟県,南魚沼市,城内小学校体育館,新潟県南魚沼市上原68,37.091733,138.931925,1,0,0,1,1,0,,,指定避難所
新潟県,南魚沼市,第二上田小学校体育館,新潟県南魚沼市長崎2941,36.993905,138.890794,1,0,0,1,1,0,,,指定避難所
新潟県,南魚沼市,二日町グラウンド,新潟県南魚沼市二日町444,37.085058,138.903102,-,-,-,1,1,0,,,指定緊急避難場所
新潟県,南魚沼市,南魚沼市スポーツコミュニティセンター駐車場（ディスポート南魚沼）,新潟県南魚沼市坂戸372,37.066074,138.883675,-,-,-,1,0,0,,,指定緊急避難場所
新潟県,南魚沼市,総合支援学校（まかろん）,新潟県南魚沼市西泉田47-2,37.052619,138.870184,1,0,0,1,1,0,,,福祉避難所
新潟県,南魚沼市,栃窪小学校体育館,新潟県南魚沼市栃窪409,37.053636,138.813586,1,0,0,1,0,0,,,指定避難所
新潟県,南魚沼市,南魚沼市ふれ愛支援センター,新潟県南魚沼市坂戸399-1,37.068668,138.886446,1,0,0,1,1,0,,,指定避難所
新潟県,南魚沼市,五十沢体育館（旧五十沢小学校）,新潟県南魚沼市原331-1,37.052683,138.944416,1,0,0,1,1,0,,,指定避難所
新潟県,南魚沼市,上の原高原体育館,新潟県南魚沼市小栗山1903-1,37.067052,138.852736,1,0,0,1,1,0,,,指定避難所
新潟県,南魚沼市,六日町高等学校第二体育館,新潟県南魚沼市余川1380-2,37.071157,138.875009,1,0,0,1,1,0,,,指定避難所
新潟県,南魚沼市,五日町雪国スポーツ館,新潟県南魚沼市寺尾1491,37.120102,138.900796,1,0,0,1,1,0,,,指定避難所
新潟県,南魚沼市,三用小学校体育館,新潟県南魚沼市芋赤1135,37.176864,138.972518,1,0,0,1,1,0,,,指定避難所
新潟県,南魚沼市,後山小学校体育館,新潟県南魚沼市市野江乙1009-1,37.159434,138.866166,1,0,0,1,1,0,,,指定避難所
新潟県,南魚沼市,五日町小学校体育館,新潟県南魚沼市五日町640-1,37.118697,138.902059,1,0,0,1,1,0,,,指定避難所
新潟県,南魚沼市,六日町高等学校グラウンド,新潟県南魚沼市余川1380-2,37.070296,138.874778,-,-,-,1,1,0,,,指定緊急避難場所
新潟県,南魚沼市,大巻小学校体育館,新潟県南魚沼市四十日1790-1,37.100864,138.892094,1,0,0,1,1,0,,,指定避難所
新潟県,南魚沼市,北辰小学校グラウンド,新潟県南魚沼市余川1220-2,37.072231,138.878788,-,-,-,1,1,0,,,指定緊急避難場所
新潟県,南魚沼市,六日町中学校第二体育館,新潟県南魚沼市六日町282,37.068672,138.870197,1,0,0,1,1,0,,,指定避難所
新潟県,南魚沼市,六日町小学校グラウンド,新潟県南魚沼市六日町1267-1,37.059788,138.878919,-,-,-,1,0,0,,,指定緊急避難場所
新潟県,南魚沼市,中之島小学校体育館,新潟県南魚沼市中子新田甲265-1,37.013493,138.844488,1,0,0,1,1,0,,,指定避難所
新潟県,南魚沼市,城内中学校グラウンド,新潟県南魚沼市上原129-6,37.095212,138.931164,-,-,-,1,1,0,,,指定緊急避難場所
新潟県,南魚沼市,浦佐小学校グラウンド,新潟県南魚沼市浦佐5278-1,37.167597,138.930093,-,-,-,1,1,0,,,指定緊急避難場所
新潟県,南魚沼市,南魚沼市農業体験実習館（レイホー八海）,新潟県南魚沼市山口1677-1,37.103555,138.979256,1,0,0,1,1,0,,,指定避難所
新潟県,南魚沼市,浦佐小学校体育館,新潟県南魚沼市浦佐5278-1,37.167905,138.931099,1,0,0,1,1,0,,,指定避難所
新潟県,南魚沼市,城内中学校体育館,新潟県南魚沼市上原129-6,37.094429,138.932521,1,0,0,1,1,0,,,指定避難所
新潟県,南魚沼市,赤石小学校グラウンド,新潟県南魚沼市荒金273-2,37.154075,138.967792,-,-,-,1,1,0,,,指定緊急避難場所
新潟県,南魚沼市,塩沢勤労者体育センター,新潟県南魚沼市塩沢1112-39,37.042558,138.852513,1,0,0,1,1,0,,,指定避難所
新潟県,南魚沼市,大崎小学校体育館,新潟県南魚沼市大崎1855,37.131086,138.940079,1,0,0,1,1,0,,,指定避難所
新潟県,南魚沼市,石打グラウンド,新潟県南魚沼市下一日市31-1,37.001203,138.812272,-,-,-,1,1,0,,,指定緊急避難場所
新潟県,南魚沼市,六日町中学校グラウンド,新潟県南魚沼市六日町282,37.067711,138.870299,-,-,-,1,1,0,,,指定緊急避難場所
新潟県,南魚沼市,大福寺工業団地多目的広場,新潟県南魚沼市長崎824-1,37.006661,138.879493,-,-,-,1,1,0,,,指定緊急避難場所
新潟県,南魚沼市,大崎保育園野外遊戯場,新潟県南魚沼市大崎3329-3,37.129668,138.944368,-,-,-,1,1,0,,,指定緊急避難場所
新潟県,南魚沼市,五十沢小・中学校グラウンド,新潟県南魚沼市宮472,37.057913,138.930139,-,-,-,1,1,0,,,指定緊急避難場所
新潟県,南魚沼市,薮神小学校グラウンド,新潟県南魚沼市一村尾800,37.143212,138.908813,-,-,-,1,1,0,,,指定緊急避難場所
