都道府県,市区町村,避難所名,住所,緯度,経度,避難所,一時避難所,広域避難所,地震,風水害,津波,収容人数,備蓄品,備考
富山県,小矢部市,石動幼稚園,富山県小矢部市城山町7番31号,36.679466,136.864466,1,0,0,1,1,0,40 人,,
富山県,小矢部市,岩尾滝くつろぎ交流館,富山県小矢部市岩尾滝1240番地,36.702433,136.815305,1,0,0,1,1,0,15 人,,
富山県,小矢部市,武道館,富山県小矢部市泉町2番30号,36.672684,136.873372,1,0,0,1,0,0,600 人,,
富山県,小矢部市,正得公民館,富山県小矢部市道明119番地,36.680847,136.916865,1,0,0,1,1,0,75 人,,
富山県,小矢部市,倶利伽羅源平の郷埴生口　駐車場,富山県小矢部市埴生字谷内2996番地5,36.665496,136.851903,-,-,-,1,1,0,,,
富山県,小矢部市,東部小学校,富山県小矢部市西中野320番地,36.68595,136.875591,1,0,0,1,1,0,440 人,,
富山県,小矢部市,津沢コミュニティプラザ,富山県小矢部市清水369番地1,36.625759,136.901611,1,0,0,1,0,0,205 人,,
富山県,小矢部市,水島スポーツセンター,富山県小矢部市水島109番地1,36.641474,136.901053,1,0,0,1,0,0,190 人,,
富山県,小矢部市,小矢部河川公園,富山県小矢部市西福町3409番地,36.678552,136.880811,-,-,-,1,0,0,,,
富山県,小矢部市,水島公民館,富山県小矢部市水島109番地1,36.640744,136.900852,1,0,0,1,0,0,110 人,,
富山県,小矢部市,津沢第３児童公園,富山県小矢部市岩武字東島836番地1,36.623792,136.900375,-,-,-,1,1,0,,,
富山県,小矢部市,石動きらりこども園,富山県小矢部市畠中町9番10号,36.678997,136.875971,1,0,0,1,0,0,60 人,,
富山県,小矢部市,埴生公民館,富山県小矢部市石坂65番地,36.658275,136.851322,1,0,0,1,1,0,175 人,,
富山県,小矢部市,新日軽北陸小矢部工場,富山県小矢部市浅地130番地,36.63695752,136.8683465,1,0,0,-,-,-,480 人,,
富山県,小矢部市,東蟹谷保育所,富山県小矢部市平桜6458番地,36.631389,136.852489,1,0,0,1,1,0,30 人,,
富山県,小矢部市,正得運動広場,富山県小矢部市道明129番地,36.680966,136.916365,-,-,-,1,1,0,,,
富山県,小矢部市,宮島運動広場,富山県小矢部市糠子島322番地2,36.700928,136.85193,-,-,-,1,1,0,,,
富山県,小矢部市,なかよし公園,富山県小矢部市泉町1番地,36.673696,136.873702,-,-,-,1,0,0,,,
富山県,小矢部市,若林運動広場体育館,富山県小矢部市西中209番地,36.658479,136.908617,1,0,0,1,1,0,275 人,,
富山県,小矢部市,石動高等学校,富山県小矢部市西町6番33号,36.67486,136.861409,1,0,0,1,1,0,1015 人,,
富山県,小矢部市,埴生運動広場,富山県小矢部市石坂1番地,36.65918,136.851286,-,-,-,1,1,0,,,
富山県,小矢部市,蟹谷小学校,富山県小矢部市平桜字岡山80番地,36.62685,136.848207,1,0,0,1,1,0,500 人,,
富山県,小矢部市,北蟹谷公民館,富山県小矢部市末友27番地,36.634074,136.834131,1,0,0,1,1,0,90 人,,
富山県,小矢部市,松沢運動広場,富山県小矢部市赤倉101番地1,36.662183,136.880802,-,-,-,1,0,0,,,
富山県,小矢部市,駅南第１公園,富山県小矢部市綾子4002番地,36.668249,136.863687,-,-,-,1,1,0,,,
富山県,小矢部市,若林保育所,富山県小矢部市金屋本江404番地3,36.665572,136.89906,1,0,0,1,1,0,40 人,,
富山県,小矢部市,荒川公民館,富山県小矢部市芹川194番地,36.687905,136.898182,1,0,0,1,0,0,105 人,,
富山県,小矢部市,津沢小学校,富山県小矢部市新西222番地,36.625794,136.893502,1,0,0,1,0,0,495 人,,
富山県,小矢部市,勤労青少年ホーム,富山県小矢部市小矢部町10番1号,36.677149,136.874057,1,0,0,0,1,0,160 人,,
富山県,小矢部市,道の駅メルヘンおやべ,富山県小矢部市桜町1535番地1,36.689456,136.876681,1,0,0,1,0,0,140 人,,
富山県,小矢部市,宮島公民館,富山県小矢部市了輪18番地,36.703425,136.850019,1,0,0,1,0,0,145 人,,
富山県,小矢部市,旧ふるさと博物館跡地,富山県小矢部市水落104番地,36.67127454,136.908888,-,-,-,1,1,0,,,
富山県,小矢部市,石動コミュニティセンター,富山県小矢部市新富町3番7号,36.677631,136.870106,1,0,0,0,1,0,205 人,,
富山県,小矢部市,南部公民館,富山県小矢部市興法寺213番地2,36.608433,136.891841,1,0,0,1,1,0,55 人,,
富山県,小矢部市,東蟹谷公民館,富山県小矢部市藤森5277番地1,36.630372,136.85382,1,0,0,1,1,0,110 人,,
富山県,小矢部市,高齢者健康交流センター(荒川サロン),富山県小矢部市芹川184番地,36.68834,136.898452,1,0,0,1,0,0,140 人,,
富山県,砺波市,就業改善センター,富山県砺波市庄川町青島289,36.584744688685,136.97683624452,1,0,0,1,0,0,93人,,一時収容避難施設及び主要収容避難施設
富山県,小矢部市,桜町ＪＯＭＯＮパーク,富山県小矢部市桜町字中出1716番地1,36.687647,136.873112,1,0,0,1,1,0,25 人,,
富山県,小矢部市,正得保育所,富山県小矢部市道明131番地3,36.680585,136.916214,1,0,0,1,1,0,30 人,,
富山県,小矢部市,水島運動広場,富山県小矢部市水島109番地1,36.640859,136.901337,-,-,-,1,0,0,,,
富山県,小矢部市,松沢保育所,富山県小矢部市鷲島173番地,36.660567,136.880393,1,0,0,1,0,0,40 人,,
富山県,小矢部市,教育センター,富山県小矢部市岩尾滝1073番地,36.702146,136.816053,1,0,0,1,1,0,220 人,,
富山県,小矢部市,文化スポーツセンター,富山県小矢部市埴生字八俵2124番地1,36.669393,136.854064,1,0,0,1,1,0,140 人,,
富山県,小矢部市,津沢中学校,富山県小矢部市清沢1231番地,36.61969,136.898592,1,0,0,1,1,0,265 人,,
富山県,氷見市,長福寺,富山県氷見市姿961,36.933963281704,137.02625944174,1,0,0,-,-,-,,,避難場所
富山県,小矢部市,農村環境改善センター,富山県小矢部市鷲島38番地1,36.659857,136.87796,1,0,0,1,0,0,235 人,,
富山県,小矢部市,蟹谷中学校,富山県小矢部市藤森60番地,36.622683,136.853819,1,0,0,1,1,0,200 人,,
富山県,小矢部市,サイクリングターミナル,富山県小矢部市浅地字浄土寺119番地9,36.622534,136.873831,1,0,0,1,1,0,145 人,,
富山県,小矢部市,南谷運動広場,富山県小矢部市道坪野54番地,36.686981,136.837884,-,-,-,1,1,0,,,
富山県,小矢部市,北蟹谷保育所,富山県小矢部市末友27番地,36.633823,136.833815,1,0,0,1,1,0,30 人,,
富山県,小矢部市,薮波保育所,富山県小矢部市浅地238番地,36.638137,136.872828,1,0,0,1,0,0,50 人,,
富山県,小矢部市,総合会館,富山県小矢部市城山町1番1号,36.678458,136.865196,1,0,0,0,1,0,750 人,,
富山県,中新川郡上市町,白萩東部公民館,富山県中新川郡上市町折戸120,36.67985391973,137.45182345787,1,0,0,-,-,-,115人,,避難施設
富山県,小矢部市,薮波スポーツセンター,富山県小矢部市浅地672番地1,36.63862,136.874262,1,0,0,1,0,0,180 人,,
