都道府県,市区町村,避難所名,住所,緯度,経度,避難所,一時避難所,広域避難所,地震,風水害,津波,収容人数,備蓄品,備考
石川県,河北郡内灘町,鶴ヶ丘東公民館,石川県河北郡内灘町鶴ヶ丘2丁目159番地1,36.642713508517,136.64227813446,1,0,0,-,-,-,,,指定避難所
石川県,羽咋市,先端医学薬学研究センター,石川県羽咋市飯山町ヲ32,36.903020398454,136.8291037708,1,0,0,-,-,-,,,避難所
石川県,白山市,わかみや保育所,石川県白山市八ツ矢町500-1,36.524161724088,136.57376825047,1,0,0,-,-,-,,,避難施設
石川県,金沢市,西部中央公園,石川県金沢市西金沢5丁目286,36.557292096861,136.61611615969,-,-,-,-,-,-,,,避難場所
石川県,金沢市,材木町小学校,石川県金沢市材木町13-12,36.566877207687,136.66850665098,1,0,0,-,-,-,,,指定避難所
石川県,河北郡津幡町,条南コミュニティプラザ,石川県河北郡津幡町太田ろ3,36.654121473009,136.71893885628,1,0,0,-,-,-,300人,,指定避難場所
石川県,鳳珠郡穴水町,穴水町老人保健施設あゆみの里,石川県鳳珠郡穴水町川島タの38番地,37.233402363428,136.91026588639,1,0,0,-,-,-,,,避難場所
石川県,珠洲市,三崎公民館,石川県珠洲市三崎町宇治ヨ部114番地13,37.474088708701,137.34180523209,1,0,0,-,-,-,80人,,指定避難場所・指定避難所
石川県,河北郡津幡町,笠谷保育園,石川県河北郡津幡町七黒ぬ6,36.68877270241,136.77496723133,1,0,0,-,-,-,120人,,指定避難場所
石川県,七尾市,祖母ヶ浦集会所,石川県七尾市能登島祖母ヶ浦町2-49,37.166772355834,137.03457698119,1,0,0,-,-,-,78人,,指定避難所
石川県,鳳珠郡能登町,能登自動車学校横交差点,石川県鳳珠郡能登町,37.349341725587,137.24995629547,-,-,-,0,0,1,,,津波緊急避難場所
石川県,羽咋郡志賀町,県立富来健民ホッケー競技場,石川県羽咋郡志賀町富来領家ツ1-26,37.146511209565,136.72956167485,1,0,0,-,-,-,,,避難所
石川県,七尾市,ななおあいじ保育園,石川県七尾市天神川原町ロ部32-1,37.031470390131,136.97286425871,1,0,0,-,-,-,1092人,,指定避難所
石川県,金沢市,小坂小学校,石川県金沢市小坂町中142,36.589615692874,136.67778825028,1,0,0,-,-,-,,,指定避難所
石川県,小松市,芦城小学校,石川県小松市西町25,36.40403463803,136.44608469166,1,0,0,-,-,-,,,避難場所・避難所
石川県,七尾市,七尾マリンパーク,石川県七尾市府中町員外67,37.048673256089,136.9700158218,-,-,-,-,-,-,12555人,,指定避難場所
石川県,加賀市,片山津温泉・丘の上病院,石川県加賀市冨塚町中尾1番地3,36.33486537992,136.36119039206,-,-,-,-,-,-,,,福祉避難所
石川県,金沢市,示野中青島公園,石川県金沢市示野中町30街区1,36.575553204212,136.61570481762,-,-,-,-,-,-,,,避難場所
石川県,能美郡川北町,橘小学校,石川県能美郡川北町字橘ソ68番地,36.473063091937,136.5087733896,1,0,0,-,-,-,,,指定避難所
石川県,加賀市,東谷口地区会館,石川県加賀市水田丸町チ12,36.284230846368,136.39122218159,1,0,0,-,-,-,114人,,避難収容施設
石川県,鳳珠郡能登町,旧白丸小学校,石川県鳳珠郡能登町字白丸300番地,37.326781124418,137.26301271153,1,0,0,-,-,-,254人,,指定避難場所
石川県,羽咋市,千里浜運動公園,石川県羽咋市千里浜町ソ10-60,36.896822516241,136.76949967767,-,-,-,-,-,-,5040人,,避難地
石川県,河北郡津幡町,しらとり児童公園,石川県河北郡津幡町横浜い5-2,36.668229524394,136.73401778491,-,-,-,-,-,-,870人,,指定避難場所
石川県,能美市,生活支援ハウス,石川県能美市寺井町中45,36.44066399693,136.49941089069,-,-,-,-,-,-,,,福祉避難所
石川県,金沢市,押野松の木公園,石川県金沢市押野3丁目525,36.548039403662,136.61365789348,-,-,-,-,-,-,,,避難場所
石川県,加賀市,山中球場,石川県加賀市山中温泉東桂木町ヌ11-2,36.254556306609,136.3743113813,-,-,-,-,-,-,,,避難場所
石川県,金沢市,湊1丁目公園,石川県金沢市湊1丁目118-1,36.640031451685,136.65751943615,-,-,-,-,-,-,,,避難場所
石川県,能美市,小長野町コミュニティセンター,石川県能美市小長野町へ10-1,36.433456138485,136.49235589551,-,-,-,-,-,-,,,避難場所
石川県,金沢市,戸水船のひろば公園,石川県金沢市金沢市戸水1丁目400,36.603367271377,136.62051532273,-,-,-,-,-,-,,,避難場所
石川県,金沢市,三谷小学校,石川県金沢市宮野町ニ277,36.59609704762,136.736279263,1,0,0,-,-,-,,,指定避難所
石川県,羽咋市,羽咋中学校,石川県羽咋市中央町キ59,36.892158863031,136.77554144589,1,0,0,-,-,-,300人,,避難地・避難所
石川県,加賀市,山代中学校,石川県加賀市上野町エ45-2,36.298292642677,136.37322910016,1,0,0,-,-,-,2040人,,避難場所・避難収容施設
石川県,七尾市,野崎コミュニティセンター,石川県七尾市能登島野崎町100-24,37.126397092391,137.04761126614,1,0,0,-,-,-,52人,,指定避難所
石川県,金沢市,古府中央公園,石川県金沢市古府3丁目95,36.570838394318,136.60756319314,-,-,-,-,-,-,,,避難場所
石川県,河北郡内灘町,室児童公園,石川県河北郡内灘町室ニ30番地4他,36.686501500235,136.67313940985,-,-,-,-,-,-,,,一時避難場所（指定避難場所）
石川県,鳳珠郡能登町,公立宇出津総合病院,石川県鳳珠郡能登町字宇出津タ字97,37.308501204568,137.14699412634,-,-,-,0,0,1,,,津波緊急避難場所
石川県,七尾市,正願寺,石川県七尾市能登島野崎町10-21,37.124063924647,137.04535605488,1,0,0,0,0,1,523人,,指定避難所
石川県,金沢市,此花公民館,石川県金沢市此花町2-7,36.577211514941,136.65196009649,1,0,0,-,-,-,,,指定避難所
石川県,金沢市,窪錦丘公園,石川県金沢市窪7丁目309,36.530711225142,136.63912397117,-,-,-,-,-,-,,,避難場所
石川県,金沢市,長田中学校,石川県金沢市二宮町1-1,36.585384989525,136.62933892316,1,0,0,-,-,-,,,指定避難所
石川県,白山市,松任総合運動公園体育館,石川県白山市倉光四丁目22,36.514782073337,136.56049753665,1,0,0,-,-,-,,,避難施設
石川県,鳳珠郡能登町,浄覚寺周辺,石川県鳳珠郡能登町字鵜川17-35,37.253691271416,137.08257962457,-,-,-,0,0,1,,,津波緊急避難場所
石川県,金沢市,神田町児童公園,石川県金沢市神田1丁目271,36.562180392548,136.63738404909,-,-,-,-,-,-,,,避難場所
石川県,金沢市,此花町緑地,石川県金沢市此花町149-1,36.577404296245,136.65228756648,-,-,-,-,-,-,,,避難場所
石川県,輪島市,住宅地裏の高台・春日神社境内,石川県輪島市,37.279526495613,136.76070816496,-,-,-,0,0,1,,,一時避難場所
石川県,金沢市,新竪町公民館,石川県金沢市鱗町62,36.555939392217,136.65685234474,1,0,0,-,-,-,,,指定避難所
石川県,鳳珠郡能登町,遠島山公園,石川県鳳珠郡能登町,37.299439863966,137.1626542594,-,-,-,0,0,1,,,津波緊急避難場所
石川県,野々市市,三日市万葉台北公園,石川県野々市市,36.534810324618,136.5987960869,-,-,-,-,-,-,,,一時避難場所
石川県,羽咋郡志賀町,志賀町総合体育館,石川県羽咋郡志賀町町ヘ1-1,37.024272544586,136.76376333081,-,-,-,0,0,1,,,津波避難場所
石川県,金沢市,伏見台公民館,石川県金沢市窪5-675,36.525953688513,136.6380518706,1,0,0,-,-,-,,,指定避難所
石川県,金沢市,押野公民館,石川県金沢市八日市2-464,36.546070403402,136.60853418126,1,0,0,-,-,-,,,指定避難所
石川県,かほく市,宇ノ気公民館,石川県かほく市宇気イ40番地3,36.73565700551,136.71255547127,1,0,0,-,-,-,,,避難場所
石川県,金沢市,みどり第2児童公園,石川県金沢市みどり1丁目172,36.568786065323,136.5905877018,-,-,-,-,-,-,,,避難場所
石川県,加賀市,分校地区会館,石川県加賀市分校町68-2,36.328916822068,136.40069180804,1,0,0,-,-,-,111人,,避難収容施設
石川県,金沢市,戸水公園,石川県金沢市湊4丁目62,36.608161133178,136.62384539366,-,-,-,-,-,-,,,避難場所
