都道府県,市区町村,避難所名,住所,緯度,経度,避難所,一時避難所,広域避難所,地震,風水害,津波,収容人数,備蓄品,備考
福井県,福井市,左内公園,福井県福井市左内町7,36.059619732701,136.21284436287,-,-,-,1,0,0,,,指定緊急避難場所
福井県,坂井市,丸岡総合福祉保健センター,福井県坂井市丸岡町八ケ郷21-7-1,36.160854451792,136.28302990311,1,0,0,-,-,-,,,避難所
福井県,坂井市,三国体育館,福井県坂井市三国町中央一丁目6-2,36.219080719395,136.1581836902,1,0,0,-,-,-,,,避難所
福井県,今立郡池田町,土合皿尾集落センター,福井県今立郡池田町土合皿尾11-10,35.861440036042,136.36122543172,1,0,0,-,-,-,,,自主避難所
福井県,福井市,春山保育園,福井県福井市田原2丁目11-3,36.071659925593,136.21534700279,1,0,0,-,-,-,,,指定避難所
福井県,福井市,荒川公園,福井県福井市南四ツ居2丁目4,36.060173435146,136.24276719521,-,-,-,1,0,0,,,指定緊急避難場所
福井県,小浜市,健康管理センター,福井県小浜市南川町4-31,35.493804142556,135.75386294416,1,0,0,1,1,0,,,避難所
福井県,福井市,上北野公園,福井県福井市上北野1丁目4,36.062045634898,136.24801137832,-,-,-,1,0,0,,,指定緊急避難場所
福井県,鯖江市,水落東第2公園,福井県鯖江市水落町2丁目(1?5班),35.960267570799,136.18624295834,-,-,-,-,-,-,,,一時避難所
福井県,三方上中郡若狭町,新道生活改善センター,福井県三方上中郡若狭町新道56-3,35.449203536968,135.89991325456,-,-,-,-,-,-,40人,,臨時避難所
福井県,丹生郡越前町,岩開生活改善センター,福井県丹生郡越前町岩開16-73,35.959992595476,136.12454644406,1,0,0,-,-,-,,,避難所
福井県,坂井市,春江研修センター,福井県坂井市春江町為国西の宮28,36.128886906977,136.22432397708,1,0,0,-,-,-,,,避難所
福井県,越前市,福邦銀行今立支店前駐車場,福井県越前市粟田部町15-34-3,35.917564695548,136.24049609699,-,-,-,0,1,0,,,第一次避難場所
福井県,坂井市,平章幼保園,福井県坂井市丸岡町霞町2丁目41,36.153866045784,136.27085458831,1,0,0,-,-,-,,,避難所
福井県,丹生郡越前町,北区集落センター,福井県丹生郡越前町織田33-8-2,35.961776954362,136.05914757018,1,0,0,-,-,-,,,避難所
福井県,大野市,開成中学校,福井県大野市新庄16-7,35.975996793863,136.48467435033,1,0,0,-,-,-,576人,,拠点避難所
福井県,福井市,福井少年運動公園,福井県福井市福町3-20,36.052107924393,136.18675954293,1,0,0,1,0,0,,,指定避難所
福井県,敦賀市,敦賀高等学校,福井県敦賀市松葉町2-1,35.651096062475,136.05017433658,1,0,0,-,-,-,978人,,指定避難所
福井県,三方郡美浜町,菅浜保育所,福井県三方郡美浜町菅浜93-4,35.655144332071,135.97654142825,-,-,-,-,-,-,94人,,要援護者用避難所
福井県,南条郡南越前町,花はす温泉そまやま,福井県南条郡南越前町中小屋60-1,35.808826469684,136.22726116506,1,0,0,-,-,-,,,避難所
福井県,越前市,JA越前たけふ農業協同組合北新庄支店,福井県越前市北町26-14,35.907468162887,136.20218393643,-,-,-,-,-,-,,,第一次避難場所
福井県,越前市,小山町生活改善センター,福井県越前市南小山町5-18,35.894190127325,136.23812460343,-,-,-,0,1,0,,,第一次避難場所
福井県,三方郡美浜町,美浜町中央公民館,福井県三方郡美浜町河原市8-8,35.602075094892,135.94679997925,1,0,0,-,-,-,250人,,拠点避難所
福井県,南条郡南越前町,南条幼稚園,福井県南条郡南越前町東大道19-49-3,35.837224124131,136.19470117906,1,0,0,-,-,-,,,避難所
福井県,鯖江市,鯖江東幼稚園,福井県鯖江市新横江2丁目6-37,35.939310812441,136.19839741651,1,0,0,1,1,0,,,避難所
福井県,三方上中郡若狭町,高岸公民館,福井県三方上中郡若狭町井崎58-22-39,35.511794253181,135.89899938839,-,-,-,-,-,-,50人,,臨時避難所
福井県,敦賀市,旧愛発小中学校,福井県敦賀市疋田37-1,35.600955177612,136.10417938975,1,0,0,-,-,-,283人,,避難所
福井県,福井市,浄土寺団地公園,福井県福井市浄土寺町48番27,36.141748745736,136.1524889515,-,-,-,1,0,0,,,指定緊急避難場所
福井県,福井市,鮎川会館,福井県福井市鮎川町,36.093964575831,136.03224330423,-,-,-,0,0,1,,,指定緊急避難場所
福井県,敦賀市,敦賀工業高等学校,福井県敦賀市山泉13-1,35.622218928701,136.06717572314,1,0,0,-,-,-,800人,,指定避難所
