都道府県,市区町村,避難所名,住所,緯度,経度,避難所,一時避難所,広域避難所,地震,風水害,津波,収容人数,備蓄品,備考
長野県,下伊那郡高森町,龍の里会館,長野県下伊那郡高森町山吹5943-1,35.5760769,137.907103,1,0,0,1,1,0,,,
長野県,下伊那郡高森町,山吹中区集会所,長野県下伊那郡高森町山吹379-1,35.5698039,137.884810,1,0,0,1,1,0,,,
長野県,下伊那郡高森町,下市田3区力行会館,長野県下伊那郡高森町下市田1094-1,35.5450303,137.873050,1,0,0,1,1,0,,,
長野県,下伊那郡高森町,大島山区民会館,長野県下伊那郡高森町大島山828,35.564693,137.857934,1,0,0,1,1,0,,,
長野県,下伊那郡高森町,牛牧伝統芸能伝承館,長野県下伊那郡高森町牛牧1543,35.5535105,137.849945,1,0,0,1,1,0,,,
長野県,下伊那郡高森町,高森南小学校,長野県下伊那郡高森町下市田2303,35.5503009,137.873178,0,1,0,1,0,0,,,
長野県,下伊那郡高森町,下市田1区ふれあい会館,長野県下伊那郡高森町下市田2793,35.5533091,137.874131,1,0,0,1,1,0,,,
長野県,下伊那郡高森町,高森中学校,長野県下伊那郡高森町下市田2200-23,35.5518233,137.876660,0,1,0,1,0,0,,,
長野県,下伊那郡高森町,原町陣屋区民会館,長野県下伊那郡高森町上市田202-1,35.5543866,137.859359,1,0,0,1,0,0,,,
長野県,下伊那郡高森町,下市田1区積善会館,長野県下伊那郡高森町下市田1755-1,35.5486619,137.879879,1,0,0,1,1,0,,,
長野県,下伊那郡高森町,吉田区民会館,長野県下伊那郡高森町吉田1520,35.5605644,137.877984,1,0,0,1,1,0,,,
長野県,下伊那郡高森町,高森町商工会館,長野県下伊那郡高森町下市田2971-7,35.5484470,137.886944,1,0,0,1,1,0,,,
長野県,須坂市,墨坂中学校,長野県須坂市墨坂南二丁目19-1,36.6446277,138.296386,1,0,0,1,1,0,950人,毛布・発動発電機・灯光器,指定避難所
長野県,下伊那郡高森町,山吹保育園,長野県下伊那郡高森町山吹3786,35.5794759,137.891704,1,0,0,1,1,0,,,
長野県,下伊那郡高森町,吉田保育園,長野県下伊那郡高森町吉田1261-1,35.5608450,137.875409,1,0,0,1,1,0,,,
長野県,下伊那郡高森町,高森南小学校体育館,長野県下伊那郡高森町下市田2303,35.5496689,137.872823,1,0,0,1,1,0,,,
長野県,下伊那郡高森町,吉田南地区館,長野県下伊那郡高森町吉田2279-84,35.5559979,137.888595,1,0,0,1,0,0,,,
長野県,下伊那郡高森町,下市田2区パーシモン会館,長野県下伊那郡高森町下市田2002-1,35.5459379,137.883028,1,0,0,1,1,0,,,
長野県,下伊那郡高森町,下市田5区集会所,長野県下伊那郡高森町下市田741-4,35.5393396,137.869686,1,0,0,1,0,0,,,
長野県,下伊那郡高森町,新田地区館,長野県下伊那郡高森町山吹8838-1,35.587858,137.884897,1,0,0,1,1,0,,,
長野県,須坂市,仁礼小学校,長野県須坂市大字仁礼96-2,36.6107336,138.340780,1,0,0,1,1,0,430人,毛布・発動発電機・灯光器,指定避難所
長野県,下伊那郡高森町,吉田西地区館,長野県下伊那郡高森町吉田1659-21,35.562880,137.869846,1,0,0,1,1,0,,,
