都道府県,市区町村,避難所名,住所,緯度,経度,避難所,一時避難所,広域避難所,地震,風水害,津波,収容人数,備蓄品,備考
岐阜県,中津川市,中津川公園,岐阜県中津川市茄子川１６８３?７９７,35.45727346,137.4659753,1,0,1,1,0,0,,,広域避難所（被害が甚大の場合に避難者を収容する施設）
岐阜県,中津川市,馬籠自然休養村センター,岐阜県中津川市馬籠４７９７?２４１,35.52738356,137.5612882,1,0,0,0,1,0,,,指定避難所（避難生活に最低限必要な設備が整っている施設）
岐阜県,瑞穂市,牛牧小学校校舎・体育館（指定緊急避難場所）,岐阜県瑞穂市牛牧1523,35.37900727,136.67270515,0,1,0,1,0,0,,,指定緊急避難場所
岐阜県,瑞穂市,巣南中学校グラウンド,岐阜県瑞穂市古橋10-1,35.40161308,136.65110125,0,1,1,1,0,0,,,指定緊急避難場所
岐阜県,中津川市,川上自然休養村センター,岐阜県中津川市川上１４２７?６,35.61037077,137.4978403,1,0,0,0,1,0,,,指定避難所（避難生活に最低限必要な設備が整っている施設）
岐阜県,瑞穂市,サンプラスパ,岐阜県瑞穂市只越1061,35.3992235,136.688845,1,0,0,1,1,0,,,民間協定施設
岐阜県,中津川市,アートピア付知交芸プラザ,岐阜県中津川市付知町４９５６?５２,35.66088557,137.4285353,1,0,0,1,0,0,,,指定避難所（避難生活に最低限必要な設備が整っている施設）
岐阜県,瑞穂市,牛牧南部コミュニティセンター（指定緊急避難場所）,岐阜県瑞穂市牛牧1580-1,35.37772961,136.67267185,0,1,0,1,0,0,,,指定緊急避難場所
岐阜県,瑞穂市,上牛牧ふれあい公園,岐阜県瑞穂市牛牧611-1,35.3890136,136.666185,0,1,0,1,0,0,,,指定緊急避難場所
岐阜県,中津川市,下野小学校,岐阜県中津川市下野６６４,35.58520998,137.4667383,1,0,0,1,1,0,,,指定避難所（避難生活に最低限必要な設備が整っている施設）
岐阜県,中津川市,田瀬小学校,岐阜県中津川市田瀬１４,35.62066846,137.4648449,1,0,0,1,1,0,,,指定避難所（避難生活に最低限必要な設備が整っている施設）
岐阜県,瑞穂市,本田コミュニティセンター（指定緊急避難場所）,岐阜県瑞穂市本田977-1,35.40529905,136.67765400,0,1,0,1,0,0,,,指定緊急避難場所
岐阜県,中津川市,苗木トレーニングセンター,岐阜県中津川市苗木４６１０?２４,35.52833764,137.4606592,1,0,0,1,1,0,,,指定避難所（避難生活に最低限必要な設備が整っている施設）
岐阜県,瑞穂市,別府保育所（指定緊急避難場所）,岐阜県瑞穂市別府144-1,35.39750836,136.68887801,0,1,0,1,0,0,,,指定緊急避難場所
岐阜県,瑞穂市,西小学校校舎・体育館（指定緊急避難場所）,岐阜県瑞穂市居倉389,35.41608606,136.64197442,0,1,0,1,0,0,,,指定緊急避難場所
岐阜県,中津川市,山口公民館,岐阜県中津川市山口１６１６?３,35.55628588,137.5437033,1,0,0,1,0,0,,,指定避難所（避難生活に最低限必要な設備が整っている施設）
岐阜県,中津川市,苗木中学校,岐阜県中津川市苗木２０９２,35.52462686,137.4717806,1,0,0,1,1,0,,,指定避難所（避難生活に最低限必要な設備が整っている施設）
岐阜県,瑞穂市,滝坪公園,岐阜県瑞穂市生津滝坪町1-123,35.4092625,136.684315,0,1,0,1,0,0,,,指定緊急避難場所
岐阜県,瑞穂市,柳一色公園,岐阜県瑞穂市稲里680,35.38319885,136.68614268,0,1,0,1,0,0,,,指定緊急避難場所
岐阜県,中津川市,川上小学校,岐阜県中津川市川上４０９?７,35.61800635,137.4984287,1,0,0,1,1,0,,,指定避難所（避難生活に最低限必要な設備が整っている施設）
岐阜県,瑞穂市,本田第一保育所屋外遊戯場,岐阜県瑞穂市本田1915,35.40788205,136.68122298,0,1,0,1,0,0,,,指定緊急避難場所
岐阜県,瑞穂市,穂積北中学校校舎・体育館(指定避難所）,岐阜県瑞穂市本田2000,35.40402421,136.68728075,1,0,0,1,1,0,,,指定避難所
岐阜県,中津川市,坂本北部体育館,岐阜県中津川市千旦林１５７３?４５,35.49492572,137.4458146,1,0,0,1,1,0,,,避難地（発災後、延焼火災等の避難者を収容する広場）
岐阜県,中津川市,下野いきいき会館,岐阜県中津川市下野1423-7,35.58923557,137.4684368,1,0,0,1,1,0,,,指定避難所（避難生活に最低限必要な設備が整っている施設）
岐阜県,中津川市,花街道センター及び公園,岐阜県中津川市付知町８５８１?1,35.64279186,137.4414663,1,0,0,1,0,0,,,指定避難所（避難生活に最低限必要な設備が整っている施設）
岐阜県,瑞穂市,中小学校校舎・体育館（指定緊急避難場所）,岐阜県瑞穂市美江寺173,35.41116515,136.65810874,0,1,0,1,0,0,,,指定緊急避難場所
岐阜県,中津川市,馬籠にぎわい広場,岐阜県中津川市馬籠４７９７?２３５,35.52627876,137.5604473,1,0,0,1,1,0,,,避難地（発災後、延焼火災等の避難者を収容する広場）
岐阜県,瑞穂市,ＰＬＡＮＴ６瑞穂店駐車場・トイレ,岐阜県瑞穂市犀川5-38,35.37017771,136.67722711,0,1,0,1,0,0,,,民間協定施設
岐阜県,中津川市,福岡小学校,岐阜県中津川市福岡７３７,35.56087701,137.4529895,1,0,0,1,1,0,,,指定避難所（避難生活に最低限必要な設備が整っている施設）
岐阜県,瑞穂市,高道公園,岐阜県瑞穂市馬場小城町1-122,35.4097955,136.690658,0,1,0,1,0,0,,,指定緊急避難場所
岐阜県,中津川市,坂下公民館,岐阜県中津川市坂下８２０?１,35.57400886,137.5282881,1,0,0,1,1,0,,,指定避難所（避難生活に最低限必要な設備が整っている施設）
岐阜県,瑞穂市,穂積中学校校舎・体育館（指定緊急避難場所）,岐阜県瑞穂市別府1888,35.39167291,136.68648403,0,1,0,1,0,0,,,指定緊急避難場所
岐阜県,中津川市,デイサービスセンター「椿苑」,岐阜県中津川市山口２１５５?４,35.5525617,137.5469263,1,0,0,1,1,0,,,指定避難所（避難生活に最低限必要な設備が整っている施設）
岐阜県,瑞穂市,せせらぎ公園,岐阜県瑞穂市本田12201-15,35.4033600,136.670338,0,1,0,1,0,0,,,指定緊急避難場所
岐阜県,中津川市,付知福祉センター,岐阜県中津川市付知町５８８１?３２,35.6605986,137.4292123,1,0,0,1,1,0,,,指定避難所（避難生活に最低限必要な設備が整っている施設）
岐阜県,中津川市,坂本小学校,岐阜県中津川市千旦林１４６０,35.47842249,137.4471854,1,0,0,1,1,0,,,指定避難所（避難生活に最低限必要な設備が整っている施設）
岐阜県,瑞穂市,朝日大学6号館・10周年記念館（指定避難所）,岐阜県瑞穂市穂積1851,35.38176303,136.69056451,1,0,0,1,1,0,,,指定避難所
岐阜県,中津川市,福岡中学校,岐阜県中津川市福岡１?８,35.57336733,137.4538739,1,0,0,1,1,0,,,指定避難所（避難生活に最低限必要な設備が整っている施設）
岐阜県,中津川市,中津商業高等学校,岐阜県中津川市駒場１６４６,35.50383829,137.4933636,1,0,0,1,1,0,,,指定避難所（避難生活に最低限必要な設備が整っている施設）
岐阜県,中津川市,付知北小学校,岐阜県中津川市付知町３７１９?１,35.66622897,137.4145223,1,0,0,1,0,0,,,指定避難所（避難生活に最低限必要な設備が整っている施設）
岐阜県,瑞穂市,朝日大学グラウンド,岐阜県瑞穂市穂積1896-1,35.38176303,136.69056451,0,1,1,1,0,0,,,指定緊急避難場所
岐阜県,中津川市,総合グランド,岐阜県中津川市川上１４３３?２,35.60905402,137.4978988,1,0,0,1,1,0,,,避難地（発災後、延焼火災等の避難者を収容する広場）
岐阜県,瑞穂市,西保育・教育センター屋外遊戯場,岐阜県瑞穂市居倉177-1,35.41653602,136.64305763,0,1,0,1,0,0,,,指定緊急避難場所
岐阜県,中津川市,坂本幼稚園,岐阜県中津川市千旦林１４６０,35.47797158,137.447298,1,0,0,0,1,0,,,指定避難所（避難生活に最低限必要な設備が整っている施設）
岐阜県,中津川市,坂下中学校,岐阜県中津川市坂下１５００?１,35.57906184,137.5230585,1,0,0,1,1,0,,,指定避難所（避難生活に最低限必要な設備が整っている施設）
岐阜県,瑞穂市,穂積保育所屋外遊戯場,岐阜県瑞穂市穂積966-1,35.38283527,136.69586950,0,1,0,1,0,0,,,指定緊急避難場所
岐阜県,中津川市,旭ヶ丘公園,岐阜県中津川市中津川１３１６?１,35.5005668,137.5084041,1,0,0,1,1,0,,,避難地（発災後、延焼火災等の避難者を収容する広場）
岐阜県,中津川市,蛭川保育園,岐阜県中津川市蛭川４８４４?１,35.51544533,137.3995643,1,0,0,1,1,0,,,指定避難所（避難生活に最低限必要な設備が整っている施設）
岐阜県,瑞穂市,彦内公園,岐阜県瑞穂市生津外宮前町2-87,35.4037058,136.691820,0,1,0,1,0,0,,,指定緊急避難場所
岐阜県,瑞穂市,市民センター（指定避難所）,岐阜県瑞穂市別府1300-3,35.39172852,136.68996698,1,0,0,1,1,0,,,指定避難所
岐阜県,中津川市,茄子川産業振興財団,岐阜県中津川市茄子川１３１７?４,35.4673762,137.4470776,1,0,0,1,1,0,,,指定避難所（避難生活に最低限必要な設備が整っている施設）
岐阜県,中津川市,蛭川小学校,岐阜県中津川市蛭川２２９８?１,35.52440639,137.3809999,1,0,0,1,1,0,,,指定避難所（避難生活に最低限必要な設備が整っている施設）
岐阜県,中津川市,えびす公園,岐阜県中津川市えびす町１７０７?２,35.49600892,137.5046591,1,0,0,1,1,0,,,避難地（発災後、延焼火災等の避難者を収容する広場）
