都道府県,市区町村,避難所名,住所,緯度,経度,避難所,一時避難所,広域避難所,地震,風水害,津波,収容人数,備蓄品,備考
愛知県,日進市,岩藤公民館,愛知県日進市岩藤町所寒527,35.14861869,137.054659,1,0,0,1,1,0,,,〔指定緊急避難場所・地域避難場所〕拠点避難所が開設するまでの間、過ごせる施設/小規模避難者対応施設で連絡可能な施設
愛知県,江南市,古知野中保育園,愛知県江南市古知野町熱田203,35.34236577,136.87095530,1,0,0,0,1,0,131人,,避難所とは、災害に際し、避難者を一時的に収容する施設で、風水害時及び地震時に区別する。
愛知県,日進市,赤池小学校,愛知県日進市赤池3?2101,35.11804969,137.01665586,1,0,0,1,1,0,,,〔指定避難所・拠点避難所〕大規模地震災害時など、多くの避難者が数日間生活できる環境で、物資も配備されている公的施設
愛知県,江南市,藤里小学校体育館,愛知県江南市村久野町藤里1,35.35847495,136.85865624,1,0,0,1,1,0,215人,,避難所とは、災害に際し、避難者を一時的に収容する施設で、風水害時及び地震時に区別する。
愛知県,江南市,武道館,愛知県江南市高屋町清水118,35.34973800,136.87414800,1,0,0,1,0,0,329人,,避難所とは、災害に際し、避難者を一時的に収容する施設で、風水害時及び地震時に区別する。
愛知県,江南市,宮田中学校グランド,愛知県江南市後飛保町前川210,35.35059820,136.85158000,0,0,1,1,0,0,3711人,,広域避難所とは、大地震が発生した場合において、大規模な延焼火災が発生するおそれがある地域について、避難地の避難者がさらに危険となるときに避難者を保護するために必要な面積を有する学校のグランド、公園等をいう。
愛知県,日進市,日進東中学校,愛知県日進市藤島町相山77,35.13647578,137.05618155,1,0,0,1,1,0,,,〔指定避難所・拠点避難所〕大規模地震災害時など、多くの避難者が数日間生活できる環境で、物資も配備されている公的施設
愛知県,日進市,日進市総合運動公園,愛知県日進市岩藤町大清水919?1,35.1475067,137.071748,0,0,1,1,0,0,,,〔広域避難場所〕大規模かつ広範囲にわたる災害に対する広域的オープンスペースたる避難場所
愛知県,江南市,尾北高等学校グランド,愛知県江南市北山町西4,35.32120900,136.87445100,0,0,1,1,0,0,5812人,,広域避難所とは、大地震が発生した場合において、大規模な延焼火災が発生するおそれがある地域について、避難地の避難者がさらに危険となるときに避難者を保護するために必要な面積を有する学校のグランド、公園等をいう。
愛知県,日進市,愛知県口論義運動公園（駐車場）,愛知県日進市北新町西口論義323?8,35.1647723,137.048909,0,0,1,1,0,0,,,〔広域避難場所〕大規模かつ広範囲にわたる災害に対する広域的オープンスペースたる避難場所
愛知県,日進市,日進北中学校,愛知県日進市竹の山4?502,35.1528870,137.032402,1,0,0,1,1,0,,,〔指定避難所・拠点避難所〕大規模地震災害時など、多くの避難者が数日間生活できる環境で、物資も配備されている公的施設
愛知県,日進市,上納池スポーツ公園体育館,愛知県日進市浅田町西田面155?1,35.12577641,137.01638364,1,0,0,1,1,0,,,〔指定避難所・二次避難所〕風水害時など、小規模の避難者に対応する施設/帰宅困難者や長期避難者向け施設
愛知県,名古屋市名東区,名古屋市立名東高校,名古屋市名東区大針1?351,35.15404493,137.0211575,1,0,0,1,1,0,,,〔指定緊急避難場所・地域避難場所〕拠点避難所が開設するまでの間、過ごせる施設/小規模避難者対応施設で連絡可能な施設
愛知県,日進市,西部福祉会館,愛知県日進市赤池町下郷222,35.12611802,137.01456438,1,0,0,1,1,0,,,〔指定避難所・二次避難所〕風水害時など、小規模の避難者に対応する施設/帰宅困難者や長期避難者向け施設
愛知県,日進市,折戸公民館,愛知県日進市折戸町前田59?1,35.12121918,137.0450386,1,0,0,1,1,0,,,〔指定緊急避難場所・地域避難場所〕拠点避難所が開設するまでの間、過ごせる施設/小規模避難者対応施設で連絡可能な施設
愛知県,日進市,相野山福祉会館,愛知県日進市北新町二段場920?8,35.15634008,137.05720009,1,0,0,1,1,0,,,〔指定避難所・二次避難所〕風水害時など、小規模の避難者に対応する施設/帰宅困難者や長期避難者向け施設
愛知県,江南市,フラワーパーク江南,愛知県江南市小杁町一色,35.36540550,136.86328600,0,0,1,1,0,0,20700人,,広域避難所とは、大地震が発生した場合において、大規模な延焼火災が発生するおそれがある地域について、避難地の避難者がさらに危険となるときに避難者を保護するために必要な面積を有する学校のグランド、公園等をいう。
愛知県,日進市,相野山小学校,愛知県日進市北新町相野山1331?3,35.15259887,137.05870290,1,0,0,1,1,0,,,〔指定避難所・拠点避難所〕大規模地震災害時など、多くの避難者が数日間生活できる環境で、物資も配備されている公的施設
愛知県,江南市,北部中学校体育館,愛知県江南市村久野町平松245,35.36028606,136.87994267,1,0,0,1,0,0,154人,,避難所とは、災害に際し、避難者を一時的に収容する施設で、風水害時及び地震時に区別する。
愛知県,日進市,竹の山小学校,愛知県日進市竹の山4?502,35.1532232,137.032511,1,0,0,1,1,0,,,〔指定避難所・拠点避難所〕大規模地震災害時など、多くの避難者が数日間生活できる環境で、物資も配備されている公的施設
愛知県,日進市,橦木団地集会所,愛知県日進市藤枝町奥廻間1192?98,35.1225432,137.059850,0,1,0,1,0,0,,,〔指定緊急避難場所・一時避難場所〕身近にあり、避難行動要支援者も含めて地区住民が集まれる場所
愛知県,江南市,中央保育園,愛知県江南市赤童子町南山33,35.33252208,136.87473311,1,0,0,0,1,0,111人,,避難所とは、災害に際し、避難者を一時的に収容する施設で、風水害時及び地震時に区別する。
愛知県,江南市,古知野中児童遊園,愛知県江南市古知野町本郷40,35.33914090,136.87140900,0,1,0,1,0,0,426人,,避難地（一時避難所）とは、地震により家屋の倒壊、焼失等による被害を受けるおそれのあるときに避難者が一時的に避難する学校のグランド、公園等をいう。
愛知県,日進市,日進西中学校,愛知県日進市梅森町向江1597-1,35.12952313,137.01756128,1,0,0,1,1,0,,,〔指定避難所・拠点避難所〕大規模地震災害時など、多くの避難者が数日間生活できる環境で、物資も配備されている公的施設
愛知県,蒲郡市,大塚西保育園,愛知県蒲郡市大塚町西屋敷68-1,34.8121862,137.272444,1,0,0,1,1,0,43人,,長期滞在するための避難施設、海抜8.0ｍ
愛知県,日進市,愛知学院大学運動場及び駐車場,愛知県日進市岩崎町阿良池12,35.16019768,137.0471149,0,1,0,1,0,0,,,〔指定緊急避難場所・一時避難場所〕身近にあり、避難行動要支援者も含めて地区住民が集まれる場所
愛知県,江南市,西部中学校グランド,愛知県江南市上奈良町観音寺60,35.32524650,136.85594100,0,0,1,1,0,0,4949人,,広域避難所とは、大地震が発生した場合において、大規模な延焼火災が発生するおそれがある地域について、避難地の避難者がさらに危険となるときに避難者を保護するために必要な面積を有する学校のグランド、公園等をいう。
愛知県,江南市,中央公園,愛知県江南市北野町川石1-1,35.33591520,136.87745300,0,0,1,1,0,0,9915人,,広域避難所とは、大地震が発生した場合において、大規模な延焼火災が発生するおそれがある地域について、避難地の避難者がさらに危険となるときに避難者を保護するために必要な面積を有する学校のグランド、公園等をいう。
愛知県,日進市,日生東山園集会所,愛知県日進市東山1?307,35.12855984,137.045844,0,1,0,1,0,0,,,〔指定緊急避難場所・一時避難場所〕身近にあり、避難行動要支援者も含めて地区住民が集まれる場所
愛知県,江南市,江南緑地公園（中般若）,愛知県江南市中般若町川端284,35.37545390,136.89278395,0,0,1,1,0,0,5070人,,広域避難所とは、大地震が発生した場合において、大規模な延焼火災が発生するおそれがある地域について、避難地の避難者がさらに危険となるときに避難者を保護するために必要な面積を有する学校のグランド、公園等をいう。
愛知県,日進市,藤島公会堂,愛知県日進市藤島町芝干33?4,35.14028076,137.0527985,1,0,0,1,1,0,,,〔指定緊急避難場所・地域避難場所〕拠点避難所が開設するまでの間、過ごせる施設/小規模避難者対応施設で連絡可能な施設
愛知県,江南市,布袋中学校グランド,愛知県江南市北山町西7,35.32077930,136.87592600,0,0,1,1,0,0,3318人,,広域避難所とは、大地震が発生した場合において、大規模な延焼火災が発生するおそれがある地域について、避難地の避難者がさらに危険となるときに避難者を保護するために必要な面積を有する学校のグランド、公園等をいう。
愛知県,日進市,南山エピック集会所,愛知県日進市米野木町南山973-47,35.13581579,137.0828039,0,1,0,1,0,0,,,〔指定緊急避難場所・一時避難場所〕身近にあり、避難行動要支援者も含めて地区住民が集まれる場所
愛知県,日進市,野方公民館,愛知県日進市野方町西島25?1,35.1301831,137.0288827,1,0,0,1,1,0,,,〔指定緊急避難場所・地域避難場所〕拠点避難所が開設するまでの間、過ごせる施設/小規模避難者対応施設で連絡可能な施設
愛知県,蒲郡市,塩津保育園,愛知県蒲郡市竹谷町今御堂63-1,34.8270971,137.201065,1,0,0,0,1,0,65人,,長期滞在するための避難施設、海抜20.0ｍ
愛知県,日進市,野方北集会所,愛知県日進市岩崎町南高上210,35.1364941,137.030215,0,1,0,1,0,0,,,〔指定緊急避難場所・一時避難場所〕身近にあり、避難行動要支援者も含めて地区住民が集まれる場所
愛知県,日進市,西小学校,愛知県日進市浅田町東田面76,35.12866772,137.02888232,1,0,0,1,1,0,,,〔指定避難所・拠点避難所〕大規模地震災害時など、多くの避難者が数日間生活できる環境で、物資も配備されている公的施設
愛知県,江南市,宮田中学校体育館,愛知県江南市後飛保町前川210,35.34992003,136.85192377,1,0,0,1,0,0,213人,,避難所とは、災害に際し、避難者を一時的に収容する施設で、風水害時及び地震時に区別する。
愛知県,蒲郡市,西浦保育園,愛知県蒲郡市西浦町丸落20-3,34.7831074,137.180279,1,0,0,0,1,0,70人,,長期滞在するための避難施設、海抜5.0ｍ
愛知県,日進市,東山グラウンド,愛知県日進市東山5?2101,35.1234755,137.053528,0,1,0,1,0,0,,,〔指定緊急避難場所・一時避難場所〕身近にあり、避難行動要支援者も含めて地区住民が集まれる場所
愛知県,江南市,古知野高等学校グランド,愛知県江南市古知野町高瀬1,35.34449600,136.86714500,0,0,1,1,0,0,3900人,,広域避難所とは、大地震が発生した場合において、大規模な延焼火災が発生するおそれがある地域について、避難地の避難者がさらに危険となるときに避難者を保護するために必要な面積を有する学校のグランド、公園等をいう。
愛知県,日進市,日進市スポーツセンター,愛知県日進市蟹甲町家布58?1,35.12966779,137.03945042,1,0,0,1,1,0,,,〔指定避難所・二次避難所〕風水害時など、小規模の避難者に対応する施設/帰宅困難者や長期避難者向け施設
愛知県,江南市,交通児童遊園,愛知県江南市木賀町大門19,35.32519765,136.87183370,0,1,0,1,0,0,2484人,,避難地（一時避難所）とは、地震により家屋の倒壊、焼失等による被害を受けるおそれのあるときに避難者が一時的に避難する学校のグランド、公園等をいう。
愛知県,日進市,岩崎公民館,愛知県日進市岩崎町大塚45-1,35.14407731,137.0430105,1,0,0,1,1,0,,,〔指定緊急避難場所・地域避難場所〕拠点避難所が開設するまでの間、過ごせる施設/小規模避難者対応施設で連絡可能な施設
