都道府県,市区町村,避難所名,住所,緯度,経度,避難所,一時避難所,広域避難所,地震,風水害,津波,収容人数,備蓄品,備考
三重県,度会郡南伊勢町,南勢中学校体育館,三重県度会郡南伊勢町船越2100,34.350455827666,136.68632984113,1,0,0,-,-,-,,,避難所
三重県,松阪市,県教職員組合松阪高支部,三重県松阪市本町2069-7,34.579448373778,136.53253379072,1,0,0,0,1,0,180人,,一時避難所
三重県,松阪市,駅部田町柳2号公園,三重県松阪市駅部田町柳670-4,34.55483162093,136.53277589365,-,-,-,-,-,-,,,一時避難所
三重県,三重郡川越町,川越町総合体育館,三重県三重郡川越町亀崎新田77-546,35.010532649848,136.68344233008,1,0,0,0,0,1,,,避難場所
三重県,津市,六田公民館,三重県津市美杉町下多気182,34.519973085485,136.30177894578,-,-,-,0,1,0,,,一時避難場所
三重県,桑名市,蓮花寺第2北公園,三重県桑名市蓮花寺字神田979-69号,35.066550598231,136.64913906647,1,0,0,-,-,-,,,避難所
三重県,津市,高洲会館,三重県津市高洲町18,34.726241577853,136.52591908264,-,-,-,1,0,0,,,一時避難場所
三重県,四日市市,海蔵南公会所,三重県四日市市末永町12-12,34.978410153857,136.61721832729,1,0,0,-,-,-,50人,,緊急避難所
三重県,志摩市,片田小学校,三重県志摩市志摩町片田2393,34.254494377576,136.84440838978,1,0,0,1,1,1,,,避難所
三重県,津市,津高等学校グラウンド,三重県津市新町3-1-1,34.718686610174,136.49087667093,-,-,-,1,0,0,,,一時避難場所
三重県,松阪市,天花寺集会所,三重県松阪市嬉野天花寺町495,34.63104481923,136.46461202499,1,0,0,1,1,0,50人,,一時避難所
三重県,津市,千里団地集会所,三重県津市河芸町千里ヶ丘69-2,34.807139564141,136.54362156529,-,-,-,0,1,0,,,一時避難場所
三重県,員弁郡東員町,笹尾東小学校,三重県員弁郡東員町笹尾東4-28番,35.101624370626,136.60255382245,1,0,0,-,-,-,,,避難場所・避難所
三重県,津市,美里区多目的集会所,三重県津市白山町山田野338-3,34.644111696047,136.32447072694,-,-,-,0,1,0,,,一時避難場所
三重県,津市,特別養護老人ホーム高田光寿園,三重県津市大里野田町1124-1,34.784181268807,136.48148413872,-,-,-,-,-,-,,,福祉避難所
三重県,四日市市,四郷小学校,三重県四日市市西日野町3207-1,34.954806292401,136.58337135339,1,0,0,-,-,-,230人,,指定避難所
三重県,四日市市,三本松町公民館,三重県四日市市水沢町1842,34.979738137674,136.476580202,1,0,0,-,-,-,70人,,緊急避難所
