都道府県,市区町村,避難所名,住所,緯度,経度,避難所,一時避難所,広域避難所,地震,風水害,津波,収容人数,備蓄品,備考
滋賀県,高島市,大師山さくら園,滋賀県高島市新旭町饗庭5138,35.3628935,136.027329,1,0,1,0,1,0,107人,,風水害時
滋賀県,高島市,古賀保育園,滋賀県高島市安曇川町下古賀1182,35.3555798,135.988788,1,0,1,1,1,0,89人,,地震災害時、風水害時
滋賀県,高島市,安曇川中学校,滋賀県高島市安曇川町田中567,35.3327543,136.01501,1,0,1,1,1,0,583人,,地震災害時、風水害時、原子力災害時
滋賀県,高島市,新旭養護学校,滋賀県高島市新旭町太田９８８-６,35.3404052,136.046474,1,0,1,1,0,0,393人,,地震災害時、原子力災害時
滋賀県,高島市,今津北小学校,滋賀県高島市今津町日置前100,35.4221709,136.024914,1,0,1,1,1,0,349人,,地震災害時、風水害時
滋賀県,高島市,静里なのはな園,滋賀県高島市新旭町藁園2305,35.3520413,136.050471,1,0,1,1,1,0,77人,,地震災害時、風水害時
滋賀県,高島市,安曇小学校,滋賀県高島市安曇川町田中445-1,35.3328982,136.01619,1,0,1,1,1,0,552人,,地震災害時、風水害時、原子力災害時
滋賀県,高島市,安曇川はこぶね保育園,滋賀県高島市安曇川町青柳700-1,35.3310852,136.037025,1,0,1,1,0,0,280人,,地震災害時、原子力災害時
滋賀県,高島市,健康の森梅ノ子運動公園,滋賀県高島市安曇川町南古賀65,35.3456943,136.005743,1,0,1,1,0,0,45人,,地震災害時、原子力災害時
滋賀県,高島市,ＥＣＣ学園高等学校,滋賀県高島市今津町椋川512-1,35.4037410,135.908849,1,0,1,1,1,0,143人,,地震災害時、風水害時
滋賀県,高島市,マキノ東小学校,滋賀県高島市マキノ町海津2384,35.4650572,136.074985,1,0,1,1,1,0,296人,,地震災害時、風水害時
滋賀県,高島市,今津東小学校,滋賀県高島市今津町弘川59,35.4083298,136.030970,1,0,1,1,1,0,706人,,地震災害時、風水害時
滋賀県,高島市,新旭総合福祉センターやすらぎ荘,滋賀県高島市新旭町北畑45-1,35.3493213,136.045301,1,0,1,1,1,0,40人,,地震災害時、風水害時、原子力災害時
滋賀県,高島市,グリーンパーク想い出の森　朽木体育館,滋賀県高島市朽木柏341-3,35.3424658,135.921582,1,0,1,1,1,0,96人,,地震災害時、風水害時
滋賀県,高島市,新旭北小学校,滋賀県高島市新旭町饗庭２６,35.3633714,136.029924,1,0,1,1,1,0,616人,,地震災害時、風水害時
滋賀県,高島市,マキノ西小学校,滋賀県高島市寺久保552-1,35.4722086,136.043337,1,0,1,1,1,0,317人,,地震災害時、風水害時
滋賀県,高島市,今津北コミュニティセンター,滋賀県高島市今津町日置前149-1,35.4219509,136.024178,1,0,1,1,1,0,23人,,地震災害時、風水害時
滋賀県,高島市,しろふじ保育園,滋賀県高島市永田1233-1,35.3439718,136.0403324,1,0,1,1,1,0,173人,,地震災害時、風水害時、原子力災害時
滋賀県,高島市,中央ユニバーサルこども園,滋賀県高島市安曇川町田中532-1,35.3299715,136.014131,1,0,1,1,1,0,160人,,地震災害時、風水害時、原子力災害時
滋賀県,高島市,鴨川流域土地改良区事務所,滋賀県高島市安曇川町下小川2912,35.3065471,136.032455,1,0,1,1,1,0,46人,,地震災害時、風水害時、原子力災害時
滋賀県,高島市,安曇川ふれあいセンター,滋賀県高島市安曇川町田中89,35.3329794,136.019149,1,0,1,1,1,0,349人,,地震災害時、風水害時、原子力災害時
滋賀県,高島市,高島市民会館,滋賀県高島市今津町中沼1-3-1,35.3990238,136.033841,1,0,1,1,1,0,993人,,地震災害時、風水害時
滋賀県,高島市,マキノ北小学校在原分校,滋賀県高島市マキノ町在原506,35.5140872,136.074127,1,0,1,1,1,0,82人,,地震災害時、風水害時
滋賀県,高島市,湖西中学校,滋賀県高島市新旭町北畑５６４-２,35.3529013,136.037576,1,0,1,1,1,0,662人,,地震災害時、風水害時
滋賀県,高島市,今津勤労者体育センター,滋賀県高島市今津町今津1952-1,35.4060317,136.030384,1,0,1,1,1,0,327人,,地震災害時、風水害時
滋賀県,高島市,安曇川図書館,滋賀県高島市安曇川町青柳1163,35.3251609,136.030299,1,0,1,1,1,0,47人,,地震災害時、風水害時
滋賀県,高島市,藤波こども園,滋賀県高島市安曇川町下小川120-1,35.322704,136.034059,1,0,1,1,0,0,189人,,地震災害時、原子力災害時
滋賀県,高島市,高島B&G海洋センター,滋賀県高島市宮野1516,35.3066484,136.002731,1,0,1,1,1,0,793人,,地震災害時、風水害時、原子力災害時
滋賀県,高島市,今津東保育園,滋賀県高島市今津町住吉2-16-5,35.4027453,136.033127,1,0,1,1,1,0,103人,,地震災害時、風水害時
滋賀県,高島市,マキノ北小学校,滋賀県高島市マキノ町小荒路1046-1,35.4880007,136.074607,1,0,1,1,0,0,313人,,地震災害時
