都道府県,市区町村,避難所名,住所,緯度,経度,避難所,一時避難所,広域避難所,地震,風水害,津波,収容人数,備蓄品,備考
兵庫県,豊岡市,高齢者生活支援センターひだまり,兵庫県豊岡市但東町水石155,35.448798,134.917842,1,1,0,1,1,0,,,水石
兵庫県,豊岡市,豊岡高校,兵庫県豊岡市京町12-91,35.5388133,134.821347,1,1,0,1,1,0,,,桜通、小尾崎、豊田、三坂、西本、旭、城上
兵庫県,豊岡市,河内公民館,兵庫県豊岡市竹野町河内871,35.5858449,134.713962,1,1,0,1,1,0,,,河内
兵庫県,豊岡市,河谷会館,兵庫県豊岡市河谷850,35.5363283,134.850097,1,1,0,1,0,0,,,河谷
兵庫県,豊岡市,頼光寺,兵庫県豊岡市日高町上郷580,35.4751621,134.799377,1,1,0,1,1,0,,,上郷
兵庫県,豊岡市,資母体育館,兵庫県豊岡市但東町中山706-1,35.4934215,134.994561,1,1,0,1,1,0,,,資母地区全域
兵庫県,豊岡市,水口区公民館,兵庫県豊岡市日高町水口308,35.514763,134.65415,1,1,0,1,1,0,,,水口
兵庫県,豊岡市,神美台スポーツ公園管理棟,兵庫県豊岡市神美台157-40,35.5169282,134.867716,1,1,0,1,1,0,,,神美地区全域
兵庫県,豊岡市,アイティ（市民プラザ）,兵庫県豊岡市大手町4-5,35.5445403,134.81491,1,1,0,1,1,0,,,駅前、寿、西花園
兵庫県,豊岡市,津居山公民館,兵庫県豊岡市津居山3,35.6501006,134.835231,1,1,0,1,1,0,,,小島、瀬戸、津居山
兵庫県,豊岡市,出石川防災センター・小野地区公民館,兵庫県豊岡市出石町袴狭380-1,35.4906327,134.870374,1,1,0,1,1,0,,,宮内、袴狭、伊豆、福居、嶋
兵庫県,豊岡市,楽々浦交流館,兵庫県豊岡市城崎町楽々浦,35.6176611,134.821338,1,1,0,1,1,0,,,楽々浦
兵庫県,豊岡市,虫生多目的集会施設,兵庫県豊岡市但東町虫生604-4,35.5087336,135.002491,1,1,0,1,1,0,,,虫生
兵庫県,豊岡市,小島区会館,兵庫県豊岡市小島854-1,35.6427056,134.824335,1,1,0,1,1,0,,,小島、瀬戸、津居山
兵庫県,豊岡市,坂津転作研修センター,兵庫県豊岡市但東町坂津272-1,35.47345,134.999884,1,1,0,1,1,0,,,坂津
兵庫県,豊岡市,河本多目的集会所,兵庫県豊岡市但東町河本854,35.4398817,134.947449,1,1,0,1,1,0,,,河本、西谷
兵庫県,豊岡市,高齢者生活支援センターのぞみ,兵庫県豊岡市但東町畑山199-5,35.488075,134.993511,1,1,0,1,1,0,,,畑山
