都道府県,市区町村,避難所名,住所,緯度,経度,避難所,一時避難所,広域避難所,地震,風水害,津波,収容人数,備蓄品,備考
青森県,八戸市,南浜中学校,青森県八戸市大字鮫町字子猪越15-2,40.496423,141.623168,1,0,0,-,-,-,,毛布,標高20.0m
青森県,八戸市,白銀南小学校,青森県八戸市大字大久保字鷹待場38-2,40.512119,141.555984,1,0,0,-,-,-,,,標高41.2m
青森県,八戸市,金浜小学校,青森県八戸市大字金浜字外ノ久保43-3,40.477182,141.619992,1,0,0,-,-,-,,毛布,標高65.7m
青森県,八戸市,泉清水集会所,青森県八戸市南郷区大字泉清水字浜渡45-16,40.374368,141.391229,1,0,0,-,-,-,,,標高220.0m
青森県,八戸市,南浜公民館,青森県八戸市大字鮫町字棚久保14-48,40.506282,141.609811,1,0,0,-,-,-,,毛布,標高14.6m
青森県,八戸市,大館公民館,青森県八戸市大字新井田字常光田17-1,40.496081,141.52251,1,0,0,-,-,-,,毛布,標高18.4m
青森県,八戸市,鳩田小学校,青森県八戸市南郷区大字大森字鳩田向14,40.383285,141.407685,1,0,0,-,-,-,,,標高233.0m
青森県,八戸市,根岸公民館,青森県八戸市高州2-23-19,40.540148,141.483656,1,0,0,-,-,-,,毛布,標高4.1m
青森県,八戸市,中沢中学校,青森県八戸市南郷区大字市野沢字黄檗7,40.399379,141.436357,1,0,0,-,-,-,,,標高220.0m
青森県,八戸市,市野沢小学校,青森県八戸市南郷区大字市野沢字石窪32-10,40.404101,141.439641,1,0,0,-,-,-,,,標高228.0m
青森県,八戸市,江陽小学校,青森県八戸市江陽5-9-24,40.521727,141.510773,1,0,0,-,-,-,,非常食・保存水・毛布,標高3.3m
青森県,八戸市,福祉体育館,青森県八戸市類家4-3-1,40.507661,141.505934,1,0,0,-,-,-,,,標高4.5m
青森県,八戸市,種差小学校,青森県八戸市大字鮫町字赤コウ55-59,40.513709,141.603642,1,0,0,-,-,-,,毛布,標高34.4m
青森県,八戸市,日計ヶ丘小学校,青森県八戸市大字河原木字日計上11-1,40.546173,141.47732,1,0,0,-,-,-,,毛布,標高34.3m
青森県,八戸市,轟木小学校,青森県八戸市大字市川町字和野22-4,40.576021,141.432066,1,0,0,-,-,-,,,標高7.7m
青森県,八戸市,根城コミュニティセンター,青森県八戸市売市4-7-6,40.512013,141.472052,1,0,0,-,-,-,,,標高19.9m
青森県,八戸市,白山台公民館,青森県八戸市北白山台5-2-5,40.485433,141.462941,1,0,0,-,-,-,,毛布,標高85.9m
青森県,八戸市,鮫公民館,青森県八戸市大字鮫町字住吉町14-1,40.53029,141.557727,1,0,0,-,-,-,,毛布,標高16.2m
