都道府県,市区町村,避難所名,住所,緯度,経度,避難所,一時避難所,広域避難所,地震,風水害,津波,収容人数,備蓄品,備考
和歌山県,東牟婁郡串本町,矢ノ熊谷 （屋外避難場所　),串本町串本,33.47538617,135.7803217,0,1,0,0,0,1,,,避難種別（屋外避難場所　）津波避難目標地点
和歌山県,和歌山市,貴志中学校 （避難所　屋内避難場所　屋外避難場所　),和歌山市梅原579-2,34.2677535,135.1434851,1,1,0,1,1,1,2384 人,備蓄有り（アルファ化米・乾パン・飲料水・アルミ寝袋・トイレ処理セット・ブルーシート・緊急対応型ラジオ)　,避難種別（避難所　屋内避難場所　屋外避難場所　）
和歌山県,日高郡日高町,高家集会所(南) （避難所　),日高町大字高家1031-4,33.91792174,135.1412264,1,0,0,1,1,1,17 人,,避難種別（避難所　）
和歌山県,日高郡日高川町,中津中学校 （避難所　屋内避難場所　屋外避難場所　),日高川町大字三佐26,33.930031,135.31121,1,1,0,1,1,0,1417 人,備蓄有り（発電機・投光器・毛布)　発電機有り,避難種別（避難所　屋内避難場所　屋外避難場所　）
和歌山県,伊都郡かつらぎ町,和歌山県農業大学校 （避難所　屋内避難場所　屋外避難場所　広域避難場所　),かつらぎ町大字中飯降422,34.3082385,135.5290128,1,1,1,1,1,0,50 人,,避難種別（避難所　屋内避難場所　屋外避難場所　広域避難場所　）
和歌山県,東牟婁郡串本町,又射谷 （屋外避難場所　),串本町二色,33.48412,135.766057,0,1,0,0,0,1,,,避難種別（屋外避難場所　）津波避難目標地点
和歌山県,伊都郡かつらぎ町,広口生活改善センター （避難所　屋内避難場所　),かつらぎ町大字広口476,34.31692944,135.4721471,1,1,0,1,1,0,60 人,,避難種別（避難所　屋内避難場所　）
和歌山県,有田郡広川町,池ノ上区集会所 （避難所　屋内避難場所　),広川町大字山本924-17,34.013955,135.166461,1,1,0,1,1,0,30 人,,避難種別（避難所　屋内避難場所　）
和歌山県,有田市,奥地区高台Ａ （屋外避難場所　),有田市初島町　里,34.10068861,135.1344344,0,1,0,0,0,1,,,避難種別（屋外避難場所　）
和歌山県,新宮市,東集会所 （避難所　屋内避難場所　),新宮市熊野川町　東35-2,33.7493271,135.8501819,1,1,0,0,1,0,30 人,備蓄有り（毛布、アルファ米　など)　,避難種別（避難所　屋内避難場所　）
和歌山県,東牟婁郡串本町,六勝寺 （避難所　屋内避難場所　),串本町古田197,33.5298078,135.8116126,1,1,0,1,1,1,25 人,備蓄有り（アルファ米、保存水、毛布)　,避難種別（避難所　屋内避難場所　）津波避難目標地点
和歌山県,田辺市,鳥の巣集会所裏高台 （屋外避難場所　),田辺市新庄町,33.70026667,135.3821417,0,1,0,0,0,1,,,避難種別（屋外避難場所　）
和歌山県,東牟婁郡那智勝浦町,那智中学校 （避難所　屋内避難場所　屋外避難場所　),那智勝浦町大字天満1693,33.6384688,135.9312448,1,1,0,0,1,1,1675 人,備蓄有り（毛布、発電機、投光器、缶詰パン、飲料水)　発電機有り,避難種別（避難所　屋内避難場所　屋外避難場所　）（津波）屋上含む
和歌山県,田辺市,闘?神社裏高台 （屋外避難場所　),田辺市東陽1-1,33.72981272,135.3843226,0,1,0,0,0,1,,,避難種別（屋外避難場所　）
和歌山県,日高郡日高川町,浅間集会所 （避難所　屋内避難場所　),日高川町大字浅間54,33.968376,135.367584,1,1,0,0,1,0,22 人,,避難種別（避難所　屋内避難場所　）
和歌山県,東牟婁郡那智勝浦町,籠ふるさと塾 （避難所　屋内避難場所　),那智勝浦町大字田垣内2095,33.6656582,135.8320005,1,1,0,0,1,0,217 人,備蓄有り（毛布)　,避難種別（避難所　屋内避難場所　）
和歌山県,和歌山市,口須佐公園 （屋外避難場所　),和歌山市口須佐51-4,34.2049237,135.2473178,0,1,0,1,0,1,,,避難種別（屋外避難場所　）
和歌山県,伊都郡九度山町,梨の木コミュニティセンター （避難所　屋内避難場所　),九度山町大字河根384-26,34.2807429,135.573098,1,1,0,1,1,0,9 人,,避難種別（避難所　屋内避難場所　）
和歌山県,田辺市,熊野川集会所 （避難所　屋内避難場所　),田辺市中辺路町　熊野川55,33.8063053,135.4956839,1,1,0,1,1,0,6 人,備蓄有り（発電機など)　発電機有り,避難種別（避難所　屋内避難場所　）
和歌山県,田辺市,三四六方面（和歌山トヨタ付近） （屋外避難場所　),田辺市上の山１丁目,33.7377092,135.366499,0,1,0,0,0,1,,,避難種別（屋外避難場所　）
和歌山県,有田市,下中島配水池付近 （屋外避難場所　),有田市宮原町滝,34.08477406,135.1616728,0,1,0,0,0,1,,,避難種別（屋外避難場所　）
和歌山県,田辺市,豊秋津神社 （避難所　屋内避難場所　),田辺市秋津町1554,33.751867,135.3930431,1,1,0,0,1,1,12 人,,避難種別（避難所　屋内避難場所　）
和歌山県,西牟婁郡白浜町,市江区民会館 （避難所　屋内避難場所　),白浜町日置1446,33.590135,135.405783,1,1,0,0,1,0,16 人,備蓄有り（簡易トイレセット・発電機セット、ハロゲン投光機セット)　発電機有り,避難種別（避難所　屋内避難場所　）
和歌山県,紀の川市,名手小学校（体育館） （避難所　屋内避難場所　),紀の川市名手西野328,34.2708709,135.433309,1,1,0,1,1,1,590 人,,避難種別（避難所　屋内避難場所　）
和歌山県,日高郡日高町,柏コミュニティセンター （避難所　),日高町大字志賀3887-1,33.9467915,135.095022,1,0,0,1,1,0,18 人,,避難種別（避難所　）
和歌山県,有田郡広川町,広川町役場３階 （避難所　屋内避難場所　津波避難ビル　),広川町大字広1500,34.0302394,135.1730627,1,1,0,0,0,1,,備蓄有り（毛布、マット)　発電機有り,避難種別（避難所　屋内避難場所　津波避難ビル　）
和歌山県,日高郡みなべ町,光明寺 （避難所　屋内避難場所　),みなべ町晩稲1007,33.7867113,135.3398956,1,1,0,0,1,1,100 人,,避難種別（避難所　屋内避難場所　）
和歌山県,紀の川市,細野生活改善センター （避難所　屋内避難場所　),紀の川市桃山町　中畑108-1,34.1888369,135.422327,1,1,0,1,1,1,80 人,備蓄有り（発電機、炊飯器、組立式仮設トイレ、簡易トイレ、毛布等)　発電機有り,避難種別（避難所　屋内避難場所　）
和歌山県,海南市,横山農道周辺 （屋外避難場所　),海南市下津町　方1665-4,34.127453,135.143624,0,1,0,0,0,1,,,避難種別（屋外避難場所　）
和歌山県,伊都郡九度山町,西島コミュニティ消防センター （避難所　屋内避難場所　),九度山町大字慈尊院329-7,34.2964967,135.53773,1,1,0,1,1,0,8 人,備蓄有り（毛布、非常食)　発電機有り,避難種別（避難所　屋内避難場所　）
和歌山県,日高郡みなべ町,伏山・向山会館 （避難所　屋内避難場所　),みなべ町西岩代365-1,33.782666,135.275539,1,1,0,0,1,0,20 人,,避難種別（避難所　屋内避難場所　）
和歌山県,御坊市,名田小学校 （避難所　屋内避難場所　津波避難ビル　),御坊市名田町　野島326,33.8334517,135.179538,1,1,0,1,1,1,580 人,備蓄有り（アルファ米、乾パン、毛布、仮設トイレ、発電機、投光機他)　発電機有り,避難種別（避難所　屋内避難場所　津波避難ビル　）
和歌山県,西牟婁郡白浜町,堅田地区１５（白浜ビーチゴルフ倶楽部敷地） （屋外避難場所　),白浜町堅田2577-1,33.682986,135.380917,0,1,0,0,0,1,,,避難種別（屋外避難場所　）
和歌山県,田辺市,大塔体育館 （避難所　屋内避難場所　),田辺市鮎川2588-2,33.7271748,135.4866401,1,1,0,0,1,0,229 人,,避難種別（避難所　屋内避難場所　）
和歌山県,有田郡湯浅町,湯浅中学校グラウンド （広域避難場所　),湯浅町大字湯浅1815,34.03945,135.18403,0,0,1,1,0,0,7000 人,,避難種別（広域避難場所　）
和歌山県,田辺市,下向集会所 （避難所　屋内避難場所　),田辺市本宮町　大居3382-1,33.85070556,135.7770389,1,1,0,0,1,0,24 人,,避難種別（避難所　屋内避難場所　）
和歌山県,橋本市,市立高野口中学校 （避難所　屋内避難場所　),橋本市高野口町　名古曽1322-10,34.3221472,135.5604569,1,1,0,1,1,0,448 人,備蓄有り（仮設トイレ、避難所仕切り板、投光器、コードリール、煖房器具等)　発電機有り,避難種別（避難所　屋内避難場所　）体育館
和歌山県,東牟婁郡串本町,正覚寺 （屋外避難場所　),串本町有田520,33.4892252,135.7362142,0,1,0,1,0,0,35 人,,避難種別（屋外避難場所　）地震
和歌山県,東牟婁郡串本町,旧国道２ （屋外避難場所　),串本町田並,33.486454,135.72354,0,1,0,0,0,1,,,避難種別（屋外避難場所　）津波避難目標地点
和歌山県,田辺市,龍神ドーム （避難所　屋内避難場所　屋外避難場所　),田辺市龍神村　柳瀬-1,33.8841552,135.4710187,1,1,0,1,1,0,642 人,,避難種別（避難所　屋内避難場所　屋外避難場所　）
和歌山県,有田郡有田川町,二澤地区集会所 （避難所　屋内避難場所　),有田川町大字二澤40-1,34.0504207,135.3957097,1,1,0,0,1,0,15 人,備蓄品保管施設（２箇所）にて有り,避難種別（避難所　屋内避難場所　）
和歌山県,東牟婁郡串本町,安指平見 （屋外避難場所　),串本町和深,33.493783,135.668311,0,1,0,0,0,1,,,避難種別（屋外避難場所　）津波避難目標地点
和歌山県,田辺市,高齢者複合福祉施設たきの里 （避難所　屋内避難場所　),田辺市たきない町22-1,33.6995016,135.4008914,1,1,0,1,1,0,131 人,,避難種別（避難所　屋内避難場所　）
和歌山県,海南市,海南市下津保健福祉センター （福祉避難所),海南市下津町　上14-6,34.11644167,135.1541029,1,0,0,-,-,-,,,避難種別（福祉避難所）
和歌山県,西牟婁郡上富田町,大谷総合センター （避難所　屋内避難場所　),上富田町朝来3992-3,33.7057853,135.421482,1,1,0,1,1,0,150 人,備蓄有り（ブルーシート・毛布・トイレ他)　,避難種別（避難所　屋内避難場所　）
和歌山県,御坊市,古森区集会所 （避難所　屋内避難場所　津波避難ビル　),御坊市岩内841-2,33.894039,135.176035,1,1,0,1,1,1,25 人,備蓄有り（毛布)　,避難種別（避難所　屋内避難場所　津波避難ビル　）
和歌山県,有田市,男浦コミュニティセンター （避難所　),有田市宮崎町2469-100,34.07507763,135.1062647,1,0,0,-,-,-,150 人,,避難種別（避難所　）
和歌山県,日高郡由良町,重山登り口 （屋外避難場所　),由良町大字神谷,33.95962651,135.0889722,0,1,0,1,0,1,,,避難種別（屋外避難場所　）※津波一時避難場所
和歌山県,紀の川市,竜門小学校（体育館） （避難所　屋内避難場所　),紀の川市杉原257-1,34.2577698,135.402277,1,1,0,1,0,1,400 人,,避難種別（避難所　屋内避難場所　）
和歌山県,和歌山市,鳴神公園 （屋外避難場所　),和歌山市鳴神951,34.2327418,135.2090697,0,1,0,1,0,1,,,避難種別（屋外避難場所　）
和歌山県,海草郡紀美野町,長谷集会所 （避難所　屋内避難場所　),紀美野町長谷37-1,34.1832971,135.3166388,1,1,0,1,1,0,30 人,,避難種別（避難所　屋内避難場所　）
和歌山県,有田市,妙法寺 （屋外避難場所　),有田市新堂,34.08564042,135.1388741,0,1,0,0,0,1,,,避難種別（屋外避難場所　）
和歌山県,有田郡有田川町,杉野原活性化センター （避難所　屋内避難場所　),有田川町大字杉野原862-2,34.1179463,135.5028141,1,1,0,1,1,0,37 人,備蓄品保管施設（２箇所）にて有り,避難種別（避難所　屋内避難場所　）
和歌山県,新宮市,鴻田会館 （避難所　),新宮市新宮3701-4,33.71056942,135.9860173,1,0,0,0,1,0,210 人,備蓄有り（)　,避難種別（避難所　）
和歌山県,有田郡広川町,落合公民館 （避難所　屋内避難場所　),広川町大字上津木448-1,33.97033,135.212159,1,1,0,1,1,0,30 人,,避難種別（避難所　屋内避難場所　）
