都道府県,市区町村,避難所名,住所,緯度,経度,避難所,一時避難所,広域避難所,地震,風水害,津波,収容人数,備蓄品,備考
鳥取県,米子市,前田児童館,鳥取県米子市尾高1424-1,35.421142531188,133.40395861154,1,0,0,-,-,-,70人,,避難所
鳥取県,西伯郡大山町,人権交流センター,鳥取県西伯郡大山町茶畑1077-3,35.480307624443,133.48269064147,1,0,0,-,-,-,,,避難場所・避難所
鳥取県,倉吉市,倉吉市立河北小学校,鳥取県倉吉市海田西町1丁目130番地,35.462794713398,133.84340322131,1,0,0,1,1,1,165人,,指定避難所
鳥取県,鳥取市,若葉台体育館,鳥取県鳥取市若葉台南2丁目16-1,35.448297294668,134.26394043088,1,0,0,1,1,1,320人,,避難所
鳥取県,鳥取市,八日市公民館,鳥取県鳥取市河原町八日市179-1,35.375490931047,134.20922452368,1,0,0,1,1,1,90人,,避難所
鳥取県,鳥取市,弓河内遊園地,鳥取県鳥取市河原町弓河内144,35.385798670497,134.13783334812,-,-,-,-,-,-,,,一時避難所
鳥取県,東伯郡湯梨浜町,道の駅はわい,鳥取県東伯郡湯梨浜町宇野2343,35.494297631823,133.89046978361,-,-,-,1,1,1,,,避難場所
鳥取県,境港市,渡公民館,鳥取県境港市渡町1356-1,35.51834844613,133.2138070506,1,0,0,0,0,1,100人,,収容避難所・津波一時避難所
鳥取県,岩美郡岩美町,岩美西小学校,鳥取県岩美郡岩美町大谷2343,35.578749453135,134.29925570714,1,0,0,-,-,-,3000人,,避難所・広域避難場所
鳥取県,八頭郡八頭町,中私都保育所・園庭,鳥取県八頭郡八頭町下津黒87-10,35.419187491366,134.30877623094,1,0,0,0,1,0,110人,,広域避難所
鳥取県,日野郡日野町,菅福公会堂,鳥取県日野郡日野町上菅734,35.194146682119,133.34180961539,1,0,0,-,-,-,50人,,避難所
鳥取県,岩美郡岩美町,岩美中学校,鳥取県岩美郡岩美町浦富707,35.574295160754,134.33025339829,1,0,0,-,-,-,3730人,,避難所・広域避難場所
鳥取県,東伯郡北栄町,国坂東区公民館,鳥取県東伯郡北栄町国坂,35.48148089223,133.82958952562,1,0,0,1,1,0,36人,,一時避難所
鳥取県,米子市,東山中学校,鳥取県米子市車尾617,35.427524353888,133.35389002432,1,0,0,-,-,-,1300人,,避難場所・避難所
鳥取県,西伯郡伯耆町,伯耆ニュータウン公民館,鳥取県西伯郡伯耆町岸本,35.389318003722,133.41321945454,1,0,0,-,-,-,,,一時避難所
鳥取県,鳥取市,水根公会堂,鳥取県鳥取市河原町水根224-7,35.371887601346,134.18362776698,1,0,0,1,1,1,60人,,一時避難所・避難所
鳥取県,鳥取市,あおば地区公民館,鳥取県鳥取市国府町新町2丁目246-4,35.48056522064,134.25804012765,1,0,0,1,1,1,90人,,避難所
鳥取県,倉吉市,倉吉市関金総合文化センター（青年婦人研修室）,鳥取県倉吉市関金町大鳥居193-1,35.369613495107,133.75390373897,1,0,0,1,1,1,265人,,指定一時避難所
鳥取県,東伯郡琴浦町,古布庄地域構造改善センター,鳥取県東伯郡琴浦町古長186-1,35.428795768636,133.6650963472,1,0,0,1,1,1,72人,,一時避難所
鳥取県,鳥取市,楠根生活改善センター,鳥取県鳥取市青谷町楠根247-4,35.460172852991,133.97062135599,1,0,0,1,1,1,50人,,避難所
鳥取県,鳥取市,八日市広場（河川敷）,鳥取県鳥取市河原町八日市,35.375850907832,134.21152991326,-,-,-,-,-,-,,,一時避難所
鳥取県,倉吉市,鳥取県立倉吉総合産業高等学校,鳥取県倉吉市小田204番地5,35.460511482656,133.8325208261,1,0,0,1,1,1,357人,,指定避難所
鳥取県,日野郡日南町,新屋公会堂,鳥取県日野郡日南町新屋424-1,35.103298322381,133.18991139839,1,0,0,-,-,-,30人,,避難所
鳥取県,東伯郡湯梨浜町,園公民館,鳥取県東伯郡湯梨浜町園,35.510746926299,133.93581833161,1,0,0,0,1,0,22人,,一時避難所
鳥取県,鳥取市,水谷集会所,鳥取県鳥取市鹿野町鹿野735-1,35.454833748418,134.06518595405,1,0,0,1,1,1,40人,,避難所
鳥取県,鳥取市,国府人権福祉センター,鳥取県鳥取市国府町麻生373-3,35.469905702993,134.2845686867,1,0,0,1,1,1,120人,,一時避難所・避難所
鳥取県,鳥取市,城北小学校,鳥取県鳥取市田園町4丁目324,35.514674375887,134.22082844167,1,0,0,1,1,1,1700人,,一時避難所・避難所
鳥取県,鳥取市,河原町総合体育館,鳥取県鳥取市河原町曳田20-1,35.394446319149,134.19966740541,1,0,0,1,0,1,900人,,避難所・広域避難場所
鳥取県,鳥取市,湖東中学校,鳥取県鳥取市湖山町北6丁目323,35.52039235593,134.18220113396,1,0,0,1,1,1,2890人,,一時避難所・避難所
鳥取県,鳥取市,釜口公民館,鳥取県鳥取市河原町釜口634,35.376326057096,134.21330774936,1,0,0,1,0,1,70人,,避難所
鳥取県,鳥取市,大正地区公民館,鳥取県鳥取市古海556,35.494021132803,134.20741369065,1,0,0,1,1,1,80人,,避難所
鳥取県,八頭郡八頭町,八東地域福祉センター,鳥取県八頭郡八頭町東593-1,35.359058793495,134.32771955736,1,0,0,1,1,0,585人,,広域避難所
鳥取県,鳥取市,福部町多目的研修集会施設,鳥取県鳥取市福部町湯山57-1,35.544246748111,134.25019418006,1,0,0,1,1,1,150人,,避難所
鳥取県,米子市,東山体育館,鳥取県米子市東山町92,35.430229620801,133.34659058196,1,0,0,-,-,-,450人,,避難所
鳥取県,鳥取市,鳥取湖陵高等学校,鳥取県鳥取市湖山町北3丁目250,35.521478220033,134.1763627393,1,0,0,1,1,1,11890人,,一時避難所・避難所
鳥取県,鳥取市,みたから保育園,鳥取県鳥取市寿町501,35.50437015923,134.2261088125,1,0,0,1,1,1,180人,,避難所
鳥取県,日野郡日野町,根妻橋横,鳥取県日野郡日野町下黒坂,35.220910863397,133.40186783991,-,-,-,-,-,-,,,一時避難所
鳥取県,倉吉市,倉吉市立社保育園,鳥取県倉吉市国分寺342番地11,35.432324993965,133.79168371653,1,0,0,1,1,1,77人,,指定避難所・福祉避難所
鳥取県,八頭郡八頭町,下私都保育所・園庭,鳥取県八頭郡八頭町大坪69-1,35.42897700114,134.28461643787,1,0,0,1,1,0,110人,,広域避難所
鳥取県,八頭郡智頭町,ひまわり会館,鳥取県八頭郡智頭町智頭,35.268004741425,134.22676715771,1,0,0,1,1,0,100人,,避難場所・一時避難所
鳥取県,鳥取市,西人権福祉センター,鳥取県鳥取市西品治674,35.509205468931,134.2183538585,1,0,0,1,1,1,90人,,避難所
鳥取県,西伯郡大山町,福祉センターなかやま,鳥取県西伯郡大山町赤坂766-1,35.515349767875,133.58006452943,1,0,0,-,-,-,,,避難場所・避難所
鳥取県,鳥取市,防災広場,鳥取県鳥取市青谷町青谷,35.521375710507,133.99727489427,-,-,-,-,-,-,,,一時避難所
鳥取県,西伯郡南部町,南部中学校,鳥取県西伯郡南部町天萬583,35.371894535554,133.36394949893,1,0,0,-,-,-,300人,,避難所
鳥取県,鳥取市,田原谷公民館,鳥取県鳥取市青谷町田原谷110-2,35.471840882899,133.97672619896,1,0,0,1,1,1,20人,,避難所
鳥取県,東伯郡北栄町,青木多目的集会所,鳥取県東伯郡北栄町青木,35.476207997679,133.73074492392,1,0,0,1,1,0,20人,,一時避難所
鳥取県,鳥取市,美萩野公園,鳥取県鳥取市美萩野2丁目220,35.520148661684,134.14061176551,-,-,-,-,-,-,,,一時避難所
鳥取県,境港市,上道保育所遊戯室,鳥取県境港市中野町168,35.535297254318,133.24001307453,1,0,0,-,-,-,960人,,収容避難所
鳥取県,鳥取市,城北地区公民館,鳥取県鳥取市田園町4丁目223-1,35.514452202795,134.22085614691,1,0,0,1,1,1,120人,,避難所
鳥取県,八頭郡智頭町,山田公民館,鳥取県八頭郡智頭町三吉,35.228202014853,134.22553247406,1,0,0,1,1,0,,,避難場所
鳥取県,境港市,余子駅前公園,鳥取県境港市竹内町1513-1,35.520201179404,133.23762471739,-,-,-,-,-,-,1160人,,収容避難所
鳥取県,鳥取市,稲常公民館,鳥取県鳥取市河原町稲常334,35.421940949047,134.21268727006,1,0,0,1,0,1,20人,,避難所
鳥取県,米子市,彦名公民館,鳥取県米子市彦名町2850-2,35.452085305998,133.28721579676,1,0,0,-,-,-,155人,,避難所
鳥取県,境港市,第二中学校教室等,鳥取県境港市竹内町2438,35.520695630008,133.23103065003,1,0,0,0,0,1,5510人,,収容避難所・津波一時避難所
鳥取県,日野郡江府町,上の段広場,鳥取県日野郡江府町江尾,35.283340461446,133.48636738398,1,0,0,-,-,-,800人,,避難所
鳥取県,境港市,弥生地区緑地,鳥取県境港市弥生町21-1外,35.543422922528,133.21891364181,1,0,0,-,-,-,6130人,,収容避難所
鳥取県,境港市,市民スポーツ広場,鳥取県境港市夕日ヶ丘1丁目4133-9,35.503461490609,133.22179051097,-,-,-,-,-,-,9160人,,収容避難所
鳥取県,鳥取市,永楽公園,鳥取県鳥取市永楽温泉町568,35.493066980264,134.2307376462,-,-,-,-,-,-,,,一時避難所
鳥取県,鳥取市,福部町グラウンド,鳥取県鳥取市福部町海士340,35.545175183254,134.27845894099,-,-,-,-,-,-,,,一時避難所
鳥取県,鳥取市,三津生活改善センター,鳥取県鳥取市三津278-1,35.513136777669,134.13581960602,1,0,0,1,1,1,90人,,避難所
鳥取県,倉吉市,倉吉市営武道館,鳥取県倉吉市葵町593番地,35.428137496688,133.82816625965,1,0,0,1,1,1,242人,,指定避難所
鳥取県,鳥取市,気高人権福祉センター,鳥取県鳥取市気高町下光元478-3,35.493246415399,134.08201395147,1,0,0,1,1,1,150人,,避難所
鳥取県,東伯郡湯梨浜町,新川キャンピングセンター,鳥取県東伯郡湯梨浜町はわい長瀬2293-2,35.503057086061,133.86225130745,1,0,0,1,1,0,80人,,避難場所・避難所
鳥取県,鳥取市,小河内公民館,鳥取県鳥取市河原町小河内204-1,35.370524427904,134.14748747696,1,0,0,1,1,1,110人,,避難所
