都道府県,市区町村,避難所名,住所,緯度,経度,避難所,一時避難所,広域避難所,地震,風水害,津波,収容人数,備蓄品,備考
島根県,浜田市,交流センター門田,島根県浜田市,34.783912825333,132.1287497423,1,0,0,-,-,-,,,収容避難所
島根県,松江市,松江市市民活動センター,島根県松江市白潟本町43,35.465225948024,133.05605750096,1,0,0,1,1,1,,,避難場所・避難所
島根県,鹿足郡吉賀町,生活改善センター,島根県鹿足郡吉賀町六日市539番地4,34.353941651828,131.94062045091,1,0,0,1,0,0,30人,,避難場所
島根県,益田市,吉田小学校,島根県益田市中吉田町272,34.684743041746,131.8363120878,1,0,0,1,1,0,1500人,,避難所
島根県,雲南市,上乙多田公民館,島根県雲南市,35.250039451112,132.83077042089,1,0,0,-,-,-,,,一時避難所
島根県,益田市,益田市立老人保健施設くにさき苑,島根県益田市遠田町1956-8,34.696736990854,131.86640959871,-,-,-,-,-,-,,,福祉避難所
島根県,鹿足郡吉賀町,エコビレッジかきのきむら,島根県鹿足郡吉賀町柿木村柿木539番地2,34.439926918128,131.86824100315,1,0,0,-,-,-,300人,,避難場所
島根県,隠岐郡隠岐の島町,八王子神社,島根県隠岐郡隠岐の島町,36.318035176859,133.3114127501,1,0,0,-,-,-,,,一時避難場所・一時避難所
島根県,益田市,平原公民館,島根県益田市,34.648186697048,131.7378172471,1,0,0,0,1,0,100人,,避難所
島根県,邑智郡川本町,三谷体育館,島根県邑智郡川本町湯谷770番地1,35.009368486965,132.4477659402,1,0,0,-,-,-,,,緊急避難場所
島根県,出雲市,大津コミュニティセンター,島根県出雲市大津町1727-5,35.366899259348,132.77628116316,1,0,0,1,1,0,297人,,避難所
島根県,隠岐郡隠岐の島町,加茂農村公園,島根県隠岐郡隠岐の島町加茂480番地,36.19073147349,133.27785643308,-,-,-,-,-,-,,,一時避難場所
島根県,雲南市,舟津集会センター,島根県雲南市,35.243002537488,132.82611866266,1,0,0,-,-,-,,,一時避難所
島根県,雲南市,引那岐公会所,島根県雲南市,35.333762839802,133.04904401276,1,0,0,-,-,-,,,一時避難所
島根県,松江市,第ニ中学校,島根県松江市西川津町3402-1,35.479889404521,133.07989893558,1,0,0,1,1,1,,,避難場所・避難所
島根県,雲南市,尾崎公民館,島根県雲南市,35.339616325113,132.93787044894,1,0,0,-,-,-,,,一時避難所
島根県,隠岐郡海士町,豊田黒住教会所,島根県隠岐郡海士町,36.104768329552,133.12281299951,1,0,0,1,0,0,,,避難所開設予定場所
島根県,出雲市,伊波野コミュニティセンター,島根県出雲市富村748,35.386760875155,132.80125051506,1,0,0,1,1,0,157人,,避難所
島根県,出雲市,馬木町集会所,島根県出雲市馬木町674,35.334503098283,132.76348070936,1,0,0,0,1,0,30人,,避難所
島根県,益田市,角井公民館,島根県益田市,34.662466673736,131.81953664281,1,0,0,0,1,0,50人,,避難所
島根県,江津市,市山福祉文化センター,島根県江津市桜江町市山351番地,34.94237505216,132.31966188882,1,0,0,-,-,-,60人,,避難場所
島根県,安来市,布部保育所,島根県安来市広瀬町布部233-3,35.299314600388,133.14950118888,1,0,0,1,0,0,10人,,避難所
島根県,浜田市,竹迫5町内集会場,島根県浜田市,34.888974505753,132.08470073244,1,0,0,-,-,-,,,一時（緊急）避難所
島根県,松江市,島根中学校,島根県松江市島根町加賀1426,35.56493726232,133.06584359411,1,0,0,1,1,1,,,避難場所・避難所
島根県,飯石郡飯南町,三日市集会所,島根県飯石郡飯南町,35.036963775156,132.74229685373,1,0,0,-,-,-,,,一時避難所
島根県,雲南市,峯自治会公会所,島根県雲南市,35.280232375952,132.96220890806,1,0,0,-,-,-,,,一時避難所
島根県,隠岐郡隠岐の島町,岬町デイサービスセンター,島根県隠岐郡隠岐の島町岬町中の津の四302番地,36.18736353176,133.33487168316,1,0,0,-,-,-,,,特定指定避難場所・一時避難所
島根県,出雲市,稗原小学校,島根県出雲市稗原町2825,35.306534081212,132.80568239726,1,0,0,1,1,0,457人,,避難場所・避難所
島根県,益田市,櫛代賀姫神社,島根県益田市,34.701262071781,131.83999660367,1,0,0,0,1,0,50人,,避難所
島根県,出雲市,小山南児童公園,島根県出雲市小山町,35.371646269833,132.74270487769,-,-,-,1,0,0,600人,,避難場所
島根県,隠岐郡隠岐の島町,前の原集会所,島根県隠岐郡隠岐の島町,36.232794021324,133.29591387682,1,0,0,-,-,-,,,一時避難所
島根県,隠岐郡隠岐の島町,国民保養センター隠岐の島運動場,島根県隠岐郡隠岐の島町卯敷999番地,36.279066816193,133.36551685909,1,0,0,-,-,-,,,一時避難場所・一時避難所・広域避難場所
島根県,浜田市,安國禅寺,島根県浜田市,34.92499061157,132.12299834674,1,0,0,-,-,-,,,一時（緊急）避難所
島根県,浜田市,市木生活改善センター,島根県浜田市旭町市木2919-2,34.839289682234,132.36432798031,1,0,0,-,-,-,,,収容避難所・初動開所避難所
島根県,隠岐郡海士町,諏訪苑,島根県隠岐郡海士町大字海士3964番地,36.098215115859,133.09297520606,1,0,0,1,1,0,50人,,避難所開設予定場所
島根県,鹿足郡吉賀町,星坂地区集会所,島根県鹿足郡吉賀町田野原681番地2,34.367183857828,132.00869299716,1,0,0,-,-,-,20人,,避難場所
島根県,益田市,高津児童館,島根県益田市高津5-9-45,34.685606497206,131.82188009421,1,0,0,1,1,0,100人,,避難所
島根県,飯石郡飯南町,中通生活研修センター,島根県飯石郡飯南町,35.010584269471,132.71467746892,1,0,0,-,-,-,,,一時避難所
島根県,松江市,八束中学校,島根県松江市八束町波入2508,35.495200390725,133.1747204937,1,0,0,0,1,1,,,避難場所・避難所
島根県,隠岐郡隠岐の島町,出雲結集会所,島根県隠岐郡隠岐の島町,36.209828331242,133.32864685099,1,0,0,-,-,-,,,一時避難所
島根県,益田市,久々茂総八幡宮,島根県益田市,34.665449108669,131.89780754376,1,0,0,0,1,0,150人,,避難所
島根県,江津市,福応寺,島根県江津市市山町403,34.93672878226,132.32306860545,1,0,0,-,-,-,100人,,避難場所
島根県,出雲市,平成スポーツ公園（平成温泉）,島根県出雲市平成町2320-13,35.316436878257,132.71160905409,1,0,0,1,1,0,142人,,避難所
島根県,益田市,山ノ平集会所,島根県益田市,34.681915136036,131.85536946365,1,0,0,0,1,0,,,避難所
島根県,出雲市,北本町中央公園,島根県出雲市今市町北本町3-1-5,35.368551422784,132.75970546924,-,-,-,1,0,0,2000人,,避難場所
