都道府県,市区町村,避難所名,住所,緯度,経度,避難所,一時避難所,広域避難所,地震,風水害,津波,収容人数,備蓄品,備考
岡山県,井原市,井原リフレッシュ公園（静のゾーン）,岡山県井原市下出部町1176-1,34.5816227,133.444345,1,0,0,-,-,-,,,
岡山県,井原市,亀迫城山公園,岡山県井原市西江原町409-5,34.6053987,133.491868,1,0,0,-,-,-,,,
岡山県,井原市,美星農村環境改善センター,岡山県井原市美星町西水砂2474-1,34.6728803,133.533422,1,0,0,-,-,-,,,
岡山県,井原市,葡萄浪漫館,岡山県井原市青野町3535-3,34.6250419,133.478192,1,0,0,-,-,-,,,
岡山県,井原市,井原小学校,岡山県井原市井原町1113,34.603587,133.46166,1,0,0,-,-,-,,,
岡山県,井原市,冨士ベークライト?芳井工場 ２階食堂,岡山県井原市芳井町与井200,34.6239418,133.439552,1,0,0,-,-,-,,,
岡山県,井原市,芳井公民館明治分館,岡山県井原市芳井町種603-3,34.6712309,133.455128,1,0,0,-,-,-,,,
岡山県,井原市,井原中学校,岡山県井原市西江原町2000,34.6037818,133.47098,1,0,0,-,-,-,,,
岡山県,井原市,井原市地場産業振興センター,岡山県井原市七日市町10,34.5960698,133.467882,1,0,0,-,-,-,,,
岡山県,井原市,西江原公民館,岡山県井原市西江原町1414,34.6004733,133.486318,1,0,0,-,-,-,,,
岡山県,井原市,田中苑,岡山県井原市井原町326,34.598713,133.464191,1,0,0,-,-,-,,,
岡山県,井原市,芳井公民館共和分館,岡山県井原市芳井町下鴫2546,34.6860591,133.407314,1,0,0,-,-,-,,,
岡山県,井原市,芳井公民館,岡山県井原市芳井町吉井4103-1,34.6291933,133.432906,1,0,0,-,-,-,,,
岡山県,井原市,田渕公園,岡山県井原市笹賀町二丁目101-1,34.5902539,133.442543,1,0,0,-,-,-,,,
岡山県,井原市,星の郷ふれあいセンター,岡山県井原市美星町星田2-10,34.6759393,133.530212,1,0,0,-,-,-,,,
岡山県,井原市,井原高等学校（北校地）,岡山県井原市井原町1802,34.6042487,133.456538,1,0,0,-,-,-,,,
