都道府県,市区町村,避難所名,住所,緯度,経度,避難所,一時避難所,広域避難所,地震,風水害,津波,収容人数,備蓄品,備考
山口県,柳井市,黒島会館,山口県柳井市伊保庄3500-1地先,33.938527,132.12516,1,0,0,-,-,-,50人,,
山口県,柳井市,柳井中学校,山口県柳井市柳井4155,33.9746242,132.106004,1,0,0,-,-,-,1000人,,
山口県,柳井市,小田小学校,山口県柳井市伊保庄4583-1,33.951895,132.117521,1,0,0,-,-,-,300人,,
山口県,柳井市,西福祉センター,山口県柳井市柳井4823-2,33.9751354,132.09944,1,0,0,-,-,-,180人,,
山口県,柳井市,余田小学校グラウンド,山口県柳井市余田1419,33.9712694,132.068956,0,1,0,-,-,-,,,
山口県,柳井市,バタフライアリーナ(柳井市体育館）,山口県柳井市柳井3714-3,33.9705959,132.106014,1,0,0,-,-,-,1000人,,指定管理事業者((株)ビークルーエッセ)
山口県,柳井市,平郡漁村センター,山口県柳井市平郡2429-5,33.77822,132.26294,1,0,0,-,-,-,150人,,民間所有
山口県,柳井市,岡ノ上公園,山口県柳井市姫田,33.9706423,132.113476,0,1,0,-,-,-,,,
山口県,柳井市,柳井南中学校駐車場,山口県柳井市伊保庄3485-1,33.937995,132.123304,0,1,0,-,-,-,,,
山口県,柳井市,宇積公会堂,山口県柳井市阿月1018,33.891383,132.126853,1,0,0,-,-,-,30人,,民間所有
山口県,柳井市,阿月公民館,山口県柳井市阿月1748-2,33.902343,132.127738,1,0,0,-,-,-,100人,,
山口県,柳井市,伊陸公民館,山口県柳井市伊陸5874-1,34.028864,132.10937,1,0,0,-,-,-,100人,,
山口県,柳井市,サンビームやない,山口県柳井市柳井3670-1,33.9712044,132.110282,1,0,0,-,-,-,500人,,
山口県,柳井市,南すおう農協本所,山口県柳井市中央3-16-1,33.9679627,132.104234,1,0,0,-,-,-,120人,,民間所有※他に収容場所がない場合
山口県,柳井市,尾林公会堂,山口県柳井市余田1224-1,33.961491,132.067981,1,0,0,-,-,-,20人,,民間所有
山口県,柳井市,瑞相寺,山口県柳井市柳井津308,33.967084,132.111711,1,0,0,-,-,-,150人,,民間所有
山口県,柳井市,新庄公民館,山口県柳井市新庄327-1,33.97167,132.088596,1,0,0,-,-,-,100人,,
山口県,柳井市,柳井中学校グラウンド,山口県柳井市柳井4155,33.9745191,132.104555,0,1,0,-,-,-,,,
山口県,柳井市,農業担い手センター,山口県柳井市南町6-12-4,33.9618886,132.098615,1,0,0,-,-,-,100人,,
山口県,柳井市,柳井小学校,山口県柳井市柳井3680-4,33.9708674,132.108389,1,0,0,-,-,-,1000人,,
山口県,柳井市,旧平郡東中学校グラウンド,山口県柳井市平郡,33.783075,132.255116,0,1,0,-,-,-,,,
山口県,柳井市,柳井市文化福祉会館,山口県柳井市柳井3718,33.970924,132.105545,1,0,0,-,-,-,300人,,指定管理事業者((株)ビークルーエッセ)
山口県,柳井市,大畠グラウンド,山口県柳井市神代1676,33.9663906,132.183749,0,1,0,-,-,-,,,
山口県,柳井市,旧神西小学校,山口県柳井市神代4110,33.967722,132.18949,1,0,0,-,-,-,200人,,
山口県,柳井市,高山寺,山口県柳井市伊陸5324,34.038949,132.112897,1,0,0,-,-,-,100人,,民間所有
山口県,柳井市,柳井西中学校グラウンド,山口県柳井市余田2111,33.9762386,132.076644,0,1,0,-,-,-,,,
山口県,柳井市,柳井市体育館駐車場,山口県柳井市柳井3714-3,33.9702751,132.106235,0,1,0,-,-,-,,,
山口県,柳井市,遠崎地区学習等供用会館,山口県柳井市遠崎318-1,33.956696,132.143238,1,0,0,-,-,-,50人,,
