都道府県,市区町村,避難所名,住所,緯度,経度,避難所,一時避難所,広域避難所,地震,風水害,津波,収容人数,備蓄品,備考
徳島県,阿南市,那賀川中学校,徳島県阿南市那賀川町苅屋370-1,33.948887759788,134.6623536026,1,0,0,0,0,1,8370人,,広域・一次避難所・二次避難施設・津波避難ビル
徳島県,美馬市,井口集会所,徳島県美馬市脇町字井口402番地1,34.06888983878,134.10484811179,-,-,-,-,-,-,,,一時避難場所
徳島県,小松島市,小松島高等学校,徳島県小松島市日開野町字高須47-1,34.004399375022,134.58720512389,1,0,0,0,0,1,500人,,津波避難ビル・指定避難所
徳島県,小松島市,櫛渕教育集会所,徳島県小松島市櫛渕町字関免5番地の5,33.954760176458,134.5852653437,1,0,0,-,-,-,22人,,指定避難所
徳島県,那賀郡那賀町,那賀高等学校,徳島県那賀郡那賀町那賀町小仁宇大坪179-1,33.857570568506,134.48150117811,1,0,0,1,0,0,350人,,避難所
徳島県,美馬市,中山路北集会所,徳島県美馬市美馬町字願勝寺10番地18,34.051677387932,134.05921290314,-,-,-,-,-,-,,,一時避難場所
徳島県,阿南市,湯あそびひろば大和の郷,徳島県阿南市,33.916340429112,134.65528778847,-,-,-,-,-,-,1650人,,緊急避難場所
徳島県,那賀郡那賀町,平野コミュニティ（旧平野小）,徳島県那賀郡那賀町平野字妙見前1番地1,33.837169847523,134.45200026937,1,0,0,1,0,0,200人,,避難所
徳島県,徳島市,学校法人生光学園学生寮B棟,徳島県徳島市応神町吉成字前須29番地,34.108720296186,134.53252778262,-,-,-,0,0,1,218人,,津波避難ビル
徳島県,鳴門市,デイサービスセンターほほえみ,徳島県鳴門市撫養町立岩字五枚220-1,34.163749664754,134.6205125853,-,-,-,-,-,-,5人,,福祉避難所
徳島県,徳島市,スカイコート鈴江,徳島県徳島市出来島本町3丁目45番地,34.079484900828,134.54484102306,-,-,-,0,0,1,145人,,津波避難ビル
徳島県,美馬市,穴吹林業総合センター,徳島県美馬市穴吹町三島字三谷302-5,34.055313429514,134.13532008583,1,0,0,-,-,-,251人,,指定避難所
徳島県,美馬郡つるぎ町,小野コミュニテイーセンター,徳島県美馬郡つるぎ町小野91-1,34.03914669696,134.03385119704,1,0,0,-,-,-,50人,,避難予定場所
徳島県,那賀郡那賀町,西宇集会施設,徳島県那賀郡那賀町木頭西宇字森廻り8番地,33.772774368688,134.17945861093,1,0,0,-,-,-,80人,,避難所
徳島県,名西郡石井町,公民館高原分館,徳島県名西郡石井町高原字東高原223-1,34.084046661294,134.42177521906,1,0,0,-,-,-,,,指定避難場所
徳島県,海部郡美波町,木岐奥公民館上広場,徳島県海部郡美波町,33.768040497597,134.56414952545,-,-,-,0,0,1,,,指定緊急避難場所
徳島県,徳島市,シャルム大和,徳島県徳島市大和町二丁目2番78号,34.067805996387,134.57172784727,-,-,-,0,0,1,42人,,津波避難ビル
