都道府県,市区町村,避難所名,住所,緯度,経度,避難所,一時避難所,広域避難所,地震,風水害,津波,収容人数,備蓄品,備考
香川県,丸亀市,栗熊保育所,香川県丸亀市栗熊東271,34.237447685352,133.88382587417,1,0,0,-,-,-,,,避難所
香川県,丸亀市,綾歌中学校,香川県丸亀市綾歌町栗熊東431,34.236581096812,133.88329673174,1,0,0,-,-,-,,,避難所
香川県,三豊市,大野地公民館,香川県三豊市財田町財田中4026-4,34.111862707395,133.76399132759,1,0,0,-,-,-,,,避難所
香川県,丸亀市,あやうた幼稚園,香川県丸亀市綾歌町岡田東1150,34.235714655893,133.86933392601,1,0,0,-,-,-,,,避難所
香川県,小豆郡土庄町,屋形崎公民館,香川県小豆郡土庄町屋形崎,34.527581602057,134.22316039563,1,0,0,-,-,-,,,避難所
香川県,丸亀市,綾歌総合文化会館,香川県丸亀市綾歌町栗熊西1680番地,34.231390113161,133.8786833772,1,0,0,-,-,-,,,避難所
香川県,丸亀市,オークラホテル丸亀,香川県丸亀市富士見町3丁目3番50号,34.306800871398,133.79519922913,-,-,-,0,0,1,,,津波避難ビル
香川県,観音寺市,豊浜南部集会所,香川県観音寺市豊浜町和田甲493番地1,34.067587772401,133.64757833644,1,0,0,-,-,-,,,避難所
香川県,坂出市,旧西部小学校体育館,香川県坂出市白金町1丁目3番7号,34.313907896498,133.84659390072,1,0,0,-,-,-,,,避難所
香川県,綾歌郡綾川町,昭和小学校,香川県綾歌郡綾川町畑田2373-1,34.247295857234,133.97927651966,1,0,0,-,-,-,,,避難所
香川県,仲多度郡まんのう町,琴南公民館,香川県仲多度郡まんのう町中通875番地,34.141886951275,133.96022034919,1,0,0,-,-,-,,,避難所
香川県,坂出市,加茂小学校,香川県坂出市加茂町1099,34.311600855508,133.90921755906,1,0,0,-,-,-,,,避難所
香川県,善通寺市,西中学校,香川県善通寺市文京町4-1-1,34.223332671718,133.78044973719,1,0,0,-,-,-,,,避難所
香川県,小豆郡土庄町,旭屋旅館,香川県小豆郡土庄町土庄甲,34.488957143275,134.1748577415,1,0,0,-,-,-,,,避難所
香川県,丸亀市,山根文化センター,香川県丸亀市本島町笠島100番地2,34.389166574363,133.78528012521,1,0,0,-,-,-,,,避難所
香川県,小豆郡小豆島町,蒲生公民館,香川県小豆郡小豆島町蒲生甲1805番地1,34.483488334091,134.21082431667,1,0,0,-,-,-,,,避難所
香川県,小豆郡土庄町,土庄八幡神社,香川県小豆郡土庄町大木戸,34.485027638572,134.17040196398,1,0,0,-,-,-,,,避難所
香川県,さぬき市,椿の庄さんがわ,香川県さぬき市寒川町石田東甲,34.261324134677,134.21299912857,1,0,0,-,-,-,,,避難所
香川県,丸亀市,丸亀魚市場,香川県丸亀市港町307番地,34.298835106842,133.79377462683,-,-,-,0,0,1,,,津波避難ビル
香川県,観音寺市,豊田小学校,香川県観音寺市新田町1413,34.10980678966,133.70274457678,1,0,0,-,-,-,,,避難所
香川県,東かがわ市,誉水公民館,香川県東かがわ市中筋470番地,34.242109340597,134.32200166596,1,0,0,-,-,-,,,避難所
香川県,小豆郡土庄町,勤労者体育館,香川県小豆郡土庄町淵崎甲2113-5,34.486899390118,134.19328893483,1,0,0,-,-,-,,,避難所
香川県,丸亀市,城坤幼稚園,香川県丸亀市今津町278,34.277140357926,133.78310691012,1,0,0,-,-,-,,,避難所
香川県,小豆郡小豆島町,池田中学校修道館,香川県小豆郡小豆島町池田,34.483051926071,134.2345302871,1,0,0,-,-,-,,,避難所
香川県,綾歌郡綾川町,昭和北保育所,香川県綾歌郡綾川町畑田671-3,34.262972528957,133.98048804629,1,0,0,-,-,-,,,避難所
香川県,小豆郡小豆島町,安養寺,香川県小豆郡小豆島町西村,34.476075342318,134.28740056907,1,0,0,-,-,-,,,避難所
香川県,綾歌郡宇多津町,保健センター,香川県綾歌郡宇多津町1881番地,34.310572611505,133.8253817232,1,0,0,-,-,-,,,避難所
香川県,丸亀市,飯山中学校,香川県丸亀市飯山町川原1110,34.264153058799,133.86246142557,1,0,0,-,-,-,,,避難所
香川県,丸亀市,綾歌保健福祉センター,香川県丸亀市綾歌町栗熊西782番地,34.226215708119,133.8822194177,1,0,0,-,-,-,,,避難所
香川県,小豆郡小豆島町,小豆島町役場内海庁舎,香川県小豆郡小豆島町安田,34.478405471021,134.31459044819,1,0,0,-,-,-,,,避難所
香川県,小豆郡小豆島町,小森徹幸宅,香川県小豆郡小豆島町坂手,34.451378106944,134.33540121821,1,0,0,-,-,-,,,避難所
香川県,丸亀市,城南保育所,香川県丸亀市山北町261,34.270321744098,133.7988916635,1,0,0,-,-,-,,,避難所
香川県,三豊市,神田小学校,香川県三豊市山本町神田1259,34.142042485835,133.77015926863,1,0,0,-,-,-,,,避難所
香川県,丸亀市,飯山北幼稚園,香川県丸亀市飯山町東坂元1667,34.267258268554,133.85597847459,1,0,0,-,-,-,,,避難所
香川県,綾歌郡宇多津町,宇多津幼稚園,香川県綾歌郡宇多津町815,34.303155100617,133.83712801933,1,0,0,-,-,-,,,避難所
香川県,東かがわ市,とらまる公園キャンプ場,香川県東かがわ市西村,34.240839264342,134.31507818831,1,0,0,-,-,-,,,避難所
香川県,三豊市,仁尾中学校,香川県三豊市仁尾町仁尾辛38-2,34.195451577744,133.6453115253,1,0,0,-,-,-,,,避難所
香川県,三豊市,荘内自然休養村センター,香川県三豊市詫間町大浜甲1891-1,34.233955668994,133.60905557315,1,0,0,-,-,-,,,避難所
香川県,小豆郡土庄町,鹿島いこいの家,香川県小豆郡土庄町鹿島,34.473999099341,134.17035144099,1,0,0,-,-,-,,,避難所
