都道府県,市区町村,避難所名,住所,緯度,経度,避難所,一時避難所,広域避難所,地震,風水害,津波,収容人数,備蓄品,備考
高知県,高知市,筆山公園,高知市小石木町･大原町,33.5515,133.5367,0,0,1,1,0,1,,,指定緊急避難場所
高知県,高知市,高齢者多機能施設てくたね,高知市種崎593-1,33.505461,133.567853,0,1,0,0,0,1,,,津波避難ビル
高知県,高知市,土佐塾上町教室,高知市上町1丁目3-15,33.558214,133.525215,0,1,0,0,0,1,,,津波避難ビル
高知県,高知市,長浜ふれあいセンター,高知市長浜690-5,33.5025,133.5452,1,0,0,1,1,0,69人,,指定避難所
高知県,高知市,県立障害者スポーツセンター,高知市春野町内ノ谷1-1,33.5015685,133.5249171,1,0,0,1,1,0,1066人,,指定避難所
高知県,高知市,南部健康福祉センター,高知市百石町3丁目1-30,33.5450,133.5481,1,0,0,1,1,0,1433人,,指定避難所
高知県,高知市,戸口商会,高知市南ﾉ丸町41,33.541514,133.548692,0,1,0,0,0,1,,,津波避難ビル
高知県,高知市,高知西高等学校,高知市鴨部2丁目5-70,33.5504,133.5016,1,1,0,1,1,1,1619人,,指定避難所，津波避難ビル
高知県,高知市,セントラルディーボ一宮店,高知市薊野南町27-28,33.5782,133.5622,0,1,0,0,0,1,,,津波避難ビル
高知県,高知市,中央卸売市場,高知市弘化台12-12,33.5454,133.5642,1,0,0,1,1,0,40人,,指定避難所
高知県,高知市,城西館　千寿館,高知市上町2丁目5-34,33.557062,133.524351,0,1,0,0,0,1,,,津波避難ビル
高知県,高知市,マルハン高知一宮店,高知市一宮南町1丁目11-11,33.57963261,133.563146,0,1,0,0,0,1,,,津波避難ビル
高知県,高知市,カーサローズヴェール,高知市高須3丁目1-59,33.562799,133.587693,0,1,0,0,0,1,,,津波避難ビル
高知県,高知市,コーポ田中２号館,高知市葛島4丁目10-8,33.553342,133.572228,0,1,0,0,0,1,,,津波避難ビル
高知県,高知市,瀬戸公園,高知市横浜新町5-33,33.5142,133.5401,0,0,1,1,0,1,,,指定緊急避難場所
高知県,高知市,土佐山小学校,高知市土佐山桑尾27,33.6333,133.5270,1,0,0,0,1,0,726人,,指定避難所
高知県,高知市,クレアフジモト,高知市天神町14-23,33.553927,133.538406,0,1,0,0,0,1,,,津波避難ビル
高知県,高知市,セレクト高須,高知市高須2丁目13-21,33.561049,133.586199,0,1,0,0,0,1,,,津波避難ビル
高知県,高知市,長浜小学校,高知市長浜4811,33.4997,133.5467,1,1,0,1,1,1,1794人,,指定避難所，津波避難ビル
高知県,高知市,小高坂市民会館,高知市山ノ端町32-5,33.5610,133.5183,1,0,0,1,1,0,282人,,指定避難所
高知県,高知市,北竹島町市営住宅１号棟,高知市北竹島町29-1,33.5455,133.5390,0,1,0,0,0,1,,,津波避難ビル
高知県,高知市,朝倉中学校,高知市朝倉丁604-1,33.5440,133.4802,1,0,0,1,1,0,1625人,,指定避難所
高知県,高知市,高知県教育センター,高知市大津乙181,33.5698,133.6020,1,0,0,1,1,0,202人,,指定避難所
高知県,高知市,下知コミュニティセンター,高知市二葉町10-7,33.55675625,133.5568964,1,1,0,1,1,1,152人,,指定避難所，津波避難ビル
高知県,高知市,ビ・ウェル相模公園WEST,高知市相模町17-14,33.5705999,133.5321504,0,1,0,0,0,1,,,津波避難ビル
高知県,高知市,春野公民館芳原分館,高知市春野町芳原784-1,33.5076587,133.5098346,1,0,0,1,1,0,166人,,指定避難所
高知県,高知市,マイセル高須,高知市葛島1丁目10-68,33.558858,133.573503,0,1,0,0,0,1,,,津波避難ビル
高知県,高知市,朝倉小学校,高知市朝倉本町2-11-20,33.5470,133.4868,1,0,0,1,1,0,2071人,,指定避難所
高知県,高知市,沖田公園,高知市朝倉甲201-1,33.5410,133.4988,0,0,1,1,0,0,,,指定緊急避難場所
高知県,高知市,潮江市民会館,高知市南河ノ瀬町161,33.5475,133.5237,1,0,0,0,1,0,134人,,指定避難所
高知県,高知市,十津小学校,高知市十津4丁目27-1,33.5294,133.5778,1,0,0,1,1,0,1490人,,指定避難所
高知県,高知市,西部健康福祉センター,高知市鴨部860-1,33.5439,133.5033,1,0,0,1,1,0,414人,,指定避難所
高知県,高知市,高見屋クリーニング,高知市高須東町19-33,33.558775,133.595503,0,1,0,0,0,1,,,津波避難ビル
高知県,高知市,高知大学,高知市曙町2-5-1,33.5499,133.4872,1,0,0,1,1,0,773人,,指定避難所
高知県,高知市,春野西小学校,高知市春野町弘岡中2501,33.4976,133.4618,1,0,0,1,1,0,1316人,,指定避難所
高知県,高知市,春野中学校,高知市春野町西分328,33.5022,133.4896,1,1,0,1,1,1,2039人,,指定避難所，津波避難ビル
高知県,高知市,県民文化ホール,高知市本町４丁目3-30,33.5570,133.5331,1,1,0,1,1,1,4500人,,指定避難所，津波避難ビル
高知県,高知市,ハーモナイズおおつ1号棟,高知市大津乙845,33.5689,133.5948,0,1,0,0,0,1,,,津波避難ビル
高知県,高知市,初月ふれあいセンター,高知市南久万119-1,33.5743,133.5195,1,0,0,1,1,0,69人,,指定避難所
高知県,高知市,土佐塾中学・高等学校,高知市北中山85,33.53611853,133.5281324,1,0,0,1,0,0,747人,,指定避難所
高知県,高知市,介良市民会館,高知市介良丙329-6,33.5497,133.6065,1,0,0,1,1,0,138人,,指定避難所
高知県,高知市,一宮ふれあいセンター,高知市一宮中町1丁目5-20,33.5836596,133.5691804,1,0,0,1,1,0,75人,,指定避難所
高知県,高知市,株式会社青柳 本社工場,高知市大津乙1741,33.57423366,133.592484,0,1,0,0,0,1,,,津波避難ビル
高知県,高知市,五台山小学校,高知市五台山3371,33.5439,133.5793,1,1,0,1,1,1,851人,,指定避難所，津波避難ビル
高知県,高知市,パークサイド高須?,高知市高須新町1丁目5-11,33.557577,133.577097,0,1,0,0,0,1,,,津波避難ビル
高知県,高知市,神田公園,高知市神田字石神1338-3,33.5419,133.5139,0,0,1,1,0,0,,,指定緊急避難場所
高知県,高知市,中央公園,高知市帯屋町1丁目11-27,33.5601,133.5404,0,0,1,1,0,0,,,指定緊急避難場所
高知県,高知市,サーパス高須,高知市葛島4丁目3-14,33.555647,133.574369,0,1,0,0,0,1,,,津波避難ビル
高知県,高知市,秦ふれあいセンター,高知市中秦泉寺54-3,33.5800,133.5368,1,0,0,1,1,0,68人,,指定避難所
高知県,高知市,高知工業高等学校,高知市桟橋通2丁目11-6,33.5483,133.5461,1,1,0,1,1,1,620人,,指定避難所，津波避難ビル
高知県,高知市,春野公民館内ノ谷分館,高知市春野町内ノ谷810,33.5100,133.5211,1,0,0,1,1,0,107人,,指定避難所
高知県,高知市,三里小学校,高知市仁井田1356,33.5188,133.5831,1,1,0,1,1,1,2047人,,指定避難所，津波避難ビル
高知県,高知市,高知東高等学校,高知市一宮徳谷23-1,33.5839,133.5810,1,0,0,1,1,0,542人,,指定避難所
高知県,高知市,コーポ田中１号館,高知市葛島4丁目10-7,33.553757,133.572231,0,1,0,0,0,1,,,津波避難ビル
高知県,高知市,ＳＴ愛宕,高知市愛宕町1丁目11-6,33.566853,133.536175,0,1,0,0,0,1,,,津波避難ビル
高知県,高知市,潮江東小学校,高知市潮新町2丁目1-54,33.5511,133.5511,1,1,0,1,1,1,1343人,,指定避難所，津波避難ビル
高知県,高知市,百万石ビル,高知市高須1丁目18-8,33.558425,133.588476,0,1,0,0,0,1,,,津波避難ビル
高知県,高知市,鎮守の森公園緑地,高知市長浜6602-6,33.4925,133.5462,0,0,1,1,0,0,,,指定緊急避難場所
高知県,高知市,メゾン・レーヴ潮江,高知市土居町16-4,33.553596,133.545166,0,1,0,0,0,1,,,津波避難ビル
高知県,高知市,美和ハイツ３,高知市高須2丁目15-44,33.560722,133.588057,0,1,0,0,0,1,,,津波避難ビル
高知県,高知市,高知パレスホテル 禁煙館,高知市廿代町4-1,33.56315759,133.5411841,0,1,0,0,0,1,,,津波避難ビル
高知県,高知市,潮江市民図書館,高知市桟橋通2丁目1-50,33.5503,133.5467,1,0,0,0,1,0,112人,,指定避難所
高知県,高知市,源内山緑地,高知市南河ノ瀬町,33.5475,133.5214,0,0,1,1,0,0,,,指定緊急避難場所
高知県,高知市,浦戸ふれあいセンター,高知市浦戸265-1先,33.4975196,133.5669171,1,0,0,1,1,0,73人,,指定避難所
高知県,高知市,Ｊ．ビルディング,高知市丸ﾉ内2丁目8-17,33.562945,133.529243,0,1,0,0,0,1,,,津波避難ビル
高知県,高知市,ホワイエ高須,高知市高須新木3-36,33.562385,133.586324,0,1,0,0,0,1,,,津波避難ビル
高知県,高知市,鏡中学校,高知市鏡今井191,33.6069,133.4722,1,0,0,1,1,0,784人,,指定避難所
高知県,高知市,東ノ丸マンション,高知市高須本町2-50,33.559646,133.577413,0,1,0,0,0,1,,,津波避難ビル
高知県,高知市,愛宕中学校,高知市相模町1-54,33.5702,133.5351,1,1,0,1,1,1,1990人,,指定避難所，津波避難ビル
高知県,高知市,土佐山中学校,高知市土佐山弘瀬405,33.6228,133.4982,1,0,0,1,1,0,661人,,指定避難所
高知県,高知市,コーポ田中５号館,高知市葛島4丁目7-20,33.554514,133.574842,0,1,0,0,0,1,,,津波避難ビル
高知県,高知市,横浜新町小学校,高知市横浜新町5丁目2201,33.5141,133.5366,1,0,0,1,1,0,2184人,,指定避難所
高知県,高知市,百石町市営住宅,高知市百石町3丁目1-33,33.5451,133.5475,0,1,0,0,0,1,,,津波避難ビル
高知県,高知市,高知県民体育館,高知市桟橋通2丁目1-53,33.5496,133.5476,1,0,0,1,1,0,1350人,,指定避難所
高知県,高知市,鏡小学校,高知市鏡今井７,33.6032,133.4723,1,0,0,1,1,0,758人,,指定避難所
高知県,高知市,一宮小学校,高知市一宮西町1丁目9-1,33.5846,133.5676,1,0,0,1,1,0,1923人,,指定避難所
高知県,高知市,潮江下水処理場,高知市南新田町5-69,33.5472,133.5573,1,1,0,1,1,1,42人,,指定避難所，津波避難ビル
高知県,高知市,セントラルディーボ桟橋店,高知市桟橋通4丁目16-6,33.5450,133.5491,0,1,0,0,0,1,,,津波避難ビル
高知県,高知市,高知県トラック会館,高知市南ﾉ丸町5-17,33.542303,133.548417,0,1,0,0,0,1,,,津波避難ビル
高知県,高知市,春野公民館,高知市春野町西分19,33.4989,133.4883,1,0,0,0,1,0,514人,,指定避難所
高知県,高知市,春野公民館西畑分館,高知市春野町西畑1034-4,33.4785890,133.4702661,1,0,0,1,1,0,117人,,指定避難所
高知県,高知市,春野高等学校,高知市春野町弘岡下3860,33.5060,133.4716,1,0,0,1,1,0,465人,,指定避難所
高知県,高知市,旭小学校,高知市本宮町15,33.5568,133.5009,1,0,0,0,1,0,2010人,,指定避難所
