都道府県,市区町村,避難所名,住所,緯度,経度,避難所,一時避難所,広域避難所,地震,風水害,津波,収容人数,備蓄品,備考
福岡県,大牟田市,旧船津中学校,福岡県大牟田市船津町1-6-1,33.01112431,130.43512474,1,1,0,-,-,-,,,指定緊急避難場所・指定避難所
福岡県,大牟田市,高取小学校,福岡県大牟田市大字歴木1807-58,33.03152356,130.48348817,1,1,0,-,-,-,,,指定緊急避難場所・指定避難所・自主避難所
福岡県,大牟田市,三川地区公民館,福岡県大牟田市上屋敷町1-12-3,33.01172143,130.43330820,1,1,0,-,-,-,,,指定緊急避難場所・指定避難所・自主避難所
福岡県,大牟田市,米生中学校,福岡県大牟田市米生町2-26,33.01375540,130.46172320,1,1,0,-,-,-,,,指定緊急避難場所・指定避難所
福岡県,大牟田市,リフレスおおむた,福岡県大牟田市大字四ヶ1221,33.0741070,130.535025,1,1,0,-,-,-,,,指定緊急避難場所・指定避難所・自主避難所
福岡県,大牟田市,三池高等学校,福岡県大牟田市大字草木245,33.05270976,130.46205205,1,1,0,-,-,-,,,指定緊急避難場所・指定避難所
福岡県,大牟田市,田隈中学校,福岡県大牟田市大字田隈338,33.05147672,130.47466513,1,1,0,-,-,-,,,指定緊急避難場所・指定避難所
福岡県,大牟田市,有明工業高等専門学校,福岡県大牟田市東萩尾町150,33.00312606,130.47288643,1,1,0,-,-,-,,,指定緊急避難場所・指定避難所
福岡県,大牟田市,甘木中学校,福岡県大牟田市大字甘木613-1,33.06592795,130.46504830,1,1,0,-,-,-,,,指定緊急避難場所・指定避難所
福岡県,大牟田市,駛馬南小学校,福岡県大牟田市沖田町236-1,33.00826104,130.44870718,1,1,0,-,-,-,,,指定緊急避難場所・指定避難所・自主避難所
福岡県,大牟田市,白川小学校,福岡県大牟田市中白川町1-183,33.04409671,130.45912775,1,1,0,-,-,-,,,指定緊急避難場所・指定避難所・自主避難所
福岡県,大牟田市,歴木中学校,福岡県大牟田市大字歴木1150,33.04020290,130.46910238,1,1,0,-,-,-,,,指定緊急避難場所・指定避難所
福岡県,大牟田市,三池地区公民館,福岡県大牟田市大字三池629-2,33.04646338,130.47914840,1,1,0,-,-,-,,,指定緊急避難場所・指定避難所・自主避難所
福岡県,大牟田市,右京町市営住宅,福岡県大牟田市右京町40-1,33.01791821,130.43912990,0,1,0,-,-,-,,,指定緊急避難場所
福岡県,大牟田市,手鎌地区公民館,福岡県大牟田市大字手鎌1300-42,33.05461209,130.45139708,1,1,0,-,-,-,,,指定緊急避難場所・指定避難所・自主避難所
福岡県,大牟田市,倉永小学校,福岡県大牟田市大字倉永1307,33.08027662,130.46063391,1,1,0,-,-,-,,,指定緊急避難場所・指定避難所・自主避難所
福岡県,大牟田市,旧延命中学校,福岡県大牟田市昭和町240,33.02014866,130.44314073,1,1,0,-,-,-,,,指定緊急避難場所・指定避難所
福岡県,大牟田市,駛馬地区公民館,福岡県大牟田市馬込町1-20-1,33.01135808,130.45186813,1,1,0,-,-,-,,,指定緊急避難場所・指定避難所・自主避難所
