都道府県,市区町村,避難所名,住所,緯度,経度,避難所,一時避難所,広域避難所,地震,風水害,津波,収容人数,備蓄品,備考
長崎県,西海市,村地区集会所,長崎県西海市崎戸町蠣浦郷2118番地1,33.022730026567,129.56499879447,1,0,0,-,-,-,,,避難所
長崎県,五島市,西楠原公民館,長崎県五島市岐宿町楠原1368番地,32.725250931975,128.73792407454,1,0,0,-,-,-,,,避難場所
長崎県,佐世保市,北鹿町公民館,長崎県佐世保市鹿町町深江免803番地2,33.295873033996,129.61410503815,1,0,0,-,-,-,,,避難場所
長崎県,東彼杵郡川棚町,下百津公民館,長崎県東彼杵郡川棚町百津郷357番1,33.067359671102,129.86402509443,1,0,0,-,-,-,,,避難場所
長崎県,諫早市,尾上公民館,長崎県諫早市,32.912755044474,130.15860466779,1,0,0,-,-,-,52人,,地区避難場所
長崎県,諫早市,桃原寺（赤碕）,長崎県諫早市赤崎町199番地,32.833208054786,130.11052149628,1,0,0,-,-,-,41人,,地区避難場所
長崎県,北松浦郡佐々町,佐々町立第三保育所,長崎県北松浦郡佐々町神田免112番地3,33.260009059348,129.66834431168,1,0,0,-,-,-,,,避難場所
長崎県,長崎市,香焼公民館,長崎県長崎市香焼町501番地2,32.689408979839,129.81380298582,1,0,0,-,-,-,364人,,避難場所・避難所
長崎県,対馬市,南保育所,長崎県対馬市豊玉町嵯峨619番地,34.357928681675,129.27121302951,1,0,0,-,-,-,200人,,避難場所・避難所
長崎県,北松浦郡小値賀町,笛吹在公民館,長崎県北松浦郡小値賀町笛吹郷1446番地2,33.191422322241,129.05874127727,1,0,0,-,-,-,,,避難場所
長崎県,大村市,アルカディア記念公園,長崎県大村市雄ケ原町147-34,32.942906352685,129.98203774849,-,-,-,-,-,-,,,指定緊急避難場所
長崎県,雲仙市,古湯駐車場,長崎県雲仙市小浜町雲仙128番地,32.743733169022,130.26012070005,-,-,-,-,-,-,,,避難場所
長崎県,南島原市,深江ふるさと伝承館,長崎県南島原市深江町戊2260番地,32.71782454337,130.35328420065,1,0,0,-,-,-,185人,,避難所
長崎県,長崎市,塩町集会所,長崎県長崎市伊王島町2丁目800番地,32.700232530476,129.77695236372,1,0,0,-,-,-,70人,,避難場所・避難所
長崎県,南松浦郡新上五島町,新上五島町立浜ノ浦小学校,長崎県南松浦郡新上五島町続浜ノ浦郷167番地,32.960640337067,129.0294000563,1,0,0,-,-,-,,,避難勧告・指示時指定避難場所
長崎県,南松浦郡新上五島町,中山公民館,長崎県南松浦郡新上五島町岩瀬浦郷545番地17,32.877224501323,129.07638561702,1,0,0,-,-,-,,,自主避難時指定避難場所
長崎県,諫早市,シーサイド北公園,長崎県諫早市,32.841293907138,129.99036802754,-,-,-,-,-,-,,,避難場所
長崎県,壱岐市,壱岐市立八幡保育所,長崎県壱岐市芦辺町諸吉本村触1300番地,33.785995493252,129.78879722503,1,0,0,-,-,-,,,指定避難場所
