都道府県,市区町村,避難所名,住所,緯度,経度,避難所,一時避難所,広域避難所,地震,風水害,津波,収容人数,備蓄品,備考
熊本県,合志市,合志市立合志小学校,熊本県合志市幾久富1290番地,32.8942597,130.791708,1,1,1,1,1,0,,常備（日常用品）,
熊本県,合志市,熊本県立ひのくに高等支援学校,熊本県合志市合生4360番地7,32.8956742,130.760544,1,1,0,1,1,0,,無,
熊本県,合志市,合志市立南ヶ丘小学校,熊本県合志市幾久富1909番地101,32.8628150,130.772338,1,1,1,1,1,0,,常備（日常用品）,
熊本県,合志市,泉ヶ丘中央公園,熊本県合志市豊岡2022番地3,32.8690348,130.765309,1,1,0,1,1,0,,無,
熊本県,合志市,野付グラウンド,熊本県合志市福原2674番地,32.8837295,130.795776,1,1,0,1,1,0,,無,
熊本県,合志市,合志市須屋浄化センター,熊本県合志市須屋607番地2,32.8527608,130.729298,1,1,1,1,1,0,,常備（日常用品）,
熊本県,合志市,熊本県立菊池支援学校,熊本県合志市合生4300番地,32.8978336,130.760514,1,1,0,1,1,0,,無,
熊本県,合志市,合志市老人憩いの家,熊本県合志市須屋2267番地3,32.8738828,130.733889,1,1,1,1,1,0,,常備（日常用品）,
熊本県,合志市,合志市黒石市民センター,熊本県合志市須屋2788番地,32.8718350,130.743948,1,1,1,1,1,0,,常備（日常用品）,
熊本県,合志市,合志市立西合志南小学校,熊本県合志市須屋1873番地,32.8622065,130.735449,1,1,1,1,1,0,,常備（日常用品）,
熊本県,合志市,泉ヶ丘南公園,熊本県合志市豊岡2013番地3,32.8682937,130.766940,1,1,0,1,1,0,,無,
熊本県,合志市,熊本県立黒石原支援学校,熊本県合志市須屋2659番地,32.8782163,130.749930,1,1,0,1,1,0,,無,
熊本県,合志市,合志市御代志市民センター,熊本県合志市御代志1661番地16,32.8903827,130.744554,1,1,1,1,1,0,,常備（日常用品）,
熊本県,合志市,永江団地西公園,熊本県合志市幾久富1866番地870,32.8656684,130.775915,1,1,0,1,1,0,,無,
熊本県,合志市,泉ヶ丘東北公園,熊本県合志市豊岡2054番地3,32.8717674,130.767701,1,1,0,1,1,0,,無,
熊本県,合志市,合志市泉ヶ丘体育館・合志市泉ヶ丘市民センター,熊本県合志市幾久富1947番地7,32.8690464,130.769026,1,1,1,1,1,0,,常備（日常用品）,
熊本県,合志市,わんぱく広場,熊本県合志市竹迫1749番地,32.8930531,130.800554,1,1,0,1,1,0,,無,
熊本県,合志市,すずかけ台コミュニティセンター,熊本県合志市豊岡2527番地529,32.8646969,130.760630,1,1,0,1,1,0,,無,
熊本県,合志市,合志市野々島公民館,熊本県合志市野々島4855番地,32.9067451,130.738821,1,1,1,1,1,0,,常備（日常用品）,
熊本県,合志市,合志市福祉センター「みどり館」,熊本県合志市栄2371番地,32.9010318,130.770925,1,1,1,1,1,0,,常備（日常用品）,
熊本県,合志市,すずかけ台中央公園,熊本県合志市豊岡2527番地504,32.8669980,130.762817,1,1,0,1,1,0,,無,
熊本県,合志市,永江団地中央公園,熊本県合志市幾久富1758番地38,32.8670501,130.779204,1,1,0,1,1,0,,無,
熊本県,合志市,妙泉寺体育館,熊本県合志市須屋1957番地,32.8595714,130.733170,1,1,0,1,1,0,,無,
熊本県,合志市,合志市立西合志中央小学校,熊本県合志市野々島4832番地,32.9083226,130.742793,1,1,1,1,1,0,,常備（日常用品）,
熊本県,荒尾市,福祉村（小岱作業所）,熊本県荒尾市増永2452-2,32.9733687,130.452543,1,0,0,0,1,1,290人,,
熊本県,合志市,合志市立西合志中学校,熊本県合志市野々島4393番地1,32.8979181,130.744048,1,1,1,1,1,0,,常備（日常用品）,
熊本県,合志市,熊本県立農業大学校,熊本県合志市栄3805番地,32.8924590,130.762741,1,1,0,1,1,0,,無,
熊本県,合志市,泉ヶ丘北公園,熊本県合志市豊岡2023番地3,32.8699233,130.764047,1,1,0,1,1,0,,無,
熊本県,合志市,合志市立西合志東小学校,熊本県合志市須屋2948番地,32.8657166,130.740036,1,1,1,1,1,0,,常備（日常用品）,
熊本県,合志市,合志市総合センター「ヴィーブル」,熊本県合志市福原2922番地,32.8865055,130.791089,1,1,1,1,1,0,,常備（日常用品）,
熊本県,合志市,合志市栄体育館,熊本県合志市栄1230番地1,32.9080078,130.774412,1,1,1,1,1,0,,常備（日常用品）,
熊本県,合志市,合志市立合志中学校,熊本県合志市豊岡955番地,32.8889457,130.788245,1,1,1,1,1,0,,常備（日常用品）,
熊本県,荒尾市,万田炭鉱館,熊本県荒尾市原万田213-31,33.0004160,130.451334,1,0,0,0,1,1,130人,,
熊本県,荒尾市,荒尾第四中学校,熊本県荒尾市野原1528,32.9619701,130.481322,1,0,0,0,1,1,1000人,,
熊本県,合志市,合志市合生文化会館,熊本県合志市合生3616番地,32.9137955,130.753801,1,1,1,1,1,0,,常備（日常用品）,
熊本県,合志市,合志市西合志体育館,熊本県合志市野々島4440番地,32.8984068,130.743308,1,1,0,1,1,0,,無,
熊本県,合志市,すずかけ台西公園,熊本県合志市豊岡2000番地927,32.8678995,130.759323,1,1,0,1,1,0,,無,
熊本県,合志市,沖野台公園,熊本県合志市幾久富1866番地1185,32.8688130,130.773864,1,1,0,1,1,0,,無,
熊本県,合志市,杉並台中央公園,熊本県合志市幾久富1647番地95,32.8717375,130.783800,1,1,0,1,1,0,,無,
熊本県,合志市,合志市立合志南小学校,熊本県合志市豊岡2224番地29,32.8723108,130.770260,1,1,1,1,1,0,,常備（日常用品）,
熊本県,菊池郡菊陽町,菊陽西小学校,熊本県菊池郡菊陽町大字原水5666-40,32.865356312413,130.7924427416,1,0,0,-,-,-,340人,,避難場所・避難所
熊本県,荒尾市,荒尾市浄水センター,熊本県荒尾市大島町四丁目1-32,32.9963378,130.427349,1,0,0,0,1,0,100人,,
熊本県,合志市,独立行政法人国立高等専門学校機構熊本高等専門学校（熊本キャンパス）,熊本県合志市須屋2659番地2,32.8767821,130.748242,1,1,0,1,1,0,,無,
熊本県,合志市,泉ヶ丘東公園,熊本県合志市豊岡2052番地3,32.8703639,130.768012,1,1,0,1,1,0,,無,
熊本県,合志市,合志市栄グラウンド,熊本県合志市栄2295番地138,32.9009120,130.768998,1,1,0,1,1,0,,無,
熊本県,合志市,すずかけ台南公園,熊本県合志市豊岡2527番地73,32.8653027,130.764092,1,1,0,1,1,0,,無,
