都道府県,市区町村,避難所名,住所,緯度,経度,避難所,一時避難所,広域避難所,地震,風水害,津波,収容人数,備蓄品,備考
大分県,速見郡日出町,日比の浦公民館,大分県速見郡日出町大字大神4137,33.350743796404,131.57528273759,1,0,0,-,-,-,,,一時避難場所（小規模災害時避難所）
大分県,大分市,和光保育園体育室,大分県大分市里2丁目1-23,33.235089771521,131.7421574285,1,0,0,-,-,-,120人,,避難所
大分県,大分市,鴛野小学校体育館,大分県大分市大字鴛野108番地の1,33.181966256359,131.61861659842,1,0,0,-,-,-,886人,,避難所
大分県,大分市,陽光台公民館集会所,大分県大分市大字迫9番地の44,33.222929082518,131.69998917611,1,0,0,-,-,-,188人,,避難所
大分県,臼杵市,久木小野多目的研修集会施設,大分県臼杵市大字久木小野285-2,33.127840211366,131.72640043889,1,0,0,-,-,-,33人,,１次避難場所・２次避難場所
大分県,杵築市,宮司公民館,大分県杵築市宮司379番地1,33.427068958804,131.61200289284,1,0,0,-,-,-,30人,,２次避難所
大分県,大分市,サンコーポ,大分県大分市南鶴崎2丁目5番28号,33.23925772925,131.68905086216,-,-,-,-,-,-,,,津波避難ビル
大分県,杵築市,二の坂多目的集会所,大分県杵築市溝井4516番地12,33.43633210953,131.57764833303,1,0,0,-,-,-,20人,,２次避難所
大分県,速見郡日出町,三尺山公民館,大分県速見郡日出町大字大神3315-2,33.36688033247,131.56787186037,1,0,0,-,-,-,,,一時避難場所（小規模災害時避難所）
大分県,竹田市,熊地構造改善センター,大分県竹田市,33.011872709354,131.30022918862,-,-,-,1,0,0,,,指定緊急避難場所
大分県,東国東郡姫島村,中央公民館（若者宿城山）,大分県東国東郡姫島村948番地の3,33.72618645336,131.64416688303,1,0,0,-,-,-,82人,,２次避難所
大分県,別府市,西小学校体育館,大分県別府市中島町7-49,33.274078539795,131.49250806241,1,0,0,1,0,1,358人,,収容避難所
大分県,津久見市,松ヶ浦賢女ヶ浦,大分県津久見市,33.084144701754,131.98975527797,-,-,-,0,0,1,,,一時避難所
大分県,大分市,大分西高等学校体育館,大分県大分市新春日町2丁目1番1号,33.233952046451,131.58979343421,1,0,0,-,-,-,1200人,,避難所
大分県,大分市,桃園小学校体育館,大分県大分市山津町2丁目7番1号,33.241211924677,131.66871466429,1,0,0,-,-,-,886人,,津波避難ビル・避難所
大分県,大分市,南生石西阿部駐車場,大分県大分市南生石西5組,33.211588359915,131.68801272969,-,-,-,-,-,-,,,津波避難場所
大分県,豊後大野市,犬飼公民館,大分県豊後大野市犬飼町田原1476番地,33.066219985456,131.63237573332,1,0,0,-,-,-,,,避難場所
大分県,臼杵市,緑の園デイサービスセンターふれあい,大分県臼杵市大字諏訪289-1,33.134350176485,131.80395472589,-,-,-,-,-,-,,,福祉避難所
大分県,豊後高田市,九州特殊土木株式会社,大分県豊後高田市高田2878,33.561606519633,131.43598529452,-,-,-,0,0,1,,,津波避難ビル
大分県,竹田市,野口公民館,大分県竹田市,32.890178903415,131.36033142689,-,-,-,-,-,-,,,指定緊急避難場所
大分県,大分市,城原台第2公園,大分県大分市大字城原字狐迫2288-36外,33.236518684959,131.72509731621,-,-,-,-,-,-,,,津波避難場所
