搒摴晎導,巗嬫挰懞,旔擄強柤,廧強,堒搙,宱搙,旔擄強,堦帪旔擄強,峀堟旔擄強,抧恔,晽悈奞,捗攇,廂梕恖悢,旛拁昳,旛峫
幁帣搰導,偄偪偒孁栘栰巗,孁栘栰彫妛峑懱堢娰,幁帣搰導偄偪偒孁栘栰巗擔弌挰536,31.717874657786,130.27701959811,1,0,0,-,-,-,,,旔擄応強
幁帣搰導,墏旤巗,妢棙彫妛峑,幁帣搰導墏旤巗妢棙挰妢棙399,28.487775097698,129.6934991175,1,0,0,1,1,1,,,旔擄強
幁帣搰導,孎栄孲拞庬巕挰,拞墰岞柉娰,幁帣搰導孎栄孲拞庬巕挰栰娫5184,30.531366088588,130.95505508569,1,0,0,-,-,-,388恖,,俀師旔擄強
幁帣搰導,嶧杸愳撪巗,媽惵悾彫妛峑,幁帣搰導嶧杸愳撪巗惵悾382,31.674418960695,129.72345963952,1,0,0,0,1,0,420恖,,巜掕旔擄応強
幁帣搰導,慮墬巗,烒彫妛峑,幁帣搰導慮墬巗枛媑挰撿擵嫿4060-1,31.624688244109,131.06317091164,1,0,0,-,-,-,2886恖,,旔擄強
幁帣搰導,娞懏孲搶孁椙挰,怴愳惣暘抍媗強,幁帣搰導娞懏孲搶孁椙挰怴愳惣4832,31.361154887007,130.98681091858,1,0,0,-,-,-,30恖,,旔擄強
幁帣搰導,戝搰孲抦柤挰,廧媑彫妛峑,幁帣搰導戝搰孲抦柤挰廧媑1760,27.362777435438,128.53599959517,1,0,0,-,-,-,200恖,,旔擄応強丒旔擄強
幁帣搰導,墏旤巗,恄幮乮抦柤悾乯,幁帣搰導墏旤巗,28.377587092697,129.45099791886,-,-,-,-,-,-,,,堦帪旔擄応強
幁帣搰導,墏旤巗,戝妢棙峘,幁帣搰導墏旤巗,28.48851478756,129.69625396389,1,0,0,1,1,1,,,旔擄強
幁帣搰導,偄偪偒孁栘栰巗,巗棃懱堢娰,幁帣搰導偄偪偒孁栘栰巗戝棦5547-1,31.686042133535,130.29605480577,1,0,0,-,-,-,,,旔擄応強
幁帣搰導,慮墬巗,妢栘彫妛峑,幁帣搰導慮墬巗戝嬿挰拞擵撪5763,31.630553451828,130.96695201357,1,0,0,-,-,-,5778恖,,旔擄強
幁帣搰導,弌悈巗,弌悈曐寬僙儞僞乕,幁帣搰導弌悈巗,32.093180195499,130.35301041535,1,0,0,1,1,0,,,旔擄強
幁帣搰導,垿椙孲桸悈挰,抾敆廤夛強,幁帣搰導垿椙孲桸悈挰岾揷1105-2,31.946917393506,130.6785326267,1,0,0,0,1,0,,,旔擄応強
幁帣搰導,孎栄孲拞庬巕挰,擺姱彫妛峑,幁帣搰導孎栄孲拞庬巕挰擺姱500,30.559238166591,130.9471628461,1,0,0,-,-,-,285恖,,俀師旔擄強
幁帣搰導,垿椙孲桸悈挰,屆愳廤夛強,幁帣搰導垿椙孲桸悈挰拞捗愳104-3,32.010001409276,130.74770248102,1,0,0,-,-,-,,,旔擄応強
幁帣搰導,巙晍巙巗,壞堜抧嬫岞柉娰,幁帣搰導巙晍巙巗巙晍巙挰壞堜485,31.46913366847,131.135768303,1,0,0,-,-,-,,,旔擄応強乮侾師奐愝乯
幁帣搰導,撿嬨廈巗,塷垺曐寬僙儞僞乕,幁帣搰導撿嬨廈巗塷垺挰杚擵撪9260,31.273963410272,130.49504030204,1,0,0,-,-,-,160恖,,旔擄強
幁帣搰導,擔抲巗,搶巗棃曐寬僙儞僞乕,幁帣搰導擔抲巗搶巗棃挰挿棦185,31.659037849161,130.34847460689,1,0,0,-,-,-,,,旔擄応強
幁帣搰導,墏旤巗,墏旤彫妛峑,幁帣搰導墏旤巗柤悾媣棦挰15-10,28.372881386658,129.49735967361,1,0,0,1,1,1,,,堦帪旔擄応強丒旔擄強
幁帣搰導,垿椙孲桸悈挰,壛帯壆抧嬫廤夛強,幁帣搰導垿椙孲桸悈挰愳惣913-2,32.013278525984,130.74060021195,1,0,0,-,-,-,,,旔擄応強
幁帣搰導,撿偝偮傑巗,壴悾峀曬尋廋僙儞僞乕,幁帣搰導撿偝偮傑巗,31.422714734463,130.34140774952,1,0,0,-,-,-,,,旔擄強
