都道府県,市区町村,避難所名,住所,緯度,経度,避難所,一時避難所,広域避難所,地震,風水害,津波,収容人数,備蓄品,備考
秋田県,横手市,浅舞スポーツセンター,秋田県横手市平鹿町浅舞字野々助80-2,39.2605523,140.4877256,1,1,0,0,1,0,12336人,,屋内・屋外、トイレ・冷暖房
秋田県,横手市,梅ノ木街区公園,秋田県横手市梅の木町711,39.3157532,140.5576972,0,1,0,1,1,0,2100人,,屋外、トイレ・障がい者用トイレ
秋田県,横手市,駅南児童公園,秋田県横手市駅南一丁目35,39.3016443,140.5608007,0,1,0,1,1,0,1950人,,屋外、トイレ
秋田県,横手市,三井寺児童公園,秋田県横手市南町849,39.3057884,140.5703709,0,1,0,1,1,0,1500人,,屋外、トイレ・障がい者用トイレ
秋田県,横手市,増田高等学校,秋田県横手市増田町増田字一本柳137,39.2119729,140.5335253,1,1,0,1,1,0,19882人,,屋内・屋外、トイレ・シャワー・冷暖房・障がい者用トイレ
秋田県,横手市,さんない保育園,秋田県横手市山内土渕字菅生37-7,39.2833511,140.6218334,1,1,0,1,1,0,800人,,屋内・屋外、トイレ・給食設備
秋田県,横手市,下醍醐農村公園,秋田県横手市平鹿町醍醐字醍醐東66,39.251027,140.5318694,0,1,0,1,1,0,1675人,,屋外
秋田県,横手市,増田野球場,秋田県横手市増田町増田字若松106,39.2023384,140.5585725,0,1,0,1,0,0,4250人,,屋外、トイレ
秋田県,横手市,中房農村公園,秋田県横手市大森町八沢木字中房29-1,39.3546605,140.3868436,0,1,0,1,1,0,1479人,,屋外、トイレ
秋田県,横手市,横手南中学校,秋田県横手市赤坂字郷士館32-1,39.3010828,140.5479328,1,1,0,1,1,0,28970人,,屋内・屋外、トイレ・給食設備・冷暖房・障がい者用トイレ・特設公衆電話
秋田県,横手市,記念公園運動広場,秋田県横手市南町13,39.304683,140.5681852,0,1,0,1,1,0,7500人,,屋外、トイレ
秋田県,横手市,海蔵院農村公園,秋田県横手市十文字町鼎字海蔵院34-1,39.2201925,140.4847772,0,1,0,1,1,0,1500人,,屋外、トイレ
秋田県,横手市,十文字西地区館,秋田県横手市十文字町植田字一ト市330,39.2268465,140.4606186,1,1,0,1,1,0,3292人,,屋内・屋外、トイレ・給食設備・冷暖房・障がい者用トイレ
秋田県,横手市,福祉保健センター（平鹿町ゆとり館）,秋田県横手市平鹿町浅舞字蒋沼289,39.2612108,140.4929445,1,1,0,1,1,0,178人,,屋内、トイレ・シャワー・冷暖房・障がい者用トイレ
秋田県,横手市,旭小学校,秋田県横手市赤坂字城野岡222,39.3145473,140.5280222,1,1,0,1,1,0,9805人,,屋内・屋外、トイレ・給食設備・冷暖房・障がい者用トイレ・特設公衆電話
秋田県,横手市,下鍋倉地区農村集落多目的共同利用施設,秋田県横手市平鹿町下鍋倉字下糸畑原229,39.2505586,140.4820655,1,1,0,1,1,0,82人,,屋内、トイレ・給食設備
