都道府県,市区町村,避難所名,住所,緯度,経度,避難所,一時避難所,広域避難所,地震,風水害,津波,収容人数,備蓄品,備考
山形県,天童市,荒谷公民館,山形県天童市大字荒谷,38.317742918332,140.38964011053,1,0,0,-,-,-,,,収容避難所
山形県,東田川郡庄内町,余目第一小学校,山形県東田川郡庄内町余目字南田105-1,38.841933843765,139.88470705591,1,0,0,-,-,-,1452人,,２次避難場所・広域避難所
山形県,最上郡舟形町,経壇原公民館,山形県最上郡舟形町長沢4770,38.700138251602,140.34961468486,1,0,0,-,-,-,53人,,収容避難所・避難地
山形県,村山市,農協境ノ目集荷所,山形県村山市,38.534305275224,140.36624360473,-,-,-,-,-,-,,,避難場所
山形県,米沢市,三沢コミュニティセンター,山形県米沢市大字簗沢1776-1,37.887553040376,140.04915610288,1,0,0,-,-,-,106人,,指定避難場所・避難所
山形県,山形市,小姓町公園,山形県山形市小姓町39の14,38.247451288803,140.3413595321,-,-,-,-,-,-,,,一時避難場所
山形県,村山市,楯公民館,山形県村山市,38.470531162367,140.30568796883,-,-,-,-,-,-,,,避難場所
山形県,飽海郡遊佐町,菅里児童館,山形県飽海郡遊佐町大字北目字菅野谷地97-2,39.063253004357,139.88904385897,1,0,0,-,-,-,,,緊急避難場所
山形県,鶴岡市,羽黒第三小学校体育館,山形県鶴岡市羽黒町後田字下田元9,38.715253393747,139.87369385031,1,0,0,-,-,-,410人,,１次避難場所・避難所
山形県,長井市,豊田小学校,山形県長井市歌丸976,38.069658685132,140.04226004688,-,-,-,-,-,-,,,一時避難場所・広域避難場所
山形県,鶴岡市,鶴岡公園,山形県鶴岡市馬場町4,38.727902055997,139.82431113395,-,-,-,-,-,-,65000人,,１次避難場所
山形県,飽海郡遊佐町,蕨岡児童遊園地,山形県飽海郡遊佐町豊岡字乳母懐39番地,38.995325074842,139.92465996499,1,0,0,-,-,-,,,緊急避難場所
山形県,尾花沢市,尾花沢市立玉野中学校体育館,山形県尾花沢市鶴巻田866,38.598709817599,140.48695613539,1,0,0,-,-,-,295人,,指定避難所
山形県,東根市,間木野林業センター,山形県東根市観音寺1155-2,38.426415713619,140.47220965317,1,0,0,1,1,0,,,一時避難所
山形県,山形市,二ツ塚公園,山形県山形市吉原三丁目9番1,38.230178646875,140.3061306163,-,-,-,-,-,-,,,一時避難場所
山形県,鶴岡市,諏訪神社,山形県鶴岡市,38.68026384235,139.8325696903,-,-,-,-,-,-,,,津波避難場所
山形県,山形市,十二柳公園,山形県山形市小白川町四丁目89,38.244358661082,140.3601549145,-,-,-,-,-,-,,,一時避難場所
山形県,酒田市,酒田西高等学校定時制校舎体育館,山形県酒田市北新町一丁目1-57,38.923212309998,139.83301784369,1,0,0,1,1,1,,,収容避難所
山形県,鶴岡市,早田公民館,山形県鶴岡市早田字上ノ山24,38.572744462378,139.5551171252,1,0,0,-,-,-,123人,,避難所
