都道府県,市区町村,避難所名,住所,緯度,経度,避難所,一時避難所,広域避難所,地震,風水害,津波,収容人数,備蓄品,備考
福島県,須賀川市,市立第三中学校体育館,福島県須賀川市朝日田54,37.27791451,140.38777037,1,1,1,1,1,0,330人,,拠点避難所
福島県,須賀川市,市立第一中学校体育館,福島県須賀川市稲荷町130,37.27993895,140.36658021,1,1,1,1,1,0,900人,,拠点避難所
福島県,須賀川市,市立稲田小学校体育館,福島県須賀川市岩渕字岡谷地1,37.26207839,140.32228741,1,1,1,1,1,0,220人,,拠点避難所
福島県,須賀川市,市民スポーツ会館,福島県須賀川市中曽根60,37.30092028,140.38476357,1,1,1,1,1,0,480人,,拠点避難所
福島県,須賀川市,市立小塩江中学校体育館,福島県須賀川市塩田字中丸木85,37.29303592,140.42414930,1,1,1,1,1,0,260人,,拠点避難所
福島県,須賀川市,長沼農村環境改善センター,福島県須賀川市長沼字鹿ノ内入2-3,37.28278538,140.21408606,1,1,1,1,1,0,540人,,拠点避難所
福島県,須賀川市,須賀川アリーナ,福島県須賀川市牛袋町5,37.29189030,140.35608597,1,1,1,1,1,0,5140人,,拠点避難所
福島県,須賀川市,市立白江小学校体育館,福島県須賀川市大久保字室貫26,37.30048997,140.28574238,1,1,1,1,1,0,660人,,拠点避難所
福島県,須賀川市,稲田地域体育館,福島県須賀川市岩渕字岡谷地46,37.26361714,140.32219015,1,1,1,1,1,0,430人,,拠点避難所
福島県,須賀川市,市立小塩江小学校体育館,福島県須賀川市塩田字作田1,37.29062827,140.43356526,1,1,1,1,1,0,220人,,拠点避難所
福島県,須賀川市,県立須賀川桐陽高校体育館,福島県須賀川市陣場町128,37.29805361,140.36490997,1,1,1,1,1,0,690人,,拠点避難所
福島県,須賀川市,市立阿武隈小学校体育館,福島県須賀川市古舘70,37.29727913,140.39100488,1,1,1,1,1,0,260人,,拠点避難所
福島県,須賀川市,旧東山小学校体育館,福島県須賀川市小倉字桐久保1,37.27991498,140.50324369,1,1,1,1,1,0,160人,,拠点避難所
福島県,須賀川市,市立第二中学校体育館,福島県須賀川市岩瀬森46,37.30277262,140.37234241,1,1,1,1,1,0,770人,,拠点避難所
福島県,須賀川市,市立白方小学校体育館,福島県須賀川市今泉字梅田181,37.32765542,140.25218069,1,1,1,1,1,0,630人,,拠点避難所
福島県,須賀川市,小塩江地域体育館,福島県須賀川市小倉字一本柿88,37.28500679,140.43347948,1,1,1,1,1,0,430人,,拠点避難所
福島県,須賀川市,市立第二小学校体育館,福島県須賀川市弘法坦151,37.29262100,140.37233743,1,1,1,1,1,0,340人,,拠点避難所
福島県,須賀川市,市立西袋中学校体育館,福島県須賀川市吉美根字土橋680,37.30704370,140.33889804,1,1,1,1,1,0,630人,,拠点避難所
福島県,須賀川市,県立長沼高等学校体育館,福島県須賀川市長沼字子ッコ橋58,37.30111607,140.20963302,1,1,1,1,1,0,450人,,拠点避難所
福島県,須賀川市,市立長沼東小学校体育館,福島県須賀川市桙衝字下沖58,37.27353161,140.27203114,1,1,1,1,1,0,300人,,拠点避難所
福島県,須賀川市,市立第三小学校体育館,福島県須賀川市朝日田53,37.27940045,140.38685925,1,1,1,1,1,0,410人,,拠点避難所
福島県,須賀川市,西袋地域体育館,福島県須賀川市吉美根字金子田15-11,37.30280228,140.32938249,1,1,1,1,1,0,440人,,拠点避難所
福島県,須賀川市,浜田地域体育館,福島県須賀川市浜尾字猫沼90,37.28478645,140.40482386,1,1,1,1,1,0,450人,,拠点避難所
福島県,須賀川市,いわせ地域トレーニングセンター,福島県須賀川市畑田字荒池上27,37.30683033,140.26848284,1,1,1,1,1,0,730人,,拠点避難所
福島県,須賀川市,市立西袋第二小学校体育館,福島県須賀川市袋田字小田切21,37.30437667,140.31658088,1,1,1,1,1,0,220人,,拠点避難所
福島県,須賀川市,市立仁井田小学校体育館,福島県須賀川市仁井田字長者井戸111-1,37.33687061,140.32877855,1,1,1,1,1,0,630人,,拠点避難所
福島県,須賀川市,市立西袋第一小学校体育館,福島県須賀川市日向町115,37.29757015,140.35371648,1,1,1,1,1,0,220人,,拠点避難所
福島県,須賀川市,市立仁井田中学校体育館,福島県須賀川市仁井田字北明石田30,37.33293506,140.33306994,1,1,1,1,1,0,200人,,拠点避難所
福島県,白河市,さくら保育園 園庭,福島県白河市会津町24-7,37.1319,140.206,0,1,0,-,-,-,,,旧市内
福島県,須賀川市,県立清陵情報高校体育館,福島県須賀川市滑川字西町179-6,37.33188614,140.37128255,1,1,1,1,1,0,90人,,拠点避難所
