都道府県,市区町村,避難所名,住所,緯度,経度,避難所,一時避難所,広域避難所,地震,風水害,津波,収容人数,備蓄品,備考
茨城県,龍ケ崎市,馴馬台コミュニティセンター,茨城県龍ケ崎市平台5-12-3,35.9225,140.1681,1,0,0,1,1,0,136人,井戸,「福祉避難所」：災害時に高齢者や障がいをお持ちの方などが、優先的に避難生活を行う施設。
茨城県,龍ケ崎市,文化会館,茨城県龍ケ崎市馴馬町2612,35.9156,140.1785,1,1,0,1,1,0,181人,,「避難所」：災害によって短期間の避難生活を余儀なくされた場合に、一定期間の避難生活を行う施設。
茨城県,龍ケ崎市,城ノ内小学校,茨城県龍ケ崎市城ノ内5-27,35.9213,140.2148,1,1,0,1,1,0,230人,食糧備蓄・救助資機材・日用品・避難所運営用品,「避難所」：災害によって短期間の避難生活を余儀なくされた場合に、一定期間の避難生活を行う施設。
茨城県,龍ケ崎市,八原小学校,茨城県龍ケ崎市藤ケ丘1-22-4,35.9336,140.2006,1,1,0,1,1,0,120人,食糧備蓄・救助資機材・日用品・避難所運営用品,「避難所」：災害によって短期間の避難生活を余儀なくされた場合に、一定期間の避難生活を行う施設。
茨城県,龍ケ崎市,川原代小学校,茨城県龍ケ崎市川原代町3518,35.9163,140.1543,1,1,0,1,0,0,130人,食糧備蓄・救助資機材・日用品・避難所運営用品,「避難所」：災害によって短期間の避難生活を余儀なくされた場合に、一定期間の避難生活を行う施設。
茨城県,龍ケ崎市,久保台小学校,茨城県龍ケ崎市久保台2-3,35.9332,140.1768,1,1,0,1,1,0,250人,食糧備蓄・救助資機材・日用品・避難所運営用品,「避難所」：災害によって短期間の避難生活を余儀なくされた場合に、一定期間の避難生活を行う施設。
茨城県,龍ケ崎市,馴馬財産区会館,茨城県龍ケ崎市馴馬町2260-8,35.9205,140.1713,1,0,0,1,1,0,54人,,「避難所」：災害によって短期間の避難生活を余儀なくされた場合に、一定期間の避難生活を行う施設。
茨城県,龍ケ崎市,松葉コミュニティセンター,茨城県龍ケ崎市松葉5-1,35.9372,140.1570,1,0,0,1,1,0,132人,井戸,「福祉避難所」：災害時に高齢者や障がいをお持ちの方などが、優先的に避難生活を行う施設。
茨城県,龍ケ崎市,愛宕中学校,茨城県龍ケ崎市3777,35.9141,140.1800,1,1,0,1,1,0,300人,食糧備蓄・救助資機材・日用品・避難所運営用品,「避難所」：災害によって短期間の避難生活を余儀なくされた場合に、一定期間の避難生活を行う施設。
茨城県,龍ケ崎市,城西中学校,茨城県龍ケ崎市川原代町710,35.9210,140.1385,1,1,0,1,0,0,210人,食糧備蓄・救助資機材・日用品・避難所運営用品,「避難所」：災害によって短期間の避難生活を余儀なくされた場合に、一定期間の避難生活を行う施設。
茨城県,龍ケ崎市,城ノ内中学校,茨城県龍ケ崎市城ノ内5-3,35.9223,140.2078,1,1,0,1,1,0,260人,食糧備蓄・救助資機材・日用品・避難所運営用品,「避難所」：災害によって短期間の避難生活を余儀なくされた場合に、一定期間の避難生活を行う施設。
茨城県,龍ケ崎市,川原代コミュニティセンター,茨城県龍ケ崎市川原代町1665,35.9144,140.1551,1,0,0,1,0,0,128人,井戸,「福祉避難所」：災害時に高齢者や障がいをお持ちの方などが、優先的に避難生活を行う施設。
茨城県,龍ケ崎市,松葉小学校,茨城県龍ケ崎市松葉2-9,35.9370,140.1583,1,1,0,1,1,0,140人,食糧備蓄・救助資機材・日用品・避難所運営用品,「避難所」：災害によって短期間の避難生活を余儀なくされた場合に、一定期間の避難生活を行う施設。
茨城県,龍ケ崎市,農業公園豊作村湯ったり館,茨城県龍ケ崎市板橋町440,35.9318,140.2506,1,1,0,1,1,0,309人,井戸,「避難所」：災害によって短期間の避難生活を余儀なくされた場合に、一定期間の避難生活を行う施設。
茨城県,龍ケ崎市,長山小学校,茨城県龍ケ崎市長山5-7-1,35.9468,140.1567,1,1,0,1,1,0,230人,食糧備蓄・救助資機材・日用品・避難所運営用品,「避難所」：災害によって短期間の避難生活を余儀なくされた場合に、一定期間の避難生活を行う施設。
茨城県,龍ケ崎市,竜ケ崎南高等学校,茨城県龍ケ崎市北方町120,35.8812,140.1613,1,1,0,1,1,0,485人,,「避難所」：災害によって短期間の避難生活を余儀なくされた場合に、一定期間の避難生活を行う施設。
茨城県,龍ケ崎市,城ノ内コミュニティセンター,茨城県龍ケ崎市白羽1-5-2,35.9231,140.2163,1,0,0,1,1,0,134人,井戸,「福祉避難所」：災害時に高齢者や障がいをお持ちの方などが、優先的に避難生活を行う施設。
茨城県,龍ケ崎市,龍ケ崎西コミュニティセンター,茨城県龍ケ崎市8897-1,35.9007,140.1807,1,0,0,1,0,0,129人,井戸,「福祉避難所」：災害時に高齢者や障がいをお持ちの方などが、優先的に避難生活を行う施設。
