都道府県,市区町村,避難所名,住所,緯度,経度,避難所,一時避難所,広域避難所,地震,風水害,津波,収容人数,備蓄品,備考
栃木県,芳賀郡市貝町,赤羽小学校,栃木県芳賀郡市貝町赤羽2711,36.51517172,140.06797203,0,0,1,1,1,0,300人,,災害時に危険を一時的に回避する場所（体育館を使用）
栃木県,芳賀郡市貝町,旧小貝中央小学校,栃木県芳賀郡市貝町続谷1143-3,36.58651759,140.11243756,0,0,1,1,1,0,300人,,災害時に危険を一時的に回避する場所（体育館を使用）
栃木県,芳賀郡茂木町,茂木町民センター,栃木県芳賀郡茂木町大字茂木151,36.530960,140.186617,1,1,1,-,-,-,300人,,
栃木県,芳賀郡茂木町,中川小学校,栃木県芳賀郡茂木町大字牧野1861,36.579249,140.210760,1,1,1,-,-,-,300人,,
栃木県,芳賀郡茂木町,県立茂木高等学校,栃木県芳賀郡茂木町大字茂木288,36.531639,140.189472,1,1,1,1,1,0,500人,,
栃木県,芳賀郡茂木町,元気アップ館,栃木県芳賀郡茂木町大字茂木1043-1,36.526341,140.170363,1,1,1,1,0,0,200人,,
栃木県,芳賀郡茂木町,中川中学校,栃木県芳賀郡茂木町大字河井856,36.569737,140.217497,1,1,1,1,1,0,200人,,
栃木県,芳賀郡茂木町,茂木中学校,栃木県芳賀郡茂木町大字茂木72,36.533673,140.194322,1,1,1,-,-,-,500人,,
栃木県,芳賀郡市貝町,市貝中学校,栃木県芳賀郡市貝町市塙4072,36.54531098,140.10714226,0,0,1,1,1,0,500人,,災害時に危険を一時的に回避する場所（体育館・武道館等を使用）
栃木県,那須塩原市,穴沢小学校,栃木県那須塩原市百村678,37.027423497931,139.94827316831,1,0,0,-,-,-,128人,,指定避難所
栃木県,芳賀郡茂木町,茂木小学校,栃木県芳賀郡茂木町大字茂木1621,36.531389,140.184129,1,1,1,1,0,0,500人,,
栃木県,芳賀郡茂木町,逆川小学校,栃木県芳賀郡茂木町大字飯2210,36.469463,140.174474,1,1,1,1,1,0,200人,,
栃木県,芳賀郡市貝町,赤羽保育園,栃木県芳賀郡市貝町赤羽2648-7,36.51581048,140.06600272,0,0,1,1,1,0,100人,,災害時に危険を一時的に回避する場所
栃木県,芳賀郡茂木町,逆川中学校,栃木県芳賀郡茂木町大字飯1650,36.472124,140.172156,1,1,1,1,1,0,200人,,
栃木県,芳賀郡市貝町,ふれあい館,栃木県芳賀郡市貝町赤羽2648-1,36.51574800,140.06653630,0,0,1,1,1,0,100人,,災害時に危険を一時的に回避する場所
栃木県,芳賀郡茂木町,須藤小学校,栃木県芳賀郡茂木町大字千本457,36.568458,140.149458,1,1,1,1,1,0,300人,,
栃木県,芳賀郡市貝町,きら里館,栃木県芳賀郡市貝町杉山118-7,36.58044869,140.10837697,0,0,1,1,1,0,50人,,災害時に危険を一時的に回避する場所
栃木県,佐野市,旗川小学校,栃木県佐野市並木町964,36.32400847685,139.54994516213,1,0,0,-,-,-,1040人,,指定避難場所
栃木県,下野市,祇園原公園,栃木県下野市祇園3-4,36.392185709564,139.86030306722,-,-,-,-,-,-,,,広域避難場所
栃木県,芳賀郡茂木町,茂木町民体育館,栃木県芳賀郡茂木町大字小井戸2664-1,36.544559,140.175240,1,1,1,1,1,0,1000人,,
栃木県,芳賀郡市貝町,市貝小学校,栃木県芳賀郡市貝町市塙2184,36.53409277,140.10519008,0,0,1,1,1,0,300人,,災害時に危険を一時的に回避する場所（体育館を使用）
栃木県,芳賀郡市貝町,杉山保育所,栃木県芳賀郡市貝町杉山692-1,36.57722124,140.10732717,0,0,1,1,1,0,50人,,災害時に危険を一時的に回避する場所
栃木県,塩谷郡高根沢町,図書館中央館,栃木県塩谷郡高根沢町宝積寺1220-2,36.6275,139.9821,1,1,1,-,-,-,,,地域防災計画に基づく避難所　
栃木県,芳賀郡市貝町,中央公民館,栃木県芳賀郡市貝町上根1577,36.52987893,140.09002489,0,0,1,1,1,0,1500人,,災害時に危険を一時的に回避する場所（町民ホール・トレセン・武道館等を使用）
栃木県,芳賀郡市貝町,小貝小学校,栃木県芳賀郡市貝町文谷1188,36.56876111,140.10848016,0,0,1,1,1,0,300人,,災害時に危険を一時的に回避する場所（体育館を使用）
栃木県,矢板市,東泉公民館,栃木県矢板市東泉593-3,36.837350907691,139.92025271087,1,0,0,-,-,-,,,その他の避難場所
栃木県,那須塩原市,いきいきふれあいセンター,栃木県那須塩原市桜町1-5,36.975471072387,140.05152370059,1,0,0,-,-,-,500人,,指定避難所
栃木県,芳賀郡市貝町,市貝町役場,栃木県芳賀郡市貝町市塙1280,36.54324162,140.10211219,0,0,1,1,1,0,100人,飲料水、食糧品、毛布など,災害時に危険を一時的に回避する場所（厚生棟を使用）
栃木県,塩谷郡高根沢町,東小学校,栃木県塩谷郡高根沢町太田715,36.6275,140.0349,1,1,1,-,-,-,,,地域防災計画に基づく避難所、防災備蓄品配備　
栃木県,芳賀郡市貝町,琴平公民館,栃木県芳賀郡市貝町見上67,36.61955300,140.13158600,0,0,1,1,1,0,50人,,災害時に危険を一時的に回避する場所
栃木県,塩谷郡高根沢町,仁井田ふれあい広場,栃木県塩谷郡高根沢町平田2012-2,36.6553,140.0296,1,1,1,-,-,-,,,地域防災計画に基づく避難所　
栃木県,芳賀郡市貝町,保健福祉センター,栃木県芳賀郡市貝町市塙1720-1,36.53987557,140.10952837,0,0,1,1,1,0,300人,,災害時に危険を一時的に回避する場所
栃木県,塩谷郡高根沢町,上高根沢小学校,栃木県塩谷郡高根沢町上高根沢2080,36.5966,140.0279,1,1,1,-,-,-,,,地域防災計画に基づく避難所、防災備蓄品配備　
栃木県,栃木市,大平南体育館,栃木県栃木市大平町西野田905-1,36.327917017798,139.71509331581,1,0,0,-,-,-,390人,,指定避難場所
栃木県,小山市,城南公園,栃木県小山市東城南4-17,36.292401665784,139.80850251516,-,-,-,-,-,-,,,広域避難場所
栃木県,塩谷郡高根沢町,阿久津小学校,栃木県塩谷郡高根沢町宝積寺1178,36.6281,139.9744,1,1,1,-,-,-,,,地域防災計画に基づく避難所、防災備蓄品配備　
栃木県,塩谷郡高根沢町,台新田公民館,栃木県塩谷郡高根沢町亀梨478,36.6412,140.0571,1,1,1,-,-,-,,,地域防災計画に基づく避難所　
栃木県,塩谷郡高根沢町,北小学校,栃木県塩谷郡高根沢町飯室876,36.6561,140.0359,1,1,1,-,-,-,,,地域防災計画に基づく避難所、防災備蓄品配備　
栃木県,鹿沼市,旧粟野第三小学校,栃木県鹿沼市入粟野,36.581525320732,139.57353867546,-,-,-,-,-,-,100人,,広域避難場所
栃木県,塩谷郡高根沢町,桑窪公民館,栃木県塩谷郡高根沢町桑窪400,36.6167,140.0511,1,1,1,-,-,-,,,地域防災計画に基づく避難所　
栃木県,塩谷郡高根沢町,高根沢高等学校,栃木県塩谷郡高根沢町文挟32-2,36.6585,140.0294,1,1,1,-,-,-,,,地域防災計画に基づく避難所　
栃木県,足利市,南大町自治会館,栃木県足利市,36.319199150989,139.41946321726,-,-,-,-,-,-,,,一時避難場所
栃木県,宇都宮市,豊郷北小学校,栃木県宇都宮市横山町411-3,36.617524176857,139.87976815879,1,0,0,-,-,-,630人,,避難所
栃木県,栃木市,藤岡保育所,栃木県栃木市藤岡町藤岡1135-4,36.261399661653,139.64915670769,1,0,0,-,-,-,100人,,指定避難場所
栃木県,塩谷郡高根沢町,柏崎公民館,栃木県塩谷郡高根沢町中柏崎254-1,36.6110,140.0787,1,1,1,-,-,-,,,地域防災計画に基づく避難所　
栃木県,塩谷郡高根沢町,西小学校,栃木県塩谷郡高根沢町光陽台3-2-3,36.6206,139.9874,1,1,1,-,-,-,,,地域防災計画に基づく避難所、防災備蓄品配備　
栃木県,佐野市,小見町南小見集会所,栃木県佐野市小見町5-1,36.33516586971,139.57067916488,1,0,0,-,-,-,50人,,指定避難場所
栃木県,塩谷郡高根沢町,阿久津中学校,栃木県塩谷郡高根沢町中阿久津1470,36.6385,139.9762,1,1,1,-,-,-,,,地域防災計画に基づく避難所　
栃木県,塩谷郡高根沢町,町民広場,栃木県塩谷郡高根沢町石末1825,36.6374,140.0013,1,1,1,-,-,-,,,地域防災計画に基づく避難所　
栃木県,佐野市,ときわ保育園,栃木県佐野市豊代町2134,36.435103968331,139.58946729842,1,0,0,-,-,-,100人,,指定避難場所
栃木県,宇都宮市,今里集落センター,栃木県宇都宮市今里町903,36.694128791829,139.89485841947,1,0,0,-,-,-,100人,,避難所
栃木県,宇都宮市,桜小学校,栃木県宇都宮市桜3-2-22,36.562888842909,139.86921563491,1,0,0,-,-,-,1300人,,一時避難場所・避難所
栃木県,小山市,小山市立文化センター,栃木県小山市中央町1-1-1,36.313409989694,139.7999997837,1,0,0,-,-,-,201人,,指定避難所
栃木県,佐野市,佐野日大高校,栃木県佐野市石塚町2555,36.354924521718,139.55554080306,1,0,0,-,-,-,4490人,,指定避難場所
栃木県,矢板市,後岡公民館,栃木県矢板市片岡620-1,36.773480777125,139.94409560572,1,0,0,-,-,-,,,その他の避難場所
栃木県,塩谷郡高根沢町,北高根沢中学校,栃木県塩谷郡高根沢町太田753,36.6248,140.0322,1,1,1,-,-,-,,,地域防災計画に基づく避難所　
栃木県,塩谷郡高根沢町,中央小学校,栃木県塩谷郡高根沢町石末2247-1,36.6407,139.9986,1,1,1,-,-,-,,,地域防災計画に基づく避難所、防災備蓄品配備　
栃木県,真岡市,総合福祉保健センター,栃木県真岡市荒町110-1,36.44037903844,140.01676026564,1,0,0,-,-,-,100人,,避難場所
栃木県,那須烏山市,輪之内公民館,栃木県那須烏山市森田561,36.637461411592,140.1178127452,1,0,0,-,-,-,900人,,避難施設
栃木県,栃木市,大平南中学校,栃木県栃木市大平町西野田825,36.327897644457,139.71764023102,1,0,0,-,-,-,450人,,指定避難場所
栃木県,那須郡那珂川町,小川小学校,栃木県那須郡那珂川町小川2846,36.760668957177,140.12948630093,1,0,0,-,-,-,200人,,指定避難所
栃木県,塩谷郡塩谷町,町民熊ノ木体育館,栃木県塩谷郡塩谷町熊の木802,36.800560115569,139.84629106939,1,0,0,-,-,-,600人,,指定避難場所
栃木県,鹿沼市,菊沢コミュニティセンター,栃木県鹿沼市御成橋町2-2197-1,36.585324660135,139.747564028,1,0,0,-,-,-,264人,,指定避難場所・地区別避難所
栃木県,塩谷郡高根沢町,大谷集落センター,栃木県塩谷郡高根沢町大谷914,36.6605,139.9868,1,1,1,-,-,-,,,地域防災計画に基づく避難所　
栃木県,さくら市,喜連川中学校,栃木県さくら市喜連川5691,36.731008297791,140.03366540547,1,0,0,-,-,-,1000人,,避難所
栃木県,足利市,八幡町三丁目公園,栃木県足利市,36.322780614749,139.43308451943,-,-,-,-,-,-,,,一時避難場所
